a,cs
1,0.196386
1.0101,0.196255
1.0202,0.19768
1.0303,0.196904
1.0404,0.197619
1.05051,0.1973
1.06061,0.198023
1.07071,0.197989
1.08081,0.197464
1.09091,0.198328
1.10101,0.198196
1.11111,0.198729
1.12121,0.199192
1.13131,0.199711
1.14141,0.199816
1.15152,0.199856
1.16162,0.200376
1.17172,0.200441
1.18182,0.200078
1.19192,0.200372
1.20202,0.200533
1.21212,0.201209
1.22222,0.201472
1.23232,0.201644
1.24242,0.202154
1.25253,0.202435
1.26263,0.202499
1.27273,0.20299
1.28283,0.20289
1.29293,0.203048
1.30303,0.203378
1.31313,0.204034
1.32323,0.204
1.33333,0.20414
1.34343,0.204863
1.35354,0.205262
1.36364,0.205781
1.37374,0.206139
1.38384,0.206684
1.39394,0.206833
1.40404,0.207179
1.41414,0.207394
1.42424,0.208109
1.43434,0.208867
1.44444,0.209359
1.45455,0.208969
1.46465,0.20936
1.47475,0.211207
1.48485,0.211224
1.49495,0.212091
1.50505,0.211555
1.51515,0.213055
1.52525,0.213992
1.53535,0.213972
1.54545,0.214625
1.55556,0.215295
1.56566,0.216395
1.57576,0.217326
1.58586,0.219335
1.59596,0.219204
1.60606,0.220828
1.61616,0.222237
1.62626,0.222776
1.63636,0.22359
1.64646,0.225671
1.65657,0.227897
1.66667,0.226999
1.67677,0.230193
1.68687,0.230048
1.69697,0.230969
1.70707,0.23393
1.71717,0.234895
1.72727,0.236264
1.73737,0.237945
1.74747,0.241401
1.75758,0.241677
1.76768,0.244756
1.77778,0.246656
1.78788,0.244508
1.79798,0.248839
1.80808,0.249243
1.81818,0.252789
1.82828,0.25562
1.83838,0.257718
1.84848,0.256566
1.85859,0.261179
1.86869,0.263027
1.87879,0.264697
1.88889,0.270026
1.89899,0.270823
1.90909,0.272263
1.91919,0.275499
1.92929,0.278043
1.93939,0.281869
1.94949,0.282551
1.9596,0.287004
1.9697,0.290875
1.9798,0.291438
1.9899,0.29363
2,0.297115
