a,t
1,903886
1.0101,894982
1.0202,895399
1.0303,884526
1.0404,892073
1.05051,892180
1.06061,895426
1.07071,884934
1.08081,878902
1.09091,892620
1.10101,891960
1.11111,892516
1.12121,892359
1.13131,894050
1.14141,890349
1.15152,889555
1.16162,892974
1.17172,889625
1.18182,869865
1.19192,868790
1.20202,879650
1.21212,874241
1.22222,858924
1.23232,869997
1.24242,878490
1.25253,864443
1.26263,869261
1.27273,862066
1.28283,855773
1.29293,862083
1.30303,856080
1.31313,865330
1.32323,849954
1.33333,848304
1.34343,848995
1.35354,834770
1.36364,851783
1.37374,850167
1.38384,846886
1.39394,840452
1.40404,835276
1.41414,824416
1.42424,827214
1.43434,817966
1.44444,823397
1.45455,806903
1.46465,814229
1.47475,817191
1.48485,812478
1.49495,818040
1.50505,800807
1.51515,791369
1.52525,804681
1.53535,784189
1.54545,790471
1.55556,784449
1.56566,775082
1.57576,767125
1.58586,763882
1.59596,776263
1.60606,779639
1.61616,763593
1.62626,765139
1.63636,761569
1.64646,772273
1.65657,750890
1.66667,770557
1.67677,750960
1.68687,748221
1.69697,749731
1.70707,741059
1.71717,729988
1.72727,749331
1.73737,746613
1.74747,741823
1.75758,747165
1.76768,750033
1.77778,733452
1.78788,742898
1.79798,742274
1.80808,751805
1.81818,743172
1.82828,729226
1.83838,730290
1.84848,736595
1.85859,762014
1.86869,729297
1.87879,750061
1.88889,754953
1.89899,725620
1.90909,738297
1.91919,742853
1.92929,743248
1.93939,741930
1.94949,745062
1.9596,722563
1.9697,740746
1.9798,720054
1.9899,716768
2,742313
