a,firm,demand
1,1,0.271868
1,2,0.271969
1.0101,1,0.271779
1.0101,2,0.271784
1.0202,1,0.273175
1.0202,2,0.273163
1.0303,1,0.272435
1.0303,2,0.272365
1.0404,1,0.273055
1.0404,2,0.273127
1.05051,1,0.272773
1.05051,2,0.272772
1.06061,1,0.273471
1.06061,2,0.273472
1.07071,1,0.273318
1.07071,2,0.273533
1.08081,1,0.273079
1.08081,2,0.272718
1.09091,1,0.273701
1.09091,2,0.273774
1.10101,1,0.273492
1.10101,2,0.273706
1.11111,1,0.274104
1.11111,2,0.274107
1.12121,1,0.27461
1.12121,2,0.274484
1.13131,1,0.275041
1.13131,2,0.275042
1.14141,1,0.27513
1.14141,2,0.275131
1.15152,1,0.275154
1.15152,2,0.275155
1.16162,1,0.275647
1.16162,2,0.275649
1.17172,1,0.275692
1.17172,2,0.275695
1.18182,1,0.27544
1.18182,2,0.275215
1.19192,1,0.275594
1.19192,2,0.275593
1.20202,1,0.275738
1.20202,2,0.275736
1.21212,1,0.27637
1.21212,2,0.276368
1.22222,1,0.276605
1.22222,2,0.276602
1.23232,1,0.276757
1.23232,2,0.276754
1.24242,1,0.277236
1.24242,2,0.277234
1.25253,1,0.277479
1.25253,2,0.277473
1.26263,1,0.277524
1.26263,2,0.277519
1.27273,1,0.277973
1.27273,2,0.277968
1.28283,1,0.277848
1.28283,2,0.277845
1.29293,1,0.277984
1.29293,2,0.277988
1.30303,1,0.278274
1.30303,2,0.278278
1.31313,1,0.278885
1.31313,2,0.278889
1.32323,1,0.27881
1.32323,2,0.278817
1.33333,1,0.278934
1.33333,2,0.278929
1.34343,1,0.279592
1.34343,2,0.279593
1.35354,1,0.279938
1.35354,2,0.279942
1.36364,1,0.280414
1.36364,2,0.280413
1.37374,1,0.280716
1.37374,2,0.280718
1.38384,1,0.281332
1.38384,2,0.281071
1.39394,1,0.281306
1.39394,2,0.281309
1.40404,1,0.2816
1.40404,2,0.2816
1.41414,1,0.281763
1.41414,2,0.281761
1.42424,1,0.2824
1.42424,2,0.282398
1.43434,1,0.283062
1.43434,2,0.283064
1.44444,1,0.283498
1.44444,2,0.283492
1.45455,1,0.283075
1.45455,2,0.283073
1.46465,1,0.283398
1.46465,2,0.283401
1.47475,1,0.285083
1.47475,2,0.285085
1.48485,1,0.285049
1.48485,2,0.285059
1.49495,1,0.285818
1.49495,2,0.285814
1.50505,1,0.285554
1.50505,2,0.28497
1.51515,1,0.286422
1.51515,2,0.286736
1.52525,1,0.287243
1.52525,2,0.287551
1.53535,1,0.287471
1.53535,2,0.287148
1.54545,1,0.287965
1.54545,2,0.287762
1.55556,1,0.288714
1.55556,2,0.288098
1.56566,1,0.289346
1.56566,2,0.289356
1.57576,1,0.290441
1.57576,2,0.289821
1.58586,1,0.291854
1.58586,2,0.291857
1.59596,1,0.291705
1.59596,2,0.291703
1.60606,1,0.294096
1.60606,2,0.292116
1.61616,1,0.294093
1.61616,2,0.294376
1.62626,1,0.294653
1.62626,2,0.2947
1.63636,1,0.296886
1.63636,2,0.293706
1.64646,1,0.297942
1.64646,2,0.296138
1.65657,1,0.299058
1.65657,2,0.298713
1.66667,1,0.299486
1.66667,2,0.296559
1.67677,1,0.29921
1.67677,2,0.302136
1.68687,1,0.301018
1.68687,2,0.299873
1.69697,1,0.300531
1.69697,2,0.301807
1.70707,1,0.303388
1.70707,2,0.303731
1.71717,1,0.303963
1.71717,2,0.304441
1.72727,1,0.305879
1.72727,2,0.304892
1.73737,1,0.305908
1.73737,2,0.307258
1.74747,1,0.309692
1.74747,2,0.308967
1.75758,1,0.309644
1.75758,2,0.309563
1.76768,1,0.310728
1.76768,2,0.313008
1.77778,1,0.312935
1.77778,2,0.313595
1.78788,1,0.312852
1.78788,2,0.310274
1.79798,1,0.312746
1.79798,2,0.317048
1.80808,1,0.317088
1.80808,2,0.313242
1.81818,1,0.317639
1.81818,2,0.317865
1.82828,1,0.319309
1.82828,2,0.320377
1.83838,1,0.321997
1.83838,2,0.320663
1.84848,1,0.319711
1.84848,2,0.320868
1.85859,1,0.324124
1.85859,2,0.323331
1.86869,1,0.323371
1.86869,2,0.326435
1.87879,1,0.325756
1.87879,2,0.326525
1.88889,1,0.331418
1.88889,2,0.328328
1.89899,1,0.329381
1.89899,2,0.33113
1.90909,1,0.334534
1.90909,2,0.328184
1.91919,1,0.329639
1.91919,2,0.337056
1.92929,1,0.334522
1.92929,2,0.335459
1.93939,1,0.336985
1.93939,2,0.338199
1.94949,1,0.338582
1.94949,2,0.337472
1.9596,1,0.338386
1.9596,2,0.343136
1.9697,1,0.343379
1.9697,2,0.34322
1.9798,1,0.34442
1.9798,2,0.342498
1.9899,1,0.342887
1.9899,2,0.346545
2,1,0.345455
2,2,0.34817
