a,firm,price
1,1,1.71067
1,2,1.71048
1.0101,1,1.71104
1.0101,2,1.71103
1.0202,1,1.70842
1.0202,2,1.70844
1.0303,1,1.71011
1.0303,2,1.71024
1.0404,1,1.70906
1.0404,2,1.70893
1.05051,1,1.70985
1.05051,2,1.70985
1.06061,1,1.70868
1.06061,2,1.70867
1.07071,1,1.70919
1.07071,2,1.7088
1.08081,1,1.70997
1.08081,2,1.71063
1.09091,1,1.70893
1.09091,2,1.7088
1.10101,1,1.7096
1.10101,2,1.70922
1.11111,1,1.70867
1.11111,2,1.70866
1.12121,1,1.70795
1.12121,2,1.70817
1.13131,1,1.70736
1.13131,2,1.70736
1.14141,1,1.70749
1.14141,2,1.70749
1.15152,1,1.70776
1.15152,2,1.70776
1.16162,1,1.7071
1.16162,2,1.7071
1.17172,1,1.70736
1.17172,2,1.70736
1.18182,1,1.70827
1.18182,2,1.70866
1.19192,1,1.7083
1.19192,2,1.7083
1.20202,1,1.7084
1.20202,2,1.7084
1.21212,1,1.70752
1.21212,2,1.70752
1.22222,1,1.70747
1.22222,2,1.70748
1.23232,1,1.70761
1.23232,2,1.70761
1.24242,1,1.70709
1.24242,2,1.7071
1.25253,1,1.70707
1.25253,2,1.70708
1.26263,1,1.70747
1.26263,2,1.70748
1.27273,1,1.70708
1.27273,2,1.70709
1.28283,1,1.70786
1.28283,2,1.70786
1.29293,1,1.70814
1.29293,2,1.70813
1.30303,1,1.70813
1.30303,2,1.70812
1.31313,1,1.70749
1.31313,2,1.70748
1.32323,1,1.70825
1.32323,2,1.70824
1.33333,1,1.70865
1.33333,2,1.70866
1.34343,1,1.70799
1.34343,2,1.70799
1.35354,1,1.70798
1.35354,2,1.70798
1.36364,1,1.70774
1.36364,2,1.70774
1.37374,1,1.70786
1.37374,2,1.70786
1.38384,1,1.70747
1.38384,2,1.70786
1.39394,1,1.70824
1.39394,2,1.70824
1.40404,1,1.7085
1.40404,2,1.7085
1.41414,1,1.70901
1.41414,2,1.70902
1.42424,1,1.70862
1.42424,2,1.70863
1.43434,1,1.70821
1.43434,2,1.70821
1.44444,1,1.7083
1.44444,2,1.70831
1.45455,1,1.71014
1.45455,2,1.71014
1.46465,1,1.71053
1.46465,2,1.71053
1.47475,1,1.7082
1.47475,2,1.70819
1.48485,1,1.70937
1.48485,2,1.70936
1.49495,1,1.70897
1.49495,2,1.70898
1.50505,1,1.7109
1.50505,2,1.71169
1.51515,1,1.71007
1.51515,2,1.70965
1.52525,1,1.70969
1.52525,2,1.70928
1.53535,1,1.71077
1.53535,2,1.71119
1.54545,1,1.7111
1.54545,2,1.71136
1.55556,1,1.71117
1.55556,2,1.71195
1.56566,1,1.71115
1.56566,2,1.71114
1.57576,1,1.71071
1.57576,2,1.71148
1.58586,1,1.70911
1.58586,2,1.70911
1.59596,1,1.71111
1.59596,2,1.71111
1.60606,1,1.70878
1.60606,2,1.71114
1.61616,1,1.70955
1.61616,2,1.7092
1.62626,1,1.7103
1.62626,2,1.71026
1.63636,1,1.7092
1.63636,2,1.71277
1.64646,1,1.70826
1.64646,2,1.71023
1.65657,1,1.70726
1.65657,2,1.70764
1.66667,1,1.70996
1.66667,2,1.71297
1.67677,1,1.7096
1.67677,2,1.70642
1.68687,1,1.70997
1.68687,2,1.71119
1.69697,1,1.71208
1.69697,2,1.71077
1.70707,1,1.70889
1.70707,2,1.70853
1.71717,1,1.71005
1.71717,2,1.70953
1.72727,1,1.70936
1.72727,2,1.71044
1.73737,1,1.71052
1.73737,2,1.70925
1.74747,1,1.7064
1.74747,2,1.70712
1.75758,1,1.70889
1.75758,2,1.70896
1.76768,1,1.70793
1.76768,2,1.70597
1.77778,1,1.70727
1.77778,2,1.7067
1.78788,1,1.71232
1.78788,2,1.71475
1.79798,1,1.71151
1.79798,2,1.7075
1.80808,1,1.71037
1.80808,2,1.71386
1.81818,1,1.70999
1.81818,2,1.70978
1.82828,1,1.70901
1.82828,2,1.7082
1.83838,1,1.70821
1.83838,2,1.70944
1.84848,1,1.71506
1.84848,2,1.71405
1.85859,1,1.71028
1.85859,2,1.71096
1.86869,1,1.71314
1.86869,2,1.71042
1.87879,1,1.71302
1.87879,2,1.71253
1.88889,1,1.70716
1.88889,2,1.70954
1.89899,1,1.71248
1.89899,2,1.71102
1.90909,1,1.71068
1.90909,2,1.71578
1.91919,1,1.71595
1.91919,2,1.71006
1.92929,1,1.71393
1.92929,2,1.71325
1.93939,1,1.71248
1.93939,2,1.7114
1.94949,1,1.71505
1.94949,2,1.71598
1.9596,1,1.71559
1.9596,2,1.71184
1.9697,1,1.71258
1.9697,2,1.71272
1.9798,1,1.71632
1.9798,2,1.71783
1.9899,1,1.71993
1.9899,2,1.71721
2,1,1.71969
2,2,1.71758
