a,firm,profit
1,1,0.10007
1,2,0.100071
1.0101,1,0.100105
1.0101,2,0.100105
1.0202,1,0.100126
1.0202,2,0.100128
1.0303,1,0.100173
1.0303,2,0.100171
1.0404,1,0.100202
1.0404,2,0.100204
1.05051,1,0.100249
1.05051,2,0.100249
1.06061,1,0.100283
1.06061,2,0.100283
1.07071,1,0.100323
1.07071,2,0.100328
1.08081,1,0.100379
1.08081,2,0.10037
1.09091,1,0.100415
1.09091,2,0.100416
1.10101,1,0.100464
1.10101,2,0.100471
1.11111,1,0.100511
1.11111,2,0.100511
1.12121,1,0.100563
1.12121,2,0.100558
1.13131,1,0.100611
1.13131,2,0.100611
1.14141,1,0.100667
1.14141,2,0.100666
1.15152,1,0.100726
1.15152,2,0.100725
1.16162,1,0.100784
1.16162,2,0.100782
1.17172,1,0.100846
1.17172,2,0.100844
1.18182,1,0.100922
1.18182,2,0.100912
1.19192,1,0.100982
1.19192,2,0.100982
1.20202,1,0.101056
1.20202,2,0.101056
1.21212,1,0.101119
1.21212,2,0.10112
1.22222,1,0.101192
1.22222,2,0.101194
1.23232,1,0.101275
1.23232,2,0.101276
1.24242,1,0.101358
1.24242,2,0.101358
1.25253,1,0.101436
1.25253,2,0.101437
1.26263,1,0.101531
1.26263,2,0.101532
1.27273,1,0.101618
1.27273,2,0.101619
1.28283,1,0.101718
1.28283,2,0.101718
1.29293,1,0.101827
1.29293,2,0.101827
1.30303,1,0.101927
1.30303,2,0.101927
1.31313,1,0.102035
1.31313,2,0.102034
1.32323,1,0.102143
1.32323,2,0.102143
1.33333,1,0.10227
1.33333,2,0.102271
1.34343,1,0.102381
1.34343,2,0.10238
1.35354,1,0.102502
1.35354,2,0.102501
1.36364,1,0.102638
1.36364,2,0.102637
1.37374,1,0.102771
1.37374,2,0.10277
1.38384,1,0.102916
1.38384,2,0.102896
1.39394,1,0.103059
1.39394,2,0.103057
1.40404,1,0.103209
1.40404,2,0.103208
1.41414,1,0.10337
1.41414,2,0.10337
1.42424,1,0.103527
1.42424,2,0.103526
1.43434,1,0.10368
1.43434,2,0.103681
1.44444,1,0.103863
1.44444,2,0.103864
1.45455,1,0.10406
1.45455,2,0.104061
1.46465,1,0.104252
1.46465,2,0.104252
1.47475,1,0.104417
1.47475,2,0.104416
1.48485,1,0.104637
1.48485,2,0.104637
1.49495,1,0.104842
1.49495,2,0.104843
1.50505,1,0.105118
1.50505,2,0.105057
1.51515,1,0.105256
1.51515,2,0.105289
1.52525,1,0.105486
1.52525,2,0.105519
1.53535,1,0.105776
1.53535,2,0.10574
1.54545,1,0.106033
1.54545,2,0.10601
1.55556,1,0.106307
1.55556,2,0.106236
1.56566,1,0.106524
1.56566,2,0.106523
1.57576,1,0.106831
1.57576,2,0.10675
1.58586,1,0.107022
1.58586,2,0.107021
1.59596,1,0.107372
1.59596,2,0.107373
1.60606,1,0.107788
1.60606,2,0.107523
1.61616,1,0.107884
1.61616,2,0.107932
1.62626,1,0.108285
1.62626,2,0.108284
1.63636,1,0.108777
1.63636,2,0.108389
1.64646,1,0.108997
1.64646,2,0.108791
1.65657,1,0.109198
1.65657,2,0.109149
1.66667,1,0.109757
1.66667,2,0.109464
1.67677,1,0.109668
1.67677,2,0.110095
1.68687,1,0.110441
1.68687,2,0.110275
1.69697,1,0.1107
1.69697,2,0.110865
1.70707,1,0.11106
1.70707,2,0.111117
1.71717,1,0.111428
1.71717,2,0.111516
1.72727,1,0.112109
1.72727,2,0.111902
1.73737,1,0.112285
1.73737,2,0.112447
1.74747,1,0.11275
1.74747,2,0.112622
1.75758,1,0.113389
1.75758,2,0.113383
1.76768,1,0.113526
1.76768,2,0.113761
1.77778,1,0.114051
1.77778,2,0.114107
1.78788,1,0.115253
1.78788,2,0.114797
1.79798,1,0.114956
1.79798,2,0.115725
1.80808,1,0.11639
1.80808,2,0.115712
1.81818,1,0.116356
1.81818,2,0.116393
1.82828,1,0.116859
1.82828,2,0.116956
1.83838,1,0.117631
1.83838,2,0.117319
1.84848,1,0.118237
1.84848,2,0.118465
1.85859,1,0.118891
1.85859,2,0.118716
1.86869,1,0.119058
1.86869,2,0.119712
1.87879,1,0.120211
1.87879,2,0.120233
1.88889,1,0.120762
1.88889,2,0.120317
1.89899,1,0.121091
1.89899,2,0.121436
1.90909,1,0.122886
1.90909,2,0.121693
1.91919,1,0.122054
1.91919,2,0.123405
1.92929,1,0.12338
1.92929,2,0.123504
1.93939,1,0.123989
1.93939,2,0.124302
1.94949,1,0.12534
1.94949,2,0.125106
1.9596,1,0.125165
1.9596,2,0.126169
1.9697,1,0.126402
1.9697,2,0.126329
1.9798,1,0.127624
1.9798,2,0.12718
1.9899,1,0.128064
1.9899,2,0.128734
2,1,0.128834
2,2,0.129447
