c,cs
0,0.395131
0.00505051,0.390692
0.010101,0.384949
0.0151515,0.383329
0.020202,0.382801
0.0252525,0.375444
0.030303,0.374049
0.0353535,0.368016
0.040404,0.366957
0.0454545,0.368825
0.0505051,0.363094
0.0555556,0.358364
0.0606061,0.355493
0.0656566,0.356102
0.0707071,0.354737
0.0757576,0.344745
0.0808081,0.345539
0.0858586,0.344243
0.0909091,0.341247
0.0959596,0.340985
0.10101,0.335794
0.106061,0.336925
0.111111,0.334992
0.116162,0.329169
0.121212,0.331774
0.126263,0.327119
0.131313,0.328333
0.136364,0.326024
0.141414,0.318084
0.146465,0.320475
0.151515,0.320103
0.156566,0.319086
0.161616,0.312711
0.166667,0.313424
0.171717,0.310599
0.176768,0.310501
0.181818,0.307854
0.186869,0.304255
0.191919,0.299224
0.19697,0.295718
0.20202,0.296976
0.207071,0.29238
0.212121,0.294331
0.217172,0.288233
0.222222,0.286526
0.227273,0.285384
0.232323,0.280455
0.237374,0.276596
0.242424,0.274486
0.247475,0.273824
0.252525,0.268978
0.257576,0.267661
0.262626,0.262336
0.267677,0.262442
0.272727,0.257394
0.277778,0.255837
0.282828,0.252807
0.287879,0.249636
0.292929,0.246634
0.29798,0.245269
0.30303,0.240396
0.308081,0.239504
0.313131,0.234929
0.318182,0.233765
0.323232,0.23225
0.328283,0.228009
0.333333,0.22775
0.338384,0.223862
0.343434,0.222157
0.348485,0.22343
0.353535,0.217333
0.358586,0.217321
0.363636,0.215685
0.368687,0.213571
0.373737,0.209379
0.378788,0.213099
0.383838,0.208386
0.388889,0.210816
0.393939,0.203753
0.39899,0.205799
0.40404,0.206402
0.409091,0.201136
0.414141,0.20149
0.419192,0.199179
0.424242,0.200906
0.429293,0.195382
0.434343,0.193333
0.439394,0.195769
0.444444,0.19107
0.449495,0.189033
0.454545,0.187714
0.459596,0.186398
0.464646,0.186334
0.469697,0.183572
0.474747,0.180783
0.479798,0.178635
0.484848,0.178315
0.489899,0.175905
0.494949,0.174962
0.5,0.172071
