c,t
0,719009
0.00505051,712827
0.010101,710634
0.0151515,723483
0.020202,730599
0.0252525,718293
0.030303,718064
0.0353535,732536
0.040404,705560
0.0454545,745380
0.0505051,736767
0.0555556,728280
0.0606061,711550
0.0656566,724887
0.0707071,724059
0.0757576,724949
0.0808081,714013
0.0858586,727709
0.0909091,746347
0.0959596,717264
0.10101,723942
0.106061,738024
0.111111,744563
0.116162,743654
0.121212,741766
0.126263,733834
0.131313,741121
0.136364,730229
0.141414,726634
0.146465,725213
0.151515,743529
0.156566,737087
0.161616,730587
0.166667,731060
0.171717,734049
0.176768,735774
0.181818,738639
0.186869,718610
0.191919,722210
0.19697,730878
0.20202,738518
0.207071,748970
0.212121,727290
0.217172,735071
0.222222,726161
0.227273,741978
0.232323,750326
0.237374,745643
0.242424,736624
0.247475,742150
0.252525,723188
0.257576,753584
0.262626,740496
0.267677,752849
0.272727,733741
0.277778,752685
0.282828,754034
0.287879,732734
0.292929,740339
0.29798,750172
0.30303,751530
0.308081,728675
0.313131,729432
0.318182,720485
0.323232,736444
0.328283,742961
0.333333,745856
0.338384,745502
0.343434,745953
0.348485,741384
0.353535,747339
0.358586,742981
0.363636,747048
0.368687,760851
0.373737,730704
0.378788,739020
0.383838,743386
0.388889,754387
0.393939,749854
0.39899,753753
0.40404,742756
0.409091,743239
0.414141,743828
0.419192,758451
0.424242,765557
0.429293,755049
0.434343,754164
0.439394,752959
0.444444,744725
0.449495,735198
0.454545,769260
0.459596,757101
0.464646,758557
0.469697,763812
0.474747,731921
0.479798,741415
0.484848,752293
0.489899,753785
0.494949,743263
0.5,744882
