c,firm,demand
0,1,0.39828
0,2,0.393664
0.00505051,1,0.39353
0.00505051,2,0.394725
0.010101,1,0.393914
0.010101,2,0.389761
0.0151515,1,0.389071
0.0151515,2,0.393133
0.020202,1,0.390921
0.020202,2,0.390816
0.0252525,1,0.388386
0.0252525,2,0.386906
0.030303,1,0.384864
0.030303,2,0.388647
0.0353535,1,0.387558
0.0353535,2,0.380715
0.040404,1,0.379838
0.040404,2,0.387749
0.0454545,1,0.381232
0.0454545,2,0.387842
0.0505051,1,0.379231
0.0505051,2,0.385007
0.0555556,1,0.375922
0.0555556,2,0.383314
0.0606061,1,0.378961
0.0606061,2,0.377461
0.0656566,1,0.374067
0.0656566,2,0.382692
0.0707071,1,0.375283
0.0707071,2,0.38029
0.0757576,1,0.372937
0.0757576,2,0.372647
0.0808081,1,0.376446
0.0808081,2,0.370312
0.0858586,1,0.3708
0.0858586,2,0.373917
0.0909091,1,0.369686
0.0909091,2,0.372698
0.0959596,1,0.368881
0.0959596,2,0.372958
0.10101,1,0.367356
0.10101,2,0.36866
0.106061,1,0.368708
0.106061,2,0.369294
0.111111,1,0.367718
0.111111,2,0.367821
0.116162,1,0.364762
0.116162,2,0.364471
0.121212,1,0.369863
0.121212,2,0.362171
0.126263,1,0.363213
0.126263,2,0.364262
0.131313,1,0.365638
0.131313,2,0.363013
0.136364,1,0.36664
0.136364,2,0.359677
0.141414,1,0.355988
0.141414,2,0.361367
0.146465,1,0.36481
0.146465,2,0.355104
0.151515,1,0.358047
0.151515,2,0.362157
0.156566,1,0.360766
0.156566,2,0.358196
0.161616,1,0.359021
0.161616,2,0.352701
0.166667,1,0.357402
0.166667,2,0.355111
0.171717,1,0.354754
0.171717,2,0.354703
0.176768,1,0.354732
0.176768,2,0.354794
0.181818,1,0.356633
0.181818,2,0.349998
0.186869,1,0.350817
0.186869,2,0.35127
0.191919,1,0.345875
0.191919,2,0.350124
0.19697,1,0.347633
0.19697,2,0.344368
0.20202,1,0.346597
0.20202,2,0.347252
0.207071,1,0.344486
0.207071,2,0.343365
0.212121,1,0.345458
0.212121,2,0.345478
0.217172,1,0.347152
0.217172,2,0.33605
0.222222,1,0.339565
0.222222,2,0.341527
0.227273,1,0.33827
0.227273,2,0.341492
0.232323,1,0.338733
0.232323,2,0.334666
0.237374,1,0.335963
0.237374,2,0.332273
0.242424,1,0.331111
0.242424,2,0.334441
0.247475,1,0.335577
0.247475,2,0.329198
0.252525,1,0.328307
0.252525,2,0.329826
0.257576,1,0.327509
0.257576,2,0.32874
0.262626,1,0.325183
0.262626,2,0.323558
0.267677,1,0.325677
0.267677,2,0.323508
0.272727,1,0.318767
0.272727,2,0.323078
0.277778,1,0.319959
0.277778,2,0.319794
0.282828,1,0.322053
0.282828,2,0.313365
0.287879,1,0.315424
0.287879,2,0.315237
0.292929,1,0.31333
0.292929,2,0.313018
0.29798,1,0.312065
0.29798,2,0.312027
0.30303,1,0.307652
0.30303,2,0.308978
0.308081,1,0.307017
0.308081,2,0.308191
0.313131,1,0.30427
0.313131,2,0.303949
0.318182,1,0.305661
0.318182,2,0.30073
0.323232,1,0.302425
0.323232,2,0.301361
0.328283,1,0.298003
0.328283,2,0.299258
0.333333,1,0.299898
0.333333,2,0.296625
0.338384,1,0.297748
0.338384,2,0.292697
0.343434,1,0.293964
0.343434,2,0.293248
0.348485,1,0.296147
0.348485,2,0.293105
0.353535,1,0.2892
0.353535,2,0.290379
0.358586,1,0.288106
0.358586,2,0.291177
0.363636,1,0.288868
0.363636,2,0.287306
0.368687,1,0.285795
0.368687,2,0.286882
0.373737,1,0.284113
0.373737,2,0.281439
0.378788,1,0.286935
0.378788,2,0.284992
0.383838,1,0.281795
0.383838,2,0.282176
0.388889,1,0.285216
0.388889,2,0.282716
0.393939,1,0.27767
0.393939,2,0.278085
0.39899,1,0.278982
0.39899,2,0.280204
0.40404,1,0.279528
0.40404,2,0.280827
0.409091,1,0.274814
0.409091,2,0.275982
0.414141,1,0.276253
0.414141,2,0.275332
0.419192,1,0.275111
0.419192,2,0.272457
0.424242,1,0.276689
0.424242,2,0.27422
0.429293,1,0.270582
0.429293,2,0.270179
0.434343,1,0.269925
0.434343,2,0.267083
0.439394,1,0.271471
0.439394,2,0.270374
0.444444,1,0.267644
0.444444,2,0.265375
0.449495,1,0.265143
0.449495,2,0.264058
0.454545,1,0.264109
0.454545,2,0.262852
0.459596,1,0.262119
0.459596,2,0.262369
0.464646,1,0.259929
0.464646,2,0.264783
0.469697,1,0.262515
0.469697,2,0.25681
0.474747,1,0.255913
0.474747,2,0.257895
0.479798,1,0.255545
0.479798,2,0.254241
0.484848,1,0.253844
0.484848,2,0.255575
0.489899,1,0.253863
0.489899,2,0.250893
0.494949,1,0.251485
0.494949,2,0.251471
0.5,1,0.248077
0.5,2,0.249018
