c,firm,profit
0,1,0.171175
0,2,0.170243
0.00505051,1,0.170125
0.00505051,2,0.169917
0.010101,1,0.170311
0.010101,2,0.169286
0.0151515,1,0.167918
0.0151515,2,0.169213
0.020202,1,0.167018
0.020202,2,0.166932
0.0252525,1,0.167195
0.0252525,2,0.166974
0.030303,1,0.164995
0.030303,2,0.166065
0.0353535,1,0.166274
0.0353535,2,0.16444
0.040404,1,0.163301
0.040404,2,0.165012
0.0454545,1,0.16136
0.0454545,2,0.162794
0.0505051,1,0.161262
0.0505051,2,0.162503
0.0555556,1,0.160077
0.0555556,2,0.162065
0.0606061,1,0.160331
0.0606061,2,0.159913
0.0656566,1,0.157439
0.0656566,2,0.159231
0.0707071,1,0.156583
0.0707071,2,0.157655
0.0757576,1,0.157409
0.0757576,2,0.157602
0.0808081,1,0.156547
0.0808081,2,0.155346
0.0858586,1,0.154038
0.0858586,2,0.154645
0.0909091,1,0.153399
0.0909091,2,0.154038
0.0959596,1,0.151807
0.0959596,2,0.152503
0.10101,1,0.151465
0.10101,2,0.151612
0.106061,1,0.14999
0.106061,2,0.150111
0.111111,1,0.148816
0.111111,2,0.14871
0.116162,1,0.148314
0.116162,2,0.148372
0.121212,1,0.147104
0.121212,2,0.145674
0.126263,1,0.145887
0.126263,2,0.146093
0.131313,1,0.144433
0.131313,2,0.143977
0.136364,1,0.143893
0.136364,2,0.142569
0.141414,1,0.142569
0.141414,2,0.143748
0.146465,1,0.142127
0.146465,2,0.140223
0.151515,1,0.139593
0.151515,2,0.140364
0.156566,1,0.139074
0.156566,2,0.138476
0.161616,1,0.139074
0.161616,2,0.137864
0.166667,1,0.13714
0.166667,2,0.136733
0.171717,1,0.135977
0.171717,2,0.135985
0.176768,1,0.13472
0.176768,2,0.13468
0.181818,1,0.134371
0.181818,2,0.13318
0.186869,1,0.132821
0.186869,2,0.132894
0.191919,1,0.131884
0.191919,2,0.132806
0.19697,1,0.131912
0.19697,2,0.131301
0.20202,1,0.130124
0.20202,2,0.130142
0.207071,1,0.129478
0.207071,2,0.129272
0.212121,1,0.127851
0.212121,2,0.127877
0.217172,1,0.128462
0.217172,2,0.126304
0.222222,1,0.126158
0.222222,2,0.126604
0.227273,1,0.124939
0.227273,2,0.125495
0.232323,1,0.125083
0.232323,2,0.124339
0.237374,1,0.124212
0.237374,2,0.123571
0.242424,1,0.122585
0.242424,2,0.123259
0.247475,1,0.122275
0.247475,2,0.121087
0.252525,1,0.120968
0.252525,2,0.121197
0.257576,1,0.119814
0.257576,2,0.11998
0.262626,1,0.11937
0.262626,2,0.119049
0.267677,1,0.11833
0.267677,2,0.117813
0.272727,1,0.116972
0.272727,2,0.117929
0.277778,1,0.116365
0.277778,2,0.116395
0.282828,1,0.116265
0.282828,2,0.114678
0.287879,1,0.114695
0.287879,2,0.114666
0.292929,1,0.113829
0.292929,2,0.113797
0.29798,1,0.112528
0.29798,2,0.112584
0.30303,1,0.111729
0.30303,2,0.11208
0.308081,1,0.110551
0.308081,2,0.110893
0.313131,1,0.110179
0.313131,2,0.109959
0.318182,1,0.109306
0.318182,2,0.108731
0.323232,1,0.107984
0.323232,2,0.107843
0.328283,1,0.107092
0.328283,2,0.107396
0.333333,1,0.106165
0.333333,2,0.105744
0.338384,1,0.105618
0.338384,2,0.104946
0.343434,1,0.104198
0.343434,2,0.103982
0.348485,1,0.102977
0.348485,2,0.102543
0.353535,1,0.102295
0.353535,2,0.102487
0.358586,1,0.100891
0.358586,2,0.101337
0.363636,1,0.100168
0.363636,2,0.099904
0.368687,1,0.0989586
0.368687,2,0.0992127
0.373737,1,0.0986109
0.373737,2,0.0981078
0.378788,1,0.0969805
0.378788,2,0.096646
0.383838,1,0.0961727
0.383838,2,0.0962399
0.388889,1,0.0948355
0.388889,2,0.0946587
0.393939,1,0.094304
0.393939,2,0.0943674
0.39899,1,0.0929203
0.39899,2,0.0931158
0.40404,1,0.0918105
0.40404,2,0.0919792
0.409091,1,0.0911727
0.409091,2,0.0912614
0.414141,1,0.090152
0.414141,2,0.09
0.419192,1,0.0894707
0.419192,2,0.089099
0.424242,1,0.0882392
0.424242,2,0.0878677
0.429293,1,0.0875437
0.429293,2,0.0874918
0.434343,1,0.0867977
0.434343,2,0.0864699
0.439394,1,0.0854862
0.439394,2,0.0853541
0.444444,1,0.0849284
0.444444,2,0.0846529
0.449495,1,0.0840005
0.449495,2,0.083827
0.454545,1,0.0831272
0.454545,2,0.0829629
0.459596,1,0.0821495
0.459596,2,0.0821977
0.464646,1,0.080885
0.464646,2,0.0815435
0.469697,1,0.0807332
0.469697,2,0.0800638
0.474747,1,0.0795075
0.474747,2,0.0797548
0.479798,1,0.078921
0.479798,2,0.078733
0.484848,1,0.0778334
0.484848,2,0.0780264
0.489899,1,0.0773561
0.489899,2,0.0769995
0.494949,1,0.0763412
0.494949,2,0.0763405
0.5,1,0.0755102
0.5,2,0.0755601
