gamma,theta_1,cs
0,0.9,0.2688
0,1,0.268533
0,1.1,0.265204
0.010101,0.9,0.267842
0.010101,1,0.263917
0.010101,1.1,0.267607
0.020202,0.9,0.271386
0.020202,1,0.26861
0.020202,1.1,0.266159
0.030303,0.9,0.273213
0.030303,1,0.268889
0.030303,1.1,0.267817
0.040404,0.9,0.269552
0.040404,1,0.266566
0.040404,1.1,0.267036
0.0505051,0.9,0.271649
0.0505051,1,0.269159
0.0505051,1.1,0.264882
0.0606061,0.9,0.275729
0.0606061,1,0.265945
0.0606061,1.1,0.261093
0.0707071,0.9,0.273926
0.0707071,1,0.268102
0.0707071,1.1,0.264745
0.0808081,0.9,0.275009
0.0808081,1,0.269486
0.0808081,1.1,0.265356
0.0909091,0.9,0.276328
0.0909091,1,0.26588
0.0909091,1.1,0.26283
0.10101,0.9,0.274944
0.10101,1,0.267684
0.10101,1.1,0.255647
0.111111,0.9,0.2785
0.111111,1,0.267401
0.111111,1.1,0.261404
0.121212,0.9,0.277769
0.121212,1,0.266521
0.121212,1.1,0.261667
0.131313,0.9,0.281574
0.131313,1,0.264315
0.131313,1.1,0.26104
0.141414,0.9,0.28006
0.141414,1,0.268536
0.141414,1.1,0.260375
0.151515,0.9,0.285055
0.151515,1,0.268445
0.151515,1.1,0.257983
0.161616,0.9,0.282552
0.161616,1,0.269149
0.161616,1.1,0.257624
0.171717,0.9,0.285052
0.171717,1,0.26909
0.171717,1.1,0.259573
0.181818,0.9,0.287965
0.181818,1,0.268059
0.181818,1.1,0.258393
0.191919,0.9,0.281569
0.191919,1,0.266275
0.191919,1.1,0.259085
0.20202,0.9,0.286596
0.20202,1,0.268928
0.20202,1.1,0.254285
0.212121,0.9,0.287415
0.212121,1,0.269041
0.212121,1.1,0.254794
0.222222,0.9,0.289274
0.222222,1,0.267909
0.222222,1.1,0.252348
0.232323,0.9,0.28805
0.232323,1,0.268648
0.232323,1.1,0.254243
0.242424,0.9,0.291912
0.242424,1,0.267895
0.242424,1.1,0.253338
0.252525,0.9,0.29159
0.252525,1,0.270344
0.252525,1.1,0.249841
0.262626,0.9,0.291261
0.262626,1,0.26754
0.262626,1.1,0.251619
0.272727,0.9,0.292307
0.272727,1,0.269016
0.272727,1.1,0.25117
0.282828,0.9,0.293925
0.282828,1,0.268291
0.282828,1.1,0.249058
0.292929,0.9,0.292755
0.292929,1,0.270593
0.292929,1.1,0.248132
0.30303,0.9,0.293541
0.30303,1,0.270864
0.30303,1.1,0.249558
0.313131,0.9,0.294505
0.313131,1,0.270457
0.313131,1.1,0.246467
0.323232,0.9,0.296679
0.323232,1,0.269797
0.323232,1.1,0.246123
0.333333,0.9,0.297201
0.333333,1,0.268068
0.333333,1.1,0.248612
0.343434,0.9,0.297178
0.343434,1,0.270748
0.343434,1.1,0.244073
0.353535,0.9,0.295359
0.353535,1,0.269509
0.353535,1.1,0.244303
0.363636,0.9,0.29855
0.363636,1,0.268244
0.363636,1.1,0.244311
0.373737,0.9,0.298653
0.373737,1,0.27145
0.373737,1.1,0.245232
0.383838,0.9,0.296154
0.383838,1,0.270748
0.383838,1.1,0.244133
0.393939,0.9,0.295578
0.393939,1,0.26896
0.393939,1.1,0.2433
0.40404,0.9,0.299951
0.40404,1,0.269427
