gamma,theta_1,firm,price
0,0.9,1,1.69793
0,0.9,2,1.72871
0,1,1,1.6919
0,1,2,1.73431
0,1.1,1,1.6922
0,1.1,2,1.74296
0.010101,0.9,1,1.69881
0.010101,0.9,2,1.73428
0.010101,1,1,1.69816
0.010101,1,2,1.74211
0.010101,1.1,1,1.69246
0.010101,1.1,2,1.73362
0.020202,0.9,1,1.69398
0.020202,0.9,2,1.73214
0.020202,1,1,1.69804
0.020202,1,2,1.72903
0.020202,1.1,1,1.69543
0.020202,1.1,2,1.73314
0.030303,0.9,1,1.69796
0.030303,0.9,2,1.72711
0.030303,1,1,1.695
0.030303,1,2,1.73112
0.030303,1.1,1,1.69355
0.030303,1.1,2,1.72658
0.040404,0.9,1,1.70495
0.040404,0.9,2,1.7359
0.040404,1,1,1.69695
0.040404,1,2,1.73604
0.040404,1.1,1,1.6896
0.040404,1.1,2,1.73031
0.0505051,0.9,1,1.7059
0.0505051,0.9,2,1.73196
0.0505051,1,1,1.69436
0.0505051,1,2,1.73089
0.0505051,1.1,1,1.69116
0.0505051,1.1,2,1.73244
0.0606061,0.9,1,1.69876
0.0606061,0.9,2,1.72992
0.0606061,1,1,1.70074
0.0606061,1,2,1.73492
0.0606061,1.1,1,1.69619
0.0606061,1.1,2,1.73577
0.0707071,0.9,1,1.70485
0.0707071,0.9,2,1.73388
0.0707071,1,1,1.69884
0.0707071,1,2,1.73073
0.0707071,1.1,1,1.69303
0.0707071,1.1,2,1.72518
0.0808081,0.9,1,1.70454
0.0808081,0.9,2,1.73496
0.0808081,1,1,1.69725
0.0808081,1,2,1.72814
0.0808081,1.1,1,1.68969
0.0808081,1.1,2,1.72357
0.0909091,0.9,1,1.70464
0.0909091,0.9,2,1.73432
0.0909091,1,1,1.7018
0.0909091,1,2,1.73457
0.0909091,1.1,1,1.68802
0.0909091,1.1,2,1.7291
0.10101,0.9,1,1.71307
0.10101,0.9,2,1.73516
0.10101,1,1,1.70164
0.10101,1,2,1.72948
0.10101,1.1,1,1.69819
0.10101,1.1,2,1.73822
0.111111,0.9,1,1.71404
0.111111,0.9,2,1.72868
0.111111,1,1,1.69748
0.111111,1,2,1.73401
0.111111,1.1,1,1.69526
0.111111,1.1,2,1.72181
0.121212,0.9,1,1.71355
0.121212,0.9,2,1.7341
0.121212,1,1,1.7044
0.121212,1,2,1.73116
0.121212,1.1,1,1.69057
0.121212,1.1,2,1.72209
0.131313,0.9,1,1.70823
0.131313,0.9,2,1.73086
0.131313,1,1,1.70555
0.131313,1,2,1.73689
0.131313,1.1,1,1.6882
0.131313,1.1,2,1.723
0.141414,0.9,1,1.71422
0.141414,0.9,2,1.73391
0.141414,1,1,1.69953
0.141414,1,2,1.72938
0.141414,1.1,1,1.68819
0.141414,1.1,2,1.72265
0.151515,0.9,1,1.71431
0.151515,0.9,2,1.72319
0.151515,1,1,1.70444
0.151515,1,2,1.72599
0.151515,1.1,1,1.68788
0.151515,1.1,2,1.72629
0.161616,0.9,1,1.7179
0.161616,0.9,2,1.73108
0.161616,1,1,1.70579
0.161616,1,2,1.7222
0.161616,1.1,1,1.68747
0.161616,1.1,2,1.72534
0.171717,0.9,1,1.71219
0.171717,0.9,2,1.73267
0.171717,1,1,1.70299
0.171717,1,2,1.72441
0.171717,1.1,1,1.68563
0.171717,1.1,2,1.7185
0.181818,0.9,1,1.71406
0.181818,0.9,2,1.72618
0.181818,1,1,1.70424
0.181818,1,2,1.72695
0.181818,1.1,1,1.68773
0.181818,1.1,2,1.71728
0.191919,0.9,1,1.72777
0.191919,0.9,2,1.73733
0.191919,1,1,1.70829
0.191919,1,2,1.72905
0.191919,1.1,1,1.68373
0.191919,1.1,2,1.71582
0.20202,0.9,1,1.71822
0.20202,0.9,2,1.73416
0.20202,1,1,1.70604
0.20202,1,2,1.72281
0.20202,1.1,1,1.68971
0.20202,1.1,2,1.72149
0.212121,0.9,1,1.7231
0.212121,0.9,2,1.73105
0.212121,1,1,1.70593
0.212121,1,2,1.7222
0.212121,1.1,1,1.68955
0.212121,1.1,2,1.71753
0.222222,0.9,1,1.7197
0.222222,0.9,2,1.73183
0.222222,1,1,1.70581
0.222222,1,2,1.72615
0.222222,1.1,1,1.69369
0.222222,1.1,2,1.71823
0.232323,0.9,1,1.72652
0.232323,0.9,2,1.73329
0.232323,1,1,1.70401
0.232323,1,2,1.72559
0.232323,1.1,1,1.68883
0.232323,1.1,2,1.71418
0.242424,0.9,1,1.72358
0.242424,0.9,2,1.72852
0.242424,1,1,1.706
0.242424,1,2,1.72571
0.242424,1.1,1,1.68635
0.242424,1.1,2,1.71583
0.252525,0.9,1,1.72582
0.252525,0.9,2,1.73133
0.252525,1,1,1.70595
0.252525,1,2,1.71937
0.252525,1.1,1,1.69362
0.252525,1.1,2,1.71663
0.262626,0.9,1,1.72714
0.262626,0.9,2,1.73516
0.262626,1,1,1.70893
0.262626,1,2,1.7246
0.262626,1.1,1,1.68692
0.262626,1.1,2,1.71442
0.272727,0.9,1,1.7266
0.272727,0.9,2,1.73565
0.272727,1,1,1.70971
0.272727,1,2,1.71921
0.272727,1.1,1,1.68578
0.272727,1.1,2,1.71416
0.282828,0.9,1,1.72705
0.282828,0.9,2,1.73436
0.282828,1,1,1.70754
0.282828,1,2,1.72362
0.282828,1.1,1,1.687
0.282828,1.1,2,1.71677
0.292929,0.9,1,1.73705
0.292929,0.9,2,1.73315
0.292929,1,1,1.71047
0.292929,1,2,1.71365
0.292929,1.1,1,1.69001
0.292929,1.1,2,1.71307
0.30303,0.9,1,1.73411
0.30303,0.9,2,1.73715
0.30303,1,1,1.70646
0.30303,1,2,1.71724
0.30303,1.1,1,1.68165
0.30303,1.1,2,1.71399
0.313131,0.9,1,1.7383
0.313131,0.9,2,1.73397
0.313131,1,1,1.70697
0.313131,1,2,1.71736
0.313131,1.1,1,1.68912
0.313131,1.1,2,1.71351
0.323232,0.9,1,1.73341
0.323232,0.9,2,1.73541
0.323232,1,1,1.70841
0.323232,1,2,1.71805
0.323232,1.1,1,1.68318
0.323232,1.1,2,1.71807
0.333333,0.9,1,1.73781
0.333333,0.9,2,1.73322
0.333333,1,1,1.71106
0.333333,1,2,1.72125
0.333333,1.1,1,1.6788
0.333333,1.1,2,1.71068
0.343434,0.9,1,1.73587
0.343434,0.9,2,1.73893
0.343434,1,1,1.70712
0.343434,1,2,1.71623
0.343434,1.1,1,1.68768
0.343434,1.1,2,1.71301
0.353535,0.9,1,1.74317
0.353535,0.9,2,1.74162
0.353535,1,1,1.70928
0.353535,1,2,1.71832
0.353535,1.1,1,1.68826
0.353535,1.1,2,1.70891
0.363636,0.9,1,1.74015
0.363636,0.9,2,1.73835
0.363636,1,1,1.7125
0.363636,1,2,1.71926
0.363636,1.1,1,1.68362
0.363636,1.1,2,1.71072
0.373737,0.9,1,1.74842
0.373737,0.9,2,1.73493
0.373737,1,1,1.70908
0.373737,1,2,1.71265
0.373737,1.1,1,1.68196
0.373737,1.1,2,1.70654
0.383838,0.9,1,1.75087
0.383838,0.9,2,1.74341
0.383838,1,1,1.70576
0.383838,1,2,1.71802
0.383838,1.1,1,1.68073
0.383838,1.1,2,1.70787
0.393939,0.9,1,1.75528
0.393939,0.9,2,1.74467
0.393939,1,1,1.71175
0.393939,1,2,1.71797
0.393939,1.1,1,1.6839
0.393939,1.1,2,1.7045
0.40404,0.9,1,1.74823
0.40404,0.9,2,1.74121
0.40404,1,1,1.71259
0.40404,1,2,1.71577
0.40404,1.1,1,1.68087
0.40404,1.1,2,1.70442
0.414141,0.9,1,1.75928
0.414141,0.9,2,1.74439
0.414141,1,1,1.71209
0.414141,1,2,1.71647
0.414141,1.1,1,1.68145
0.414141,1.1,2,1.69624
0.424242,0.9,1,1.75208
0.424242,0.9,2,1.742
0.424242,1,1,1.71347
0.424242,1,2,1.71646
0.424242,1.1,1,1.68316
0.424242,1.1,2,1.69899
0.434343,0.9,1,1.76323
0.434343,0.9,2,1.74594
0.434343,1,1,1.71239
0.434343,1,2,1.70924
0.434343,1.1,1,1.68307
0.434343,1.1,2,1.70238
0.444444,0.9,1,1.76135
0.444444,0.9,2,1.74758
0.444444,1,1,1.70787
0.444444,1,2,1.7122
0.444444,1.1,1,1.68407
0.444444,1.1,2,1.7052
0.454545,0.9,1,1.76194
0.454545,0.9,2,1.74875
0.454545,1,1,1.71205
0.454545,1,2,1.71287
0.454545,1.1,1,1.68697
0.454545,1.1,2,1.70269
0.464646,0.9,1,1.76279
0.464646,0.9,2,1.74867
0.464646,1,1,1.71448
0.464646,1,2,1.71256
0.464646,1.1,1,1.68182
0.464646,1.1,2,1.70015
0.474747,0.9,1,1.76831
0.474747,0.9,2,1.74949
0.474747,1,1,1.71637
0.474747,1,2,1.71416
0.474747,1.1,1,1.68218
0.474747,1.1,2,1.69837
0.484848,0.9,1,1.76525
0.484848,0.9,2,1.74843
0.484848,1,1,1.71209
0.484848,1,2,1.71006
0.484848,1.1,1,1.68017
0.484848,1.1,2,1.70081
0.494949,0.9,1,1.77155
0.494949,0.9,2,1.75085
0.494949,1,1,1.71873
0.494949,1,2,1.71491
0.494949,1.1,1,1.67887
0.494949,1.1,2,1.69536
0.505051,0.9,1,1.77014
0.505051,0.9,2,1.74925
0.505051,1,1,1.71371
0.505051,1,2,1.70987
0.505051,1.1,1,1.68185
0.505051,1.1,2,1.69001
0.515152,0.9,1,1.76848
0.515152,0.9,2,1.74841
0.515152,1,1,1.71262
0.515152,1,2,1.71317
0.515152,1.1,1,1.67933
0.515152,1.1,2,1.69835
0.525253,0.9,1,1.77029
0.525253,0.9,2,1.7494
0.525253,1,1,1.71012
0.525253,1,2,1.71097
0.525253,1.1,1,1.68134
0.525253,1.1,2,1.6937
0.535354,0.9,1,1.78312
0.535354,0.9,2,1.75545
0.535354,1,1,1.71212
0.535354,1,2,1.70906
0.535354,1.1,1,1.67971
0.535354,1.1,2,1.69341
0.545455,0.9,1,1.7787
0.545455,0.9,2,1.74963
0.545455,1,1,1.71302
0.545455,1,2,1.71043
0.545455,1.1,1,1.67312
0.545455,1.1,2,1.68639
0.555556,0.9,1,1.78547
0.555556,0.9,2,1.75328
0.555556,1,1,1.71419
0.555556,1,2,1.71029
0.555556,1.1,1,1.67594
0.555556,1.1,2,1.6838
0.565657,0.9,1,1.77877
0.565657,0.9,2,1.75081
0.565657,1,1,1.71296
0.565657,1,2,1.70858
0.565657,1.1,1,1.67769
0.565657,1.1,2,1.687
0.575758,0.9,1,1.77952
0.575758,0.9,2,1.75604
0.575758,1,1,1.71542
0.575758,1,2,1.71265
0.575758,1.1,1,1.67339
0.575758,1.1,2,1.67726
0.585859,0.9,1,1.77948
0.585859,0.9,2,1.75673
0.585859,1,1,1.71595
0.585859,1,2,1.70906
0.585859,1.1,1,1.67907
0.585859,1.1,2,1.68317
0.59596,0.9,1,1.78039
0.59596,0.9,2,1.75386
0.59596,1,1,1.71606
0.59596,1,2,1.71327
0.59596,1.1,1,1.66366
0.59596,1.1,2,1.67465
0.606061,0.9,1,1.78973
0.606061,0.9,2,1.7581
0.606061,1,1,1.71173
0.606061,1,2,1.70807
0.606061,1.1,1,1.67427
0.606061,1.1,2,1.67969
0.616162,0.9,1,1.78546
0.616162,0.9,2,1.7486
0.616162,1,1,1.71945
0.616162,1,2,1.71079
0.616162,1.1,1,1.67619
0.616162,1.1,2,1.68494
0.626263,0.9,1,1.78763
0.626263,0.9,2,1.7558
0.626263,1,1,1.71637
0.626263,1,2,1.71068
0.626263,1.1,1,1.66556
0.626263,1.1,2,1.67826
0.636364,0.9,1,1.78776
0.636364,0.9,2,1.75432
0.636364,1,1,1.71604
0.636364,1,2,1.70762
0.636364,1.1,1,1.66874
0.636364,1.1,2,1.67485
0.646465,0.9,1,1.78832
0.646465,0.9,2,1.76405
0.646465,1,1,1.71448
0.646465,1,2,1.71025
0.646465,1.1,1,1.66688
0.646465,1.1,2,1.67591
0.656566,0.9,1,1.79327
0.656566,0.9,2,1.7571
0.656566,1,1,1.71355
0.656566,1,2,1.70566
0.656566,1.1,1,1.66898
0.656566,1.1,2,1.67151
0.666667,0.9,1,1.79197
0.666667,0.9,2,1.76002
0.666667,1,1,1.71715
0.666667,1,2,1.71045
0.666667,1.1,1,1.66446
0.666667,1.1,2,1.66809
0.676768,0.9,1,1.79523
0.676768,0.9,2,1.75097
0.676768,1,1,1.71691
0.676768,1,2,1.71105
0.676768,1.1,1,1.65684
0.676768,1.1,2,1.66108
0.686869,0.9,1,1.79282
0.686869,0.9,2,1.7615
0.686869,1,1,1.72204
0.686869,1,2,1.71095
0.686869,1.1,1,1.66336
0.686869,1.1,2,1.66528
0.69697,0.9,1,1.79451
0.69697,0.9,2,1.75873
0.69697,1,1,1.71653
0.69697,1,2,1.70398
0.69697,1.1,1,1.65979
0.69697,1.1,2,1.66722
0.707071,0.9,1,1.79603
0.707071,0.9,2,1.75197
0.707071,1,1,1.72323
0.707071,1,2,1.70698
0.707071,1.1,1,1.65827
0.707071,1.1,2,1.6638
0.717172,0.9,1,1.7931
0.717172,0.9,2,1.76215
0.717172,1,1,1.72445
0.717172,1,2,1.70824
0.717172,1.1,1,1.66077
0.717172,1.1,2,1.65408
0.727273,0.9,1,1.8053
0.727273,0.9,2,1.76604
0.727273,1,1,1.72066
0.727273,1,2,1.70719
0.727273,1.1,1,1.66168
0.727273,1.1,2,1.65734
0.737374,0.9,1,1.79834
0.737374,0.9,2,1.75952
0.737374,1,1,1.71925
0.737374,1,2,1.70669
0.737374,1.1,1,1.65956
0.737374,1.1,2,1.6584
0.747475,0.9,1,1.80086
0.747475,0.9,2,1.7598
0.747475,1,1,1.72569
0.747475,1,2,1.70849
0.747475,1.1,1,1.66083
0.747475,1.1,2,1.65868
0.757576,0.9,1,1.80496
0.757576,0.9,2,1.76063
0.757576,1,1,1.71894
0.757576,1,2,1.70535
0.757576,1.1,1,1.66016
0.757576,1.1,2,1.65524
0.767677,0.9,1,1.79882
0.767677,0.9,2,1.76311
0.767677,1,1,1.7191
0.767677,1,2,1.70378
0.767677,1.1,1,1.66094
0.767677,1.1,2,1.65361
0.777778,0.9,1,1.80477
0.777778,0.9,2,1.76517
0.777778,1,1,1.7256
0.777778,1,2,1.70284
0.777778,1.1,1,1.66102
0.777778,1.1,2,1.65475
0.787879,0.9,1,1.79239
0.787879,0.9,2,1.75407
0.787879,1,1,1.72392
0.787879,1,2,1.70385
0.787879,1.1,1,1.65578
0.787879,1.1,2,1.64834
0.79798,0.9,1,1.79893
0.79798,0.9,2,1.758
0.79798,1,1,1.72293
0.79798,1,2,1.70309
0.79798,1.1,1,1.65102
0.79798,1.1,2,1.64631
0.808081,0.9,1,1.80274
0.808081,0.9,2,1.76227
0.808081,1,1,1.72093
0.808081,1,2,1.70546
0.808081,1.1,1,1.65146
0.808081,1.1,2,1.64449
0.818182,0.9,1,1.80393
0.818182,0.9,2,1.75554
0.818182,1,1,1.72742
0.818182,1,2,1.70659
0.818182,1.1,1,1.65022
0.818182,1.1,2,1.64765
0.828283,0.9,1,1.80479
0.828283,0.9,2,1.76079
0.828283,1,1,1.72508
0.828283,1,2,1.7031
0.828283,1.1,1,1.65507
0.828283,1.1,2,1.64714
0.838384,0.9,1,1.80826
0.838384,0.9,2,1.76085
0.838384,1,1,1.72283
0.838384,1,2,1.70267
0.838384,1.1,1,1.64812
0.838384,1.1,2,1.64408
0.848485,0.9,1,1.80661
0.848485,0.9,2,1.75938
0.848485,1,1,1.72208
0.848485,1,2,1.70257
0.848485,1.1,1,1.65283
0.848485,1.1,2,1.64143
0.858586,0.9,1,1.80544
0.858586,0.9,2,1.76271
0.858586,1,1,1.72682
0.858586,1,2,1.70138
0.858586,1.1,1,1.65427
0.858586,1.1,2,1.64474
0.868687,0.9,1,1.80905
0.868687,0.9,2,1.76712
0.868687,1,1,1.72806
0.868687,1,2,1.70103
0.868687,1.1,1,1.64644
0.868687,1.1,2,1.63803
0.878788,0.9,1,1.80413
0.878788,0.9,2,1.75744
0.878788,1,1,1.72969
0.878788,1,2,1.69915
0.878788,1.1,1,1.65175
0.878788,1.1,2,1.63981
0.888889,0.9,1,1.8136
0.888889,0.9,2,1.76613
0.888889,1,1,1.72913
0.888889,1,2,1.70168
0.888889,1.1,1,1.64754
0.888889,1.1,2,1.63633
0.89899,0.9,1,1.81088
0.89899,0.9,2,1.75917
0.89899,1,1,1.72446
0.89899,1,2,1.69885
0.89899,1.1,1,1.65471
0.89899,1.1,2,1.64132
0.909091,0.9,1,1.80722
0.909091,0.9,2,1.76506
0.909091,1,1,1.73042
0.909091,1,2,1.69718
0.909091,1.1,1,1.64615
0.909091,1.1,2,1.63468
0.919192,0.9,1,1.8177
0.919192,0.9,2,1.76472
0.919192,1,1,1.73157
0.919192,1,2,1.69993
0.919192,1.1,1,1.64551
0.919192,1.1,2,1.63396
0.929293,0.9,1,1.81274
0.929293,0.9,2,1.76548
0.929293,1,1,1.73127
0.929293,1,2,1.69729
0.929293,1.1,1,1.64865
0.929293,1.1,2,1.63161
0.939394,0.9,1,1.81457
0.939394,0.9,2,1.761
0.939394,1,1,1.73601
0.939394,1,2,1.70554
0.939394,1.1,1,1.6454
0.939394,1.1,2,1.63301
0.949495,0.9,1,1.81444
0.949495,0.9,2,1.76578
0.949495,1,1,1.73328
0.949495,1,2,1.70201
0.949495,1.1,1,1.65005
0.949495,1.1,2,1.63321
0.959596,0.9,1,1.81607
0.959596,0.9,2,1.76373
0.959596,1,1,1.7349
0.959596,1,2,1.69507
0.959596,1.1,1,1.64938
0.959596,1.1,2,1.63742
0.969697,0.9,1,1.81674
0.969697,0.9,2,1.76615
0.969697,1,1,1.73441
0.969697,1,2,1.69711
0.969697,1.1,1,1.64625
0.969697,1.1,2,1.6336
0.979798,0.9,1,1.82887
0.979798,0.9,2,1.77458
0.979798,1,1,1.72999
0.979798,1,2,1.69761
0.979798,1.1,1,1.64836
