gamma,theta_1,firm,profit
0,0.9,1,0.100688
0,0.9,2,0.141895
0,1,1,0.101866
0,1,2,0.140483
0,1.1,1,0.103124
0,1.1,2,0.139945
0.010101,0.9,1,0.102182
0.010101,0.9,2,0.141371
0.010101,1,1,0.103107
0.010101,1,2,0.140449
0.010101,1.1,1,0.101748
0.010101,1.1,2,0.139996
0.020202,0.9,1,0.102875
0.020202,0.9,2,0.140412
0.020202,1,1,0.101712
0.020202,1,2,0.140963
0.020202,1.1,1,0.101525
0.020202,1.1,2,0.139582
0.030303,0.9,1,0.102736
0.030303,0.9,2,0.141213
0.030303,1,1,0.102551
0.030303,1,2,0.139866
0.030303,1.1,1,0.100966
0.030303,1.1,2,0.139268
0.040404,0.9,1,0.104367
0.040404,0.9,2,0.141231
0.040404,1,1,0.103687
0.040404,1,2,0.139341
0.040404,1.1,1,0.101647
0.040404,1.1,2,0.137448
0.0505051,0.9,1,0.104716
0.0505051,0.9,2,0.141625
0.0505051,1,1,0.103677
0.0505051,1,2,0.138809
0.0505051,1.1,1,0.101971
0.0505051,1.1,2,0.136745
0.0606061,0.9,1,0.105516
0.0606061,0.9,2,0.140401
0.0606061,1,1,0.104323
0.0606061,1,2,0.138985
0.0606061,1.1,1,0.1024
0.0606061,1.1,2,0.136646
0.0707071,0.9,1,0.106588
0.0707071,0.9,2,0.140682
0.0707071,1,1,0.104186
0.0707071,1,2,0.138492
0.0707071,1.1,1,0.101265
0.0707071,1.1,2,0.136187
0.0808081,0.9,1,0.107568
0.0808081,0.9,2,0.140181
0.0808081,1,1,0.104491
0.0808081,1,2,0.137929
0.0808081,1.1,1,0.101194
0.0808081,1.1,2,0.135106
0.0909091,0.9,1,0.108305
0.0909091,0.9,2,0.140153
0.0909091,1,1,0.105708
0.0909091,1,2,0.13773
0.0909091,1.1,1,0.102293
0.0909091,1.1,2,0.13384
0.10101,0.9,1,0.108691
0.10101,0.9,2,0.141069
0.10101,1,1,0.10546
0.10101,1,2,0.137615
0.10101,1.1,1,0.103177
0.10101,1.1,2,0.134044
0.111111,0.9,1,0.108181
0.111111,0.9,2,0.141277
0.111111,1,1,0.106819
0.111111,1,2,0.13617
0.111111,1.1,1,0.100954
