a,cs
1,0.172672
1.0101,0.174986
1.0202,0.172707
1.0303,0.173952
1.0404,0.175835
1.05051,0.174555
1.06061,0.175799
1.07071,0.177097
1.08081,0.178741
1.09091,0.178149
1.10101,0.179148
1.11111,0.179852
1.12121,0.179883
1.13131,0.179904
1.14141,0.182354
1.15152,0.181842
1.16162,0.183977
1.17172,0.182963
1.18182,0.185477
1.19192,0.186799
1.20202,0.18806
1.21212,0.18958
1.22222,0.191808
1.23232,0.192847
1.24242,0.19315
1.25253,0.195707
1.26263,0.194881
1.27273,0.197746
1.28283,0.200277
1.29293,0.199333
1.30303,0.200136
1.31313,0.20255
1.32323,0.203065
1.33333,0.205988
1.34343,0.202641
1.35354,0.204943
1.36364,0.206728
1.37374,0.208454
1.38384,0.207114
1.39394,0.210913
1.40404,0.214747
1.41414,0.209201
1.42424,0.21344
1.43434,0.215801
1.44444,0.215415
1.45455,0.219583
1.46465,0.220922
1.47475,0.222672
1.48485,0.228499
1.49495,0.227637
1.50505,0.229995
1.51515,0.236005
1.52525,0.236171
1.53535,0.238646
1.54545,0.239973
1.55556,0.243109
1.56566,0.24234
1.57576,0.244639
1.58586,0.249531
1.59596,0.246343
1.60606,0.253596
1.61616,0.252434
1.62626,0.254151
1.63636,0.256481
1.64646,0.254731
1.65657,0.25307
1.66667,0.254331
1.67677,0.257482
1.68687,0.262787
1.69697,0.264655
1.70707,0.268002
1.71717,0.27368
1.72727,0.271174
1.73737,0.273574
1.74747,0.28358
1.75758,0.281832
1.76768,0.290131
1.77778,0.293136
1.78788,0.292117
1.79798,0.297993
1.80808,0.297201
1.81818,0.297183
1.82828,0.301885
1.83838,0.302023
1.84848,0.301998
1.85859,0.303066
1.86869,0.306736
1.87879,0.304983
1.88889,0.307263
1.89899,0.312152
1.90909,0.315168
1.91919,0.315603
1.92929,0.324693
1.93939,0.326698
1.94949,0.32853
1.9596,0.331398
1.9697,0.339105
1.9798,0.339583
1.9899,0.338846
2,0.34304
