a,t
1,775357
1.0101,794580
1.0202,754640
1.0303,765529
1.0404,766041
1.05051,763689
1.06061,759109
1.07071,779388
1.08081,773864
1.09091,759169
1.10101,778966
1.11111,769296
1.12121,776561
1.13131,777995
1.14141,763219
1.15152,761494
1.16162,767129
1.17172,761319
1.18182,767051
1.19192,777341
1.20202,786600
1.21212,769978
1.22222,791885
1.23232,769802
1.24242,785972
1.25253,780482
1.26263,756513
1.27273,768059
1.28283,775257
1.29293,752316
1.30303,767988
1.31313,747144
1.32323,758800
1.33333,782872
1.34343,732275
1.35354,761138
1.36364,763325
1.37374,789708
1.38384,776238
1.39394,744221
1.40404,780205
1.41414,770814
1.42424,758748
1.43434,757971
1.44444,751078
1.45455,750722
1.46465,777393
1.47475,753494
1.48485,761858
1.49495,773419
1.50505,773495
1.51515,758940
1.52525,789900
1.53535,749197
1.54545,759933
1.55556,755724
1.56566,789117
1.57576,735768
1.58586,750071
1.59596,775844
1.60606,735028
1.61616,747244
1.62626,735253
1.63636,733486
1.64646,742809
1.65657,757720
1.66667,750423
1.67677,753349
1.68687,742691
1.69697,755944
1.70707,757072
1.71717,752265
1.72727,729906
1.73737,746526
1.74747,739105
1.75758,718807
1.76768,744942
1.77778,738157
1.78788,729198
1.79798,750164
1.80808,747135
1.81818,741057
1.82828,732195
1.83838,736933
1.84848,747882
1.85859,751856
1.86869,749413
1.87879,729950
1.88889,737307
1.89899,735090
1.90909,723697
1.91919,749796
1.92929,718732
1.93939,747849
1.94949,751874
1.9596,743235
1.9697,732794
1.9798,730186
1.9899,721401
2,747364
