a,firm,demand
1,1,0.445044
1,2,0.0530375
1.0101,1,0.447457
1.0101,2,0.0551233
1.0202,1,0.441394
1.0202,2,0.0569166
1.0303,1,0.441732
1.0303,2,0.0589219
1.0404,1,0.443493
1.0404,2,0.0607843
1.05051,1,0.438762
1.05051,2,0.0632015
1.06061,1,0.438669
1.06061,2,0.0657227
1.07071,1,0.438462
1.07071,2,0.0684185
1.08081,1,0.439706
1.08081,2,0.0703347
1.09091,1,0.436234
1.09091,2,0.0727287
1.10101,1,0.434939
1.10101,2,0.0759977
1.11111,1,0.434256
1.11111,2,0.0780678
1.12121,1,0.43075
1.12121,2,0.0817619
1.13131,1,0.428978
1.13131,2,0.0836103
1.14141,1,0.431323
1.14141,2,0.0858357
1.15152,1,0.426354
1.15152,2,0.0899666
1.16162,1,0.428482
1.16162,2,0.0917614
1.17172,1,0.424283
1.17172,2,0.0941636
1.18182,1,0.427114
1.18182,2,0.0959323
1.19192,1,0.426389
1.19192,2,0.0991802
1.20202,1,0.425038
1.20202,2,0.102812
1.21212,1,0.427176
1.21212,2,0.103394
1.22222,1,0.428576
1.22222,2,0.105939
1.23232,1,0.424183
1.23232,2,0.112445
1.24242,1,0.42737
1.24242,2,0.109623
1.25253,1,0.426794
1.25253,2,0.114771
1.26263,1,0.425313
1.26263,2,0.114759
1.27273,1,0.425612
1.27273,2,0.119527
1.28283,1,0.424845
1.28283,2,0.124763
1.29293,1,0.422536
1.29293,2,0.125451
1.30303,1,0.419239
1.30303,2,0.130225
1.31313,1,0.421818
1.31313,2,0.131834
1.32323,1,0.417145
1.32323,2,0.137418
1.33333,1,0.415382
1.33333,2,0.144372
1.34343,1,0.40899
1.34343,2,0.144887
1.35354,1,0.40878
1.35354,2,0.149206
1.36364,1,0.406
1.36364,2,0.155076
1.37374,1,0.404084
1.37374,2,0.160081
1.38384,1,0.400511
1.38384,2,0.161768
1.39394,1,0.401946
1.39394,2,0.166457
1.40404,1,0.40023
1.40404,2,0.174612
1.41414,1,0.389923
1.41414,2,0.175903
1.42424,1,0.390204
1.42424,2,0.182604
1.43434,1,0.391062
1.43434,2,0.185854
1.44444,1,0.386376
1.44444,2,0.189794
1.45455,1,0.387302
1.45455,2,0.196072
1.46465,1,0.385943
1.46465,2,0.199536
1.47475,1,0.381529
1.47475,2,0.207074
1.48485,1,0.391016
1.48485,2,0.206619
1.49495,1,0.37982
1.49495,2,0.216555
1.50505,1,0.379822
1.50505,2,0.220257
1.51515,1,0.384803
1.51515,2,0.224748
1.52525,1,0.377467
1.52525,2,0.232106
1.53535,1,0.378061
1.53535,2,0.235525
1.54545,1,0.379247
1.54545,2,0.235837
1.55556,1,0.380201
1.55556,2,0.239789
1.56566,1,0.370444
1.56566,2,0.2483
1.57576,1,0.371526
1.57576,2,0.250492
1.58586,1,0.373472
1.58586,2,0.25584
1.59596,1,0.362957
1.59596,2,0.261476
1.60606,1,0.367199
1.60606,2,0.267881
1.61616,1,0.362077
1.61616,2,0.271396
1.62626,1,0.357678
1.62626,2,0.277954
1.63636,1,0.354902
1.63636,2,0.284617
1.64646,1,0.349992
1.64646,2,0.286638
1.65657,1,0.34874
1.65657,2,0.285747
1.66667,1,0.339085
1.66667,2,0.297139
1.67677,1,0.337009
1.67677,2,0.303818
1.68687,1,0.33758
1.68687,2,0.311213
1.69697,1,0.337253
1.69697,2,0.31401
1.70707,1,0.34022
1.70707,2,0.315411
1.71717,1,0.343214
1.71717,2,0.320339
1.72727,1,0.331529
1.72727,2,0.329034
1.73737,1,0.333214
1.73737,2,0.330236
1.74747,1,0.336063
1.74747,2,0.340892
1.75758,1,0.333358
1.75758,2,0.34051
1.76768,1,0.330193
1.76768,2,0.355077
1.77778,1,0.331925
1.77778,2,0.356555
1.78788,1,0.326907
1.78788,2,0.360088
1.79798,1,0.319125
1.79798,2,0.375297
1.80808,1,0.319605
1.80808,2,0.373451
1.81818,1,0.315573
1.81818,2,0.377287
1.82828,1,0.312203
1.82828,2,0.386474
1.83838,1,0.315496
1.83838,2,0.383326
1.84848,1,0.306743
1.84848,2,0.392017
1.85859,1,0.303544
1.85859,2,0.396559
1.86869,1,0.305279
1.86869,2,0.39922
1.87879,1,0.301034
1.87879,2,0.401182
1.88889,1,0.293969
1.88889,2,0.411213
1.89899,1,0.296137
1.89899,2,0.41497
1.90909,1,0.297971
1.90909,2,0.416444
1.91919,1,0.290866
1.91919,2,0.424059
1.92929,1,0.294664
1.92929,2,0.430833
1.93939,1,0.287196
1.93939,2,0.440375
1.94949,1,0.284287
1.94949,2,0.444818
1.9596,1,0.285784
1.9596,2,0.446137
1.9697,1,0.284171
1.9697,2,0.456161
1.9798,1,0.280277
1.9798,2,0.460416
1.9899,1,0.271994
1.9899,2,0.467346
2,1,0.270383
2,2,0.47293
