a,firm,profit
1,1,0.188252
1,2,0.0164281
1.0101,1,0.187844
1.0101,2,0.0170109
1.0202,1,0.187488
1.0202,2,0.0178153
1.0303,1,0.187058
1.0303,2,0.0184416
1.0404,1,0.186699
1.0404,2,0.0190558
1.05051,1,0.186226
1.05051,2,0.0199102
1.06061,1,0.185733
1.06061,2,0.0206537
1.07071,1,0.185209
1.07071,2,0.0213743
1.08081,1,0.184812
1.08081,2,0.0221109
1.09091,1,0.184327
1.09091,2,0.0230261
1.10101,1,0.1837
1.10101,2,0.0239255
1.11111,1,0.183292
1.11111,2,0.0247725
1.12121,1,0.182575
1.12121,2,0.0258623
1.13131,1,0.182195
1.13131,2,0.0267923
1.14141,1,0.181729
1.14141,2,0.0276208
1.15152,1,0.180929
1.15152,2,0.0288042
1.16162,1,0.180557
1.16162,2,0.0296554
1.17172,1,0.180059
1.17172,2,0.030841
1.18182,1,0.179681
1.18182,2,0.0316451
1.19192,1,0.179069
1.19192,2,0.0327929
1.20202,1,0.178329
1.20202,2,0.0339435
1.21212,1,0.178175
1.21212,2,0.0348558
1.22222,1,0.177606
1.22222,2,0.0358386
1.23232,1,0.176373
1.23232,2,0.0374731
1.24242,1,0.176926
1.24242,2,0.0382357
1.25253,1,0.175834
1.25253,2,0.0395501
1.26263,1,0.175881
1.26263,2,0.0408867
1.27273,1,0.174874
1.27273,2,0.0422051
1.28283,1,0.173762
1.28283,2,0.0436603
1.29293,1,0.173677
1.29293,2,0.0451358
1.30303,1,0.172717
1.30303,2,0.0468069
1.31313,1,0.172454
1.31313,2,0.0480605
1.32323,1,0.17126
1.32323,2,0.049957
1.33333,1,0.169894
1.33333,2,0.0517214
1.34343,1,0.169656
1.34343,2,0.0538314
1.35354,1,0.168944
1.35354,2,0.0554871
1.36364,1,0.167641
1.36364,2,0.0573602
1.37374,1,0.166791
1.37374,2,0.0593714
1.38384,1,0.16657
1.38384,2,0.0614098
1.39394,1,0.165502
1.39394,2,0.0630392
1.40404,1,0.163803
1.40404,2,0.0650781
1.41414,1,0.163602
1.41414,2,0.0682081
1.42424,1,0.162134
1.42424,2,0.0700667
1.43434,1,0.161706
1.43434,2,0.0717939
1.44444,1,0.160785
1.44444,2,0.0742711
1.45455,1,0.159652
1.45455,2,0.0765007
1.46465,1,0.158942
1.46465,2,0.0786702
1.47475,1,0.157463
1.47475,2,0.0816231
1.48485,1,0.157426
1.48485,2,0.0823545
1.49495,1,0.155357
1.49495,2,0.0861628
1.50505,1,0.15458
1.50505,2,0.0883945
1.51515,1,0.153835
1.51515,2,0.0899505
1.52525,1,0.152174
1.52525,2,0.0933642
1.53535,1,0.151705
1.53535,2,0.0956002
1.54545,1,0.151364
1.54545,2,0.0975754
1.55556,1,0.150732
1.55556,2,0.0999796
1.56566,1,0.148935
1.56566,2,0.103791
1.57576,1,0.148497
1.57576,2,0.106217
1.58586,1,0.147504
1.58586,2,0.108681
1.59596,1,0.14621
1.59596,2,0.112751
1.60606,1,0.144981
1.60606,2,0.114883
1.61616,1,0.144317
1.61616,2,0.118429
1.62626,1,0.142824
1.62626,2,0.121877
1.63636,1,0.141864
1.63636,2,0.125519
1.64646,1,0.141237
1.64646,2,0.129273
1.65657,1,0.141233
1.65657,2,0.132403
1.66667,1,0.138976
1.66667,2,0.137489
1.67677,1,0.137655
1.67677,2,0.140875
1.68687,1,0.136503
1.68687,2,0.144279
1.69697,1,0.135939
1.69697,2,0.147311
1.70707,1,0.135515
1.70707,2,0.149701
1.71717,1,0.134533
1.71717,2,0.152361
1.72727,1,0.133031
1.72727,2,0.158752
1.73737,1,0.132785
1.73737,2,0.1611
1.74747,1,0.130668
1.74747,2,0.163996
1.75758,1,0.13043
1.75758,2,0.16771
1.76768,1,0.127839
1.76768,2,0.172164
1.77778,1,0.127404
1.77778,2,0.174705
1.78788,1,0.126549
1.78788,2,0.179595
1.79798,1,0.123656
1.79798,2,0.18492
1.80808,1,0.123823
1.80808,2,0.188329
1.81818,1,0.123163
1.81818,2,0.193141
1.82828,1,0.121368
1.82828,2,0.197613
1.83838,1,0.122115
1.83838,2,0.200028
1.84848,1,0.120321
1.84848,2,0.206352
1.85859,1,0.119378
1.85859,2,0.211556
1.86869,1,0.118784
1.86869,2,0.215032
1.87879,1,0.118336
1.87879,2,0.220163
1.88889,1,0.116349
1.88889,2,0.226553
1.89899,1,0.115761
1.89899,2,0.229765
1.90909,1,0.115436
1.90909,2,0.233169
1.91919,1,0.113727
1.91919,2,0.239966
1.92929,1,0.112553
1.92929,2,0.242694
1.93939,1,0.11073
1.93939,2,0.249021
1.94949,1,0.109837
1.94949,2,0.253835
1.9596,1,0.109479
1.9596,2,0.257538
1.9697,1,0.107504
1.9697,2,0.262006
1.9798,1,0.106685
1.9798,2,0.267524
1.9899,1,0.105189
1.9899,2,0.27458
2,1,0.103877
2,2,0.278911
