omega,a,action,Count
0,1,1,0.0086283
0,1,2,0.981298
0,1,3,0.0012263
0,1,4,0.0088473
0,1.0101,1,0.0087163
0,1.0101,2,0.982763
0,1.0101,3,0.0017167
0,1.0101,4,0.0068037
0,1.0202,1,0.0058256
0,1.0202,2,0.985345
0,1.0202,3,0.0014825
0,1.0202,4,0.0073464
0,1.0303,1,0.0113365
0,1.0303,2,0.981291
0,1.0303,3,0.0009388
0,1.0303,4,0.0064339
0,1.0404,1,0.0088457
0,1.0404,2,0.980082
0,1.0404,3,0.0017956
0,1.0404,4,0.0092763
0,1.05051,1,0.0081859
0,1.05051,2,0.984725
0,1.05051,3,0.0014001
0,1.05051,4,0.0056886
0,1.06061,1,0.0072948
0,1.06061,2,0.985346
0,1.06061,3,0.0015095
0,1.06061,4,0.0058499
0,1.07071,1,0.0055416
0,1.07071,2,0.984698
0,1.07071,3,0.0013935
0,1.07071,4,0.0083673
0,1.08081,1,0.0111541
0,1.08081,2,0.978527
0,1.08081,3,0.0016421
0,1.08081,4,0.0086767
0,1.09091,1,0.0031346
0,1.09091,2,0.991455
0,1.09091,3,0.0014653
0,1.09091,4,0.0039456
0,1.10101,1,0.0097456
0,1.10101,2,0.98079
0,1.10101,3,0.0018359
0,1.10101,4,0.0076289
0,1.11111,1,0.0081715
0,1.11111,2,0.983134
0,1.11111,3,0.0018903
0,1.11111,4,0.0068042
0,1.12121,1,0.0030209
0,1.12121,2,0.988407
0,1.12121,3,0.0011413
0,1.12121,4,0.0074308
0,1.13131,1,0.0080925
0,1.13131,2,0.986087
0,1.13131,3,0.0014578
0,1.13131,4,0.0043627
0,1.14141,1,0.0067739
0,1.14141,2,0.987351
0,1.14141,3,0.0013301
0,1.14141,4,0.0045448
0,1.15152,1,0.0062702
0,1.15152,2,0.987199
0,1.15152,3,0.0011842
0,1.15152,4,0.0053464
0,1.16162,1,0.0066691
0,1.16162,2,0.985471
0,1.16162,3,0.0018495
0,1.16162,4,0.0060107
0,1.17172,1,0.006971
0,1.17172,2,0.987633
0,1.17172,3,0.0013645
0,1.17172,4,0.004032
0,1.18182,1,0.0049411
0,1.18182,2,0.990011
0,1.18182,3,0.00124
0,1.18182,4,0.003808
0,1.19192,1,0.002892
0,1.19192,2,0.987175
0,1.19192,3,0.0012643
0,1.19192,4,0.0086685
0,1.20202,1,0.0098046
0,1.20202,2,0.981964
0,1.20202,3,0.0011828
0,1.20202,4,0.0070487
0,1.21212,1,0.0085324
0,1.21212,2,0.980775
0,1.21212,3,0.0015982
0,1.21212,4,0.009094
0,1.22222,1,0.0089142
0,1.22222,2,0.983881
0,1.22222,3,0.0012246
0,1.22222,4,0.0059802
0,1.23232,1,0.0080479
0,1.23232,2,0.977955
0,1.23232,3,0.0031976
0,1.23232,4,0.0107991
0,1.24242,1,0.0060413
0,1.24242,2,0.98477
0,1.24242,3,0.0010271
0,1.24242,4,0.0081617
0,1.25253,1,0.0058974
0,1.25253,2,0.983859
0,1.25253,3,0.001636
0,1.25253,4,0.0086081
0,1.26263,1,0.0079974
0,1.26263,2,0.983464
0,1.26263,3,0.0014158
0,1.26263,4,0.0071228
0,1.27273,1,0.0047326
0,1.27273,2,0.990664
0,1.27273,3,0.0009962
0,1.27273,4,0.0036073
