omega,a,cs
0,1,0.312373
0,1.0101,0.312198
0,1.0202,0.312182
0,1.0303,0.315736
0,1.0404,0.315855
0,1.05051,0.311236
0,1.06061,0.313879
0,1.07071,0.311707
0,1.08081,0.31412
0,1.09091,0.313388
0,1.10101,0.310906
0,1.11111,0.313932
0,1.12121,0.314996
0,1.13131,0.313265
0,1.14141,0.317799
0,1.15152,0.317236
0,1.16162,0.314923
0,1.17172,0.317852
0,1.18182,0.31467
0,1.19192,0.316634
0,1.20202,0.314615
0,1.21212,0.317873
0,1.22222,0.318461
0,1.23232,0.315328
0,1.24242,0.321101
0,1.25253,0.319979
0,1.26263,0.32117
0,1.27273,0.321773
0,1.28283,0.315813
0,1.29293,0.317698
0,1.30303,0.321564
0,1.31313,0.322541
0,1.32323,0.322177
0,1.33333,0.323095
0,1.34343,0.324125
0,1.35354,0.324414
0,1.36364,0.323144
0,1.37374,0.328907
0,1.38384,0.326314
0,1.39394,0.326211
0,1.40404,0.326099
0,1.41414,0.326244
0,1.42424,0.327562
0,1.43434,0.326931
0,1.44444,0.33184
0,1.45455,0.33287
0,1.46465,0.333362
0,1.47475,0.334815
0,1.48485,0.331532
0,1.49495,0.336596
0,1.50505,0.332695
0,1.51515,0.333787
0,1.52525,0.337366
0,1.53535,0.335188
0,1.54545,0.338801
0,1.55556,0.340946
0,1.56566,0.34136
0,1.57576,0.342886
0,1.58586,0.337881
0,1.59596,0.34445
0,1.60606,0.343153
0,1.61616,0.344871
0,1.62626,0.346231
0,1.63636,0.348814
0,1.64646,0.345475
0,1.65657,0.349195
0,1.66667,0.348743
0,1.67677,0.348952
0,1.68687,0.351352
0,1.69697,0.351206
0,1.70707,0.351845
0,1.71717,0.350663
0,1.72727,0.351641
0,1.73737,0.353064
0,1.74747,0.349546
0,1.75758,0.355355
0,1.76768,0.355092
0,1.77778,0.356311
0,1.78788,0.356773
0,1.79798,0.35705
0,1.80808,0.358582
0,1.81818,0.359489
0,1.82828,0.35982
0,1.83838,0.359063
0,1.84848,0.35987
0,1.85859,0.362972
0,1.86869,0.360405
0,1.87879,0.362052
0,1.88889,0.360241
0,1.89899,0.363825
0,1.90909,0.36607
0,1.91919,0.368668
0,1.92929,0.3701
0,1.93939,0.369595
0,1.94949,0.369321
0,1.9596,0.372394
0,1.9697,0.375072
0,1.9798,0.375866
0,1.9899,0.377946
0,2,0.379732
0.8,1,0.266023
0.8,1.0101,0.268714
0.8,1.0202,0.271787
0.8,1.0303,0.269957
0.8,1.0404,0.27025
0.8,1.05051,0.266933
0.8,1.06061,0.268479
0.8,1.07071,0.269882
