omega,a,t
0,1,795199
0,1.0101,773895
0,1.0202,818470
0,1.0303,802947
0,1.0404,785513
0,1.05051,780689
0,1.06061,793725
0,1.07071,780540
0,1.08081,800255
0,1.09091,775641
0,1.10101,804431
0,1.11111,780933
0,1.12121,780587
0,1.13131,773535
0,1.14141,781556
0,1.15152,782680
0,1.16162,759264
0,1.17172,772988
0,1.18182,771914
0,1.19192,780462
0,1.20202,797611
0,1.21212,780267
0,1.22222,790085
0,1.23232,785943
0,1.24242,787614
0,1.25253,779859
0,1.26263,765112
0,1.27273,805031
0,1.28283,767909
0,1.29293,785245
0,1.30303,786175
0,1.31313,777649
0,1.32323,783990
0,1.33333,806800
0,1.34343,793229
0,1.35354,793969
0,1.36364,794028
0,1.37374,805561
0,1.38384,798603
0,1.39394,788851
0,1.40404,796665
0,1.41414,823629
0,1.42424,800966
0,1.43434,856784
0,1.44444,835962
0,1.45455,835804
0,1.46465,834230
0,1.47475,847002
0,1.48485,839063
0,1.49495,869101
0,1.50505,871351
0,1.51515,864966
0,1.52525,874179
0,1.53535,884410
0,1.54545,886998
0,1.55556,903163
0,1.56566,900783
0,1.57576,933625
0,1.58586,947137
0,1.59596,957300
0,1.60606,934976
0,1.61616,966879
0,1.62626,990819
0,1.63636,986364
0,1.64646,1.00743e+06
0,1.65657,1.03939e+06
0,1.66667,1.033e+06
0,1.67677,1.06649e+06
0,1.68687,1.07551e+06
0,1.69697,1.10716e+06
0,1.70707,1.08621e+06
0,1.71717,1.12139e+06
0,1.72727,1.1292e+06
0,1.73737,1.13953e+06
0,1.74747,1.13209e+06
0,1.75758,1.17298e+06
0,1.76768,1.15456e+06
0,1.77778,1.17408e+06
0,1.78788,1.17956e+06
0,1.79798,1.18606e+06
0,1.80808,1.20861e+06
0,1.81818,1.21383e+06
0,1.82828,1.21587e+06
0,1.83838,1.2523e+06
0,1.84848,1.23475e+06
0,1.85859,1.22542e+06
0,1.86869,1.26729e+06
0,1.87879,1.25153e+06
0,1.88889,1.27309e+06
0,1.89899,1.26653e+06
0,1.90909,1.27936e+06
0,1.91919,1.28614e+06
0,1.92929,1.29567e+06
0,1.93939,1.30168e+06
0,1.94949,1.31758e+06
0,1.9596,1.30588e+06
0,1.9697,1.32552e+06
0,1.9798,1.34905e+06
0,1.9899,1.372e+06
0,2,1.36592e+06
0.8,1,764473
0.8,1.0101,732235
0.8,1.0202,751389
0.8,1.0303,742126
0.8,1.0404,756416
0.8,1.05051,757263
0.8,1.06061,750186
0.8,1.07071,731747
0.8,1.08081,775329
0.8,1.09091,737440
0.8,1.10101,783792
0.8,1.11111,741603
0.8,1.12121,756567
0.8,1.13131,738475
0.8,1.14141,753801
0.8,1.15152,753920
0.8,1.16162,753279
0.8,1.17172,748024
0.8,1.18182,749541
0.8,1.19192,733424
0.8,1.20202,753413
0.8,1.21212,744674
0.8,1.22222,769563
0.8,1.23232,755564
0.8,1.24242,762581
0.8,1.25253,750614
0.8,1.26263,773927
0.8,1.27273,745394
0.8,1.28283,741870
0.8,1.29293,763904
0.8,1.30303,752893
0.8,1.31313,759309
0.8,1.32323,774319
0.8,1.33333,766465
0.8,1.34343,792370
0.8,1.35354,772478
0.8,1.36364,755406
0.8,1.37374,781796
0.8,1.38384,783650
0.8,1.39394,767570
0.8,1.40404,775992
0.8,1.41414,788560
0.8,1.42424,793361
0.8,1.43434,800866
0.8,1.44444,833546
0.8,1.45455,846049
0.8,1.46465,820830
0.8,1.47475,847192
0.8,1.48485,849615
0.8,1.49495,874122
0.8,1.50505,864507
0.8,1.51515,867803
0.8,1.52525,883112
0.8,1.53535,912013
0.8,1.54545,910072
0.8,1.55556,934305
0.8,1.56566,948184
0.8,1.57576,910181
0.8,1.58586,940464
0.8,1.59596,984810
0.8,1.60606,971543
0.8,1.61616,980600
0.8,1.62626,1.00515e+06
0.8,1.63636,1.0273e+06
0.8,1.64646,1.01753e+06
0.8,1.65657,1.04616e+06
0.8,1.66667,1.02897e+06
0.8,1.67677,1.05649e+06
0.8,1.68687,1.0764e+06
0.8,1.69697,1.05382e+06
0.8,1.70707,1.10406e+06
0.8,1.71717,1.11783e+06
0.8,1.72727,1.13787e+06
0.8,1.73737,1.1184e+06
0.8,1.74747,1.14575e+06
0.8,1.75758,1.13404e+06
0.8,1.76768,1.16757e+06
0.8,1.77778,1.17328e+06
0.8,1.78788,1.2421e+06
0.8,1.79798,1.1758e+06
0.8,1.80808,1.16081e+06
0.8,1.81818,1.18245e+06
0.8,1.82828,1.23001e+06
0.8,1.83838,1.24232e+06
0.8,1.84848,1.24067e+06
0.8,1.85859,1.2518e+06
0.8,1.86869,1.24865e+06
0.8,1.87879,1.29331e+06
0.8,1.88889,1.27877e+06
0.8,1.89899,1.28653e+06
0.8,1.90909,1.32159e+06
0.8,1.91919,1.32915e+06
0.8,1.92929,1.34047e+06
0.8,1.93939,1.37804e+06
0.8,1.94949,1.37439e+06
0.8,1.9596,1.39712e+06
0.8,1.9697,1.41771e+06
0.8,1.9798,1.41643e+06
0.8,1.9899,1.45586e+06
0.8,2,1.46524e+06
1,1,773526
1,1.0101,789020
1,1.0202,776213
1,1.0303,762792
1,1.0404,767783
1,1.05051,764776
1,1.06061,765699
1,1.07071,770304
1,1.08081,781223
1,1.09091,773970
1,1.10101,784264
1,1.11111,758982
1,1.12121,751155
1,1.13131,770856
1,1.14141,758813
1,1.15152,765607
1,1.16162,766476
1,1.17172,759003
1,1.18182,754180
1,1.19192,779212
1,1.20202,747375
1,1.21212,785121
1,1.22222,743029
1,1.23232,767574
1,1.24242,753004
1,1.25253,776849
1,1.26263,780806
1,1.27273,769426
1,1.28283,748640
1,1.29293,769856
1,1.30303,766879
1,1.31313,766119
1,1.32323,757690
1,1.33333,768211
1,1.34343,757042
1,1.35354,774272
1,1.36364,782295
1,1.37374,771524
1,1.38384,754433
1,1.39394,782851
1,1.40404,765996
1,1.41414,771428
1,1.42424,765392
1,1.43434,760982
1,1.44444,770496
1,1.45455,794100
1,1.46465,788685
1,1.47475,795647
1,1.48485,772230
1,1.49495,824442
1,1.50505,801926
1,1.51515,818785
1,1.52525,796278
1,1.53535,775308
1,1.54545,835180
1,1.55556,813800
1,1.56566,804577
1,1.57576,811535
1,1.58586,812836
1,1.59596,825659
1,1.60606,859324
1,1.61616,884910
1,1.62626,850984
1,1.63636,897128
1,1.64646,878636
1,1.65657,906994
1,1.66667,958746
1,1.67677,946370
1,1.68687,981748
1,1.69697,973170
1,1.70707,961746
1,1.71717,985557
1,1.72727,995592
1,1.73737,1.04543e+06
1,1.74747,1.01321e+06
1,1.75758,1.02562e+06
1,1.76768,1.08098e+06
1,1.77778,1.06484e+06
1,1.78788,1.08167e+06
1,1.79798,1.13267e+06
1,1.80808,1.1149e+06
1,1.81818,1.15188e+06
1,1.82828,1.14641e+06
1,1.83838,1.15993e+06
1,1.84848,1.14511e+06
1,1.85859,1.17134e+06
1,1.86869,1.19735e+06
1,1.87879,1.23304e+06
1,1.88889,1.2288e+06
1,1.89899,1.24396e+06
1,1.90909,1.26912e+06
1,1.91919,1.3024e+06
1,1.92929,1.27249e+06
1,1.93939,1.30996e+06
1,1.94949,1.3497e+06
1,1.9596,1.34759e+06
1,1.9697,1.30285e+06
1,1.9798,1.33574e+06
1,1.9899,1.32447e+06
1,2,1.35295e+06
