omega,a,firm,demand
0,1,1,0.342591
0,1,2,0.34435
0,1.0101,1,0.341232
0,1.0101,2,0.346925
0,1.0202,1,0.343092
0,1.0202,2,0.344507
0,1.0303,1,0.344585
0,1.0303,2,0.347985
0,1.0404,1,0.34968
0,1.0404,2,0.342907
0,1.05051,1,0.346685
0,1.05051,2,0.341605
0,1.06061,1,0.345421
0,1.06061,2,0.344786
0,1.07071,1,0.3419
0,1.07071,2,0.345869
0,1.08081,1,0.345038
0,1.08081,2,0.344698
0,1.09091,1,0.34362
0,1.09091,2,0.349131
0,1.10101,1,0.345052
0,1.10101,2,0.342968
0,1.11111,1,0.344325
0,1.11111,2,0.346366
0,1.12121,1,0.344585
0,1.12121,2,0.349067
0,1.13131,1,0.344114
0,1.13131,2,0.346912
0,1.14141,1,0.347349
0,1.14141,2,0.349307
0,1.15152,1,0.349551
0,1.15152,2,0.346888
0,1.16162,1,0.348765
0,1.16162,2,0.34544
0,1.17172,1,0.349357
0,1.17172,2,0.34647
0,1.18182,1,0.345622
0,1.18182,2,0.347382
0,1.19192,1,0.346351
0,1.19192,2,0.348968
0,1.20202,1,0.343983
0,1.20202,2,0.347589
0,1.21212,1,0.345843
0,1.21212,2,0.350258
0,1.22222,1,0.34902
0,1.22222,2,0.348865
0,1.23232,1,0.345594
0,1.23232,2,0.346954
0,1.24242,1,0.351038
0,1.24242,2,0.348884
0,1.25253,1,0.349192
0,1.25253,2,0.349939
0,1.26263,1,0.352209
0,1.26263,2,0.350005
0,1.27273,1,0.351913
0,1.27273,2,0.350671
0,1.28283,1,0.348571
0,1.28283,2,0.345181
0,1.29293,1,0.347957
0,1.29293,2,0.347163
0,1.30303,1,0.346772
0,1.30303,2,0.353219
0,1.31313,1,0.351399
0,1.31313,2,0.351707
0,1.32323,1,0.351016
0,1.32323,2,0.351881
0,1.33333,1,0.35095
0,1.33333,2,0.351925
0,1.34343,1,0.351435
0,1.34343,2,0.353216
0,1.35354,1,0.34893
0,1.35354,2,0.354826
0,1.36364,1,0.348508
0,1.36364,2,0.355944
0,1.37374,1,0.354946
0,1.37374,2,0.35538
0,1.38384,1,0.354372
0,1.38384,2,0.353638
0,1.39394,1,0.352369
0,1.39394,2,0.356554
0,1.40404,1,0.352758
0,1.40404,2,0.353768
0,1.41414,1,0.353506
0,1.41414,2,0.354702
0,1.42424,1,0.357695
0,1.42424,2,0.351892
0,1.43434,1,0.351113
0,1.43434,2,0.356174
0,1.44444,1,0.355534
0,1.44444,2,0.359058
0,1.45455,1,0.358973
0,1.45455,2,0.356687
0,1.46465,1,0.356886
0,1.46465,2,0.359811
0,1.47475,1,0.360091
0,1.47475,2,0.358718
0,1.48485,1,0.358669
0,1.48485,2,0.357692
0,1.49495,1,0.365032
0,1.49495,2,0.354119
0,1.50505,1,0.354229
0,1.50505,2,0.361465
0,1.51515,1,0.355147
0,1.51515,2,0.360741
0,1.52525,1,0.362612
0,1.52525,2,0.359158
0,1.53535,1,0.363191
0,1.53535,2,0.355798
0,1.54545,1,0.360528
0,1.54545,2,0.362615
0,1.55556,1,0.363002
0,1.55556,2,0.362427
0,1.56566,1,0.360722
0,1.56566,2,0.365997
0,1.57576,1,0.362637
0,1.57576,2,0.36506
0,1.58586,1,0.361752
0,1.58586,2,0.360588
0,1.59596,1,0.364684
0,1.59596,2,0.365052
0,1.60606,1,0.360305
0,1.60606,2,0.36823
0,1.61616,1,0.365309
0,1.61616,2,0.364789
0,1.62626,1,0.366692
0,1.62626,2,0.364546
0,1.63636,1,0.370495
0,1.63636,2,0.365794
0,1.64646,1,0.367405
0,1.64646,2,0.364982
0,1.65657,1,0.366623
0,1.65657,2,0.369206
0,1.66667,1,0.36541
0,1.66667,2,0.368995
0,1.67677,1,0.368273
0,1.67677,2,0.36653
0,1.68687,1,0.366225
0,1.68687,2,0.371677
0,1.69697,1,0.368728
0,1.69697,2,0.367584
0,1.70707,1,0.366476
0,1.70707,2,0.373756
0,1.71717,1,0.365607
0,1.71717,2,0.371597
0,1.72727,1,0.371522
0,1.72727,2,0.368
0,1.73737,1,0.370393
0,1.73737,2,0.371515
0,1.74747,1,0.369678
0,1.74747,2,0.368004
0,1.75758,1,0.365859
0,1.75758,2,0.377947
0,1.76768,1,0.372283
0,1.76768,2,0.370613
0,1.77778,1,0.377757
0,1.77778,2,0.36742
0,1.78788,1,0.37182
0,1.78788,2,0.374049
0,1.79798,1,0.374727
0,1.79798,2,0.371297
0,1.80808,1,0.378382
0,1.80808,2,0.369604
0,1.81818,1,0.373955
0,1.81818,2,0.376045
0,1.82828,1,0.373062
0,1.82828,2,0.376401
0,1.83838,1,0.375908
0,1.83838,2,0.373317
0,1.84848,1,0.374007
0,1.84848,2,0.376363
0,1.85859,1,0.380101
0,1.85859,2,0.374591
0,1.86869,1,0.37638
0,1.86869,2,0.374806
0,1.87879,1,0.372777
0,1.87879,2,0.381624
0,1.88889,1,0.379559
0,1.88889,2,0.371818
0,1.89899,1,0.37803
0,1.89899,2,0.377687
0,1.90909,1,0.376389
0,1.90909,2,0.383121
0,1.91919,1,0.381893
0,1.91919,2,0.380464
0,1.92929,1,0.38609
0,1.92929,2,0.379116
0,1.93939,1,0.378666
0,1.93939,2,0.385517
0,1.94949,1,0.381968
0,1.94949,2,0.38283
0,1.9596,1,0.385438
0,1.9596,2,0.380174
0,1.9697,1,0.383435
0,1.9697,2,0.385966
0,1.9798,1,0.382444
0,1.9798,2,0.387553
0,1.9899,1,0.384212
0,1.9899,2,0.388299
0,2,1,0.388027
0,2,2,0.384848
0.8,1,1,0.322694
0.8,1,2,0.316607
0.8,1.0101,1,0.320108
0.8,1.0101,2,0.322696
0.8,1.0202,1,0.320724
0.8,1.0202,2,0.32643
0.8,1.0303,1,0.321318
0.8,1.0303,2,0.323983
0.8,1.0404,1,0.322981
0.8,1.0404,2,0.321182
0.8,1.05051,1,0.319996
0.8,1.05051,2,0.321152
0.8,1.06061,1,0.321857
0.8,1.06061,2,0.322151
0.8,1.07071,1,0.323264
0.8,1.07071,2,0.321968
0.8,1.08081,1,0.327052
0.8,1.08081,2,0.322909
0.8,1.09091,1,0.323289
0.8,1.09091,2,0.321956
0.8,1.10101,1,0.323513
0.8,1.10101,2,0.325464
0.8,1.11111,1,0.32388
0.8,1.11111,2,0.324993
0.8,1.12121,1,0.322911
0.8,1.12121,2,0.325753
0.8,1.13131,1,0.325729
0.8,1.13131,2,0.323337
0.8,1.14141,1,0.323457
0.8,1.14141,2,0.32591
0.8,1.15152,1,0.323494
0.8,1.15152,2,0.325977
0.8,1.16162,1,0.326011
0.8,1.16162,2,0.324299
0.8,1.17172,1,0.326899
0.8,1.17172,2,0.326878
0.8,1.18182,1,0.327188
0.8,1.18182,2,0.323693
0.8,1.19192,1,0.326214
0.8,1.19192,2,0.328406
0.8,1.20202,1,0.326766
0.8,1.20202,2,0.323848
0.8,1.21212,1,0.330839
0.8,1.21212,2,0.324803
0.8,1.22222,1,0.326812
0.8,1.22222,2,0.330272
0.8,1.23232,1,0.326886
0.8,1.23232,2,0.327967
0.8,1.24242,1,0.332231
0.8,1.24242,2,0.327296
0.8,1.25253,1,0.329327
0.8,1.25253,2,0.325005
0.8,1.26263,1,0.329608
0.8,1.26263,2,0.326404
0.8,1.27273,1,0.331656
0.8,1.27273,2,0.330269
0.8,1.28283,1,0.329681
0.8,1.28283,2,0.32703
0.8,1.29293,1,0.330668
0.8,1.29293,2,0.330228
0.8,1.30303,1,0.327942
0.8,1.30303,2,0.328695
0.8,1.31313,1,0.330566
0.8,1.31313,2,0.33194
0.8,1.32323,1,0.331946
0.8,1.32323,2,0.330279
0.8,1.33333,1,0.328641
0.8,1.33333,2,0.332906
0.8,1.34343,1,0.334583
0.8,1.34343,2,0.332618
0.8,1.35354,1,0.330431
0.8,1.35354,2,0.335117
0.8,1.36364,1,0.332455
0.8,1.36364,2,0.331915
0.8,1.37374,1,0.331493
0.8,1.37374,2,0.332185
0.8,1.38384,1,0.338803
0.8,1.38384,2,0.333883
0.8,1.39394,1,0.3326
0.8,1.39394,2,0.332971
0.8,1.40404,1,0.334218
0.8,1.40404,2,0.338979
0.8,1.41414,1,0.338404
0.8,1.41414,2,0.334061
0.8,1.42424,1,0.335604
0.8,1.42424,2,0.340481
0.8,1.43434,1,0.340221
0.8,1.43434,2,0.337958
0.8,1.44444,1,0.338476
0.8,1.44444,2,0.340148
0.8,1.45455,1,0.345774
0.8,1.45455,2,0.340751
0.8,1.46465,1,0.340475
0.8,1.46465,2,0.339564
0.8,1.47475,1,0.342368
0.8,1.47475,2,0.343409
0.8,1.48485,1,0.344214
0.8,1.48485,2,0.34649
0.8,1.49495,1,0.347079
0.8,1.49495,2,0.345701
0.8,1.50505,1,0.343702
0.8,1.50505,2,0.347194
0.8,1.51515,1,0.34706
0.8,1.51515,2,0.345375
0.8,1.52525,1,0.354126
0.8,1.52525,2,0.343079
0.8,1.53535,1,0.352313
0.8,1.53535,2,0.34607
0.8,1.54545,1,0.35111
0.8,1.54545,2,0.353423
0.8,1.55556,1,0.3504
0.8,1.55556,2,0.353831
0.8,1.56566,1,0.351831
0.8,1.56566,2,0.35639
0.8,1.57576,1,0.356148
0.8,1.57576,2,0.350038
0.8,1.58586,1,0.354086
0.8,1.58586,2,0.356758
0.8,1.59596,1,0.356444
0.8,1.59596,2,0.354354
0.8,1.60606,1,0.353259
0.8,1.60606,2,0.361414
0.8,1.61616,1,0.355126
0.8,1.61616,2,0.361147
0.8,1.62626,1,0.359691
0.8,1.62626,2,0.354213
0.8,1.63636,1,0.353603
0.8,1.63636,2,0.364324
0.8,1.64646,1,0.361275
0.8,1.64646,2,0.353997
0.8,1.65657,1,0.362766
0.8,1.65657,2,0.358323
0.8,1.66667,1,0.361245
0.8,1.66667,2,0.361752
0.8,1.67677,1,0.363887
0.8,1.67677,2,0.362184
0.8,1.68687,1,0.35885
0.8,1.68687,2,0.362493
0.8,1.69697,1,0.368078
0.8,1.69697,2,0.357561
0.8,1.70707,1,0.36798
0.8,1.70707,2,0.358426
0.8,1.71717,1,0.360734
0.8,1.71717,2,0.365636
0.8,1.72727,1,0.366087
0.8,1.72727,2,0.362277
0.8,1.73737,1,0.361106
0.8,1.73737,2,0.368594
0.8,1.74747,1,0.363384
0.8,1.74747,2,0.366184
0.8,1.75758,1,0.366
0.8,1.75758,2,0.365476
0.8,1.76768,1,0.371083
0.8,1.76768,2,0.359821
0.8,1.77778,1,0.366988
0.8,1.77778,2,0.369155
0.8,1.78788,1,0.370008
0.8,1.78788,2,0.368393
0.8,1.79798,1,0.370954
0.8,1.79798,2,0.365538
0.8,1.80808,1,0.371992
0.8,1.80808,2,0.366468
0.8,1.81818,1,0.371317
0.8,1.81818,2,0.36909
0.8,1.82828,1,0.365223
0.8,1.82828,2,0.373671
0.8,1.83838,1,0.373587
0.8,1.83838,2,0.368214
0.8,1.84848,1,0.370665
0.8,1.84848,2,0.371543
0.8,1.85859,1,0.368837
0.8,1.85859,2,0.374832
0.8,1.86869,1,0.371492
0.8,1.86869,2,0.371909
0.8,1.87879,1,0.372844
0.8,1.87879,2,0.374697
0.8,1.88889,1,0.373827
0.8,1.88889,2,0.373371
0.8,1.89899,1,0.376215
0.8,1.89899,2,0.37091
0.8,1.90909,1,0.372202
0.8,1.90909,2,0.377734
0.8,1.91919,1,0.372499
0.8,1.91919,2,0.375823
0.8,1.92929,1,0.37657
0.8,1.92929,2,0.376764
0.8,1.93939,1,0.380808
0.8,1.93939,2,0.372229
0.8,1.94949,1,0.376726
0.8,1.94949,2,0.380351
0.8,1.9596,1,0.384432
0.8,1.9596,2,0.371781
0.8,1.9697,1,0.377315
0.8,1.9697,2,0.381595
0.8,1.9798,1,0.380931
0.8,1.9798,2,0.380984
0.8,1.9899,1,0.380718
0.8,1.9899,2,0.384394
0.8,2,1,0.384021
0.8,2,2,0.383404
1,1,1,0.3093
1,1,2,0.319439
1,1.0101,1,0.315771
1,1.0101,2,0.311207
1,1.0202,1,0.315142
1,1.0202,2,0.315093
1,1.0303,1,0.314853
1,1.0303,2,0.314092
1,1.0404,1,0.316896
1,1.0404,2,0.315086
1,1.05051,1,0.314931
1,1.05051,2,0.31411
1,1.06061,1,0.315057
1,1.06061,2,0.316584
1,1.07071,1,0.315866
1,1.07071,2,0.316455
1,1.08081,1,0.315779
1,1.08081,2,0.317886
1,1.09091,1,0.318176
1,1.09091,2,0.318064
1,1.10101,1,0.320158
1,1.10101,2,0.319339
1,1.11111,1,0.315752
1,1.11111,2,0.317556
1,1.12121,1,0.319559
1,1.12121,2,0.319831
1,1.13131,1,0.317201
1,1.13131,2,0.318898
1,1.14141,1,0.321249
1,1.14141,2,0.319498
1,1.15152,1,0.318043
1,1.15152,2,0.31926
1,1.16162,1,0.320015
1,1.16162,2,0.319719
1,1.17172,1,0.318924
1,1.17172,2,0.321443
1,1.18182,1,0.322088
1,1.18182,2,0.318874
1,1.19192,1,0.318764
1,1.19192,2,0.321179
1,1.20202,1,0.321128
1,1.20202,2,0.319654
1,1.21212,1,0.322391
1,1.21212,2,0.322208
1,1.22222,1,0.321043
1,1.22222,2,0.324515
1,1.23232,1,0.321231
1,1.23232,2,0.323282
1,1.24242,1,0.323713
1,1.24242,2,0.322528
1,1.25253,1,0.322335
1,1.25253,2,0.326486
1,1.26263,1,0.325059
1,1.26263,2,0.322554
1,1.27273,1,0.324073
1,1.27273,2,0.322647
1,1.28283,1,0.324406
1,1.28283,2,0.325246
1,1.29293,1,0.325042
1,1.29293,2,0.324261
1,1.30303,1,0.324493
1,1.30303,2,0.323243
1,1.31313,1,0.325724
1,1.31313,2,0.323917
1,1.32323,1,0.324468
1,1.32323,2,0.326911
1,1.33333,1,0.323193
1,1.33333,2,0.324536
1,1.34343,1,0.324558
1,1.34343,2,0.325886
1,1.35354,1,0.325432
1,1.35354,2,0.324833
1,1.36364,1,0.326662
1,1.36364,2,0.325314
1,1.37374,1,0.32664
1,1.37374,2,0.326317
1,1.38384,1,0.32566
1,1.38384,2,0.327791
1,1.39394,1,0.325877
1,1.39394,2,0.325614
1,1.40404,1,0.328274
1,1.40404,2,0.325849
1,1.41414,1,0.326338
1,1.41414,2,0.326125
1,1.42424,1,0.326888
1,1.42424,2,0.325013
1,1.43434,1,0.326482
1,1.43434,2,0.325316
1,1.44444,1,0.327996
1,1.44444,2,0.327673
1,1.45455,1,0.327473
1,1.45455,2,0.32943
1,1.46465,1,0.32929
1,1.46465,2,0.330302
1,1.47475,1,0.330464
