omega,alpha,beta,action,Count
0,0.05,5e-06,1,0.125982
0,0.05,5e-06,2,0.726718
0,0.05,5e-06,3,0.0193297
0,0.05,5e-06,4,0.127971
0,0.05,5.13514e-06,1,0.121605
0,0.05,5.13514e-06,2,0.725704
0,0.05,5.13514e-06,3,0.0261027
0,0.05,5.13514e-06,4,0.126588
0,0.05,5.27027e-06,1,0.144944
0,0.05,5.27027e-06,2,0.699468
0,0.05,5.27027e-06,3,0.0097831
0,0.05,5.27027e-06,4,0.145805
0,0.05,5.40541e-06,1,0.112754
0,0.05,5.40541e-06,2,0.773215
0,0.05,5.40541e-06,3,0.0037593
0,0.05,5.40541e-06,4,0.110272
0,0.05,5.54054e-06,1,0.116202
0,0.05,5.54054e-06,2,0.75163
0,0.05,5.54054e-06,3,0.0179879
0,0.05,5.54054e-06,4,0.114179
0,0.05,5.67568e-06,1,0.153216
0,0.05,5.67568e-06,2,0.666056
0,0.05,5.67568e-06,3,0.0295223
0,0.05,5.67568e-06,4,0.151205
0,0.05,5.81081e-06,1,0.139263
0,0.05,5.81081e-06,2,0.697643
0,0.05,5.81081e-06,3,0.0255031
0,0.05,5.81081e-06,4,0.137591
0,0.05,5.94595e-06,1,0.102025
0,0.05,5.94595e-06,2,0.764464
0,0.05,5.94595e-06,3,0.0325782
0,0.05,5.94595e-06,4,0.100934
0,0.05,6.08108e-06,1,0.125571
0,0.05,6.08108e-06,2,0.73646
0,0.05,6.08108e-06,3,0.0124426
0,0.05,6.08108e-06,4,0.125527
0,0.05,6.21622e-06,1,0.111576
0,0.05,6.21622e-06,2,0.765089
0,0.05,6.21622e-06,3,0.0137621
0,0.05,6.21622e-06,4,0.109572
0,0.05,6.35135e-06,1,0.104447
0,0.05,6.35135e-06,2,0.778264
0,0.05,6.35135e-06,3,0.014781
0,0.05,6.35135e-06,4,0.102508
0,0.05,6.48649e-06,1,0.109232
0,0.05,6.48649e-06,2,0.766131
0,0.05,6.48649e-06,3,0.0145045
0,0.05,6.48649e-06,4,0.110132
0,0.05,6.62162e-06,1,0.106594
0,0.05,6.62162e-06,2,0.773691
0,0.05,6.62162e-06,3,0.0150408
0,0.05,6.62162e-06,4,0.104674
0,0.05,6.75676e-06,1,0.114412
0,0.05,6.75676e-06,2,0.741916
0,0.05,6.75676e-06,3,0.030334
0,0.05,6.75676e-06,4,0.113338
0,0.05,6.89189e-06,1,0.0736696
0,0.05,6.89189e-06,2,0.831925
0,0.05,6.89189e-06,3,0.0207799
0,0.05,6.89189e-06,4,0.073625
0,0.05,7.02703e-06,1,0.105004
0,0.05,7.02703e-06,2,0.761842
0,0.05,7.02703e-06,3,0.0281043
0,0.05,7.02703e-06,4,0.10505
0,0.05,7.16216e-06,1,0.0922251
0,0.05,7.16216e-06,2,0.796603
0,0.05,7.16216e-06,3,0.0188995
0,0.05,7.16216e-06,4,0.0922726
0,0.05,7.2973e-06,1,0.121722
0,0.05,7.2973e-06,2,0.723016
0,0.05,7.2973e-06,3,0.0335341
0,0.05,7.2973e-06,4,0.121728
0,0.05,7.43243e-06,1,0.119459
0,0.05,7.43243e-06,2,0.746853
0,0.05,7.43243e-06,3,0.0143354
0,0.05,7.43243e-06,4,0.119353
0,0.05,7.56757e-06,1,0.12935
0,0.05,7.56757e-06,2,0.722052
0,0.05,7.56757e-06,3,0.0212645
0,0.05,7.56757e-06,4,0.127334
0,0.05,7.7027e-06,1,0.0918909
0,0.05,7.7027e-06,2,0.791713
0,0.05,7.7027e-06,3,0.0245016
0,0.05,7.7027e-06,4,0.0918944
0,0.05,7.83784e-06,1,0.0872552
0,0.05,7.83784e-06,2,0.797387
0,0.05,7.83784e-06,3,0.0291268
0,0.05,7.83784e-06,4,0.0862312
0,0.05,7.97297e-06,1,0.107993
0,0.05,7.97297e-06,2,0.763097
0,0.05,7.97297e-06,3,0.0220509
0,0.05,7.97297e-06,4,0.10686
0,0.05,8.10811e-06,1,0.082511
0,0.05,8.10811e-06,2,0.823039
0,0.05,8.10811e-06,3,0.0118772
0,0.05,8.10811e-06,4,0.082573
0,0.05,8.24324e-06,1,0.108592
0,0.05,8.24324e-06,2,0.761968
0,0.05,8.24324e-06,3,0.0208709
0,0.05,8.24324e-06,4,0.108569
0,0.05,8.37838e-06,1,0.130967
0,0.05,8.37838e-06,2,0.729175
0,0.05,8.37838e-06,3,0.0089497
0,0.05,8.37838e-06,4,0.130908
0,0.05,8.51351e-06,1,0.0871656
0,0.05,8.51351e-06,2,0.804954
0,0.05,8.51351e-06,3,0.0207154
0,0.05,8.51351e-06,4,0.0871651
0,0.05,8.64865e-06,1,0.1251
0,0.05,8.64865e-06,2,0.719274
0,0.05,8.64865e-06,3,0.0285631
0,0.05,8.64865e-06,4,0.127062
0,0.05,8.78378e-06,1,0.104046
0,0.05,8.78378e-06,2,0.756581
0,0.05,8.78378e-06,3,0.0353125
0,0.05,8.78378e-06,4,0.104061
0,0.05,8.91892e-06,1,0.106659
0,0.05,8.91892e-06,2,0.784245
0,0.05,8.91892e-06,3,0.0036182
0,0.05,8.91892e-06,4,0.105477
0,0.05,9.05405e-06,1,0.100462
0,0.05,9.05405e-06,2,0.773451
0,0.05,9.05405e-06,3,0.0253602
0,0.05,9.05405e-06,4,0.100727
0,0.05,9.18919e-06,1,0.103646
0,0.05,9.18919e-06,2,0.768146
0,0.05,9.18919e-06,3,0.0230967
0,0.05,9.18919e-06,4,0.105112
0,0.05,9.32432e-06,1,0.0987417
0,0.05,9.32432e-06,2,0.783142
0,0.05,9.32432e-06,3,0.0201386
0,0.05,9.32432e-06,4,0.097978
0,0.05,9.45946e-06,1,0.0959836
0,0.05,9.45946e-06,2,0.800003
0,0.05,9.45946e-06,3,0.0080372
0,0.05,9.45946e-06,4,0.0959757
0,0.05,9.59459e-06,1,0.0915134
0,0.05,9.59459e-06,2,0.787806
0,0.05,9.59459e-06,3,0.0304172
0,0.05,9.59459e-06,4,0.0902631
0,0.05,9.72973e-06,1,0.116696
0,0.05,9.72973e-06,2,0.754665
0,0.05,9.72973e-06,3,0.0108779
0,0.05,9.72973e-06,4,0.117762
0,0.05,9.86486e-06,1,0.0808603
0,0.05,9.86486e-06,2,0.815396
0,0.05,9.86486e-06,3,0.0229697
0,0.05,9.86486e-06,4,0.080774
0,0.05,1e-05,1,0.0721464
0,0.05,1e-05,2,0.841805
0,0.05,1e-05,3,0.008828
0,0.05,1e-05,4,0.0772204
0,0.05,1.01351e-05,1,0.0897703
0,0.05,1.01351e-05,2,0.804824
0,0.05,1.01351e-05,3,0.0156759
0,0.05,1.01351e-05,4,0.0897299
0,0.05,1.02703e-05,1,0.116768
0,0.05,1.02703e-05,2,0.751345
0,0.05,1.02703e-05,3,0.0151697
0,0.05,1.02703e-05,4,0.116717
0,0.05,1.04054e-05,1,0.0962543
0,0.05,1.04054e-05,2,0.78215
0,0.05,1.04054e-05,3,0.0253887
0,0.05,1.04054e-05,4,0.0962069
0,0.05,1.05405e-05,1,0.0738462
0,0.05,1.05405e-05,2,0.847279
0,0.05,1.05405e-05,3,0.0049938
0,0.05,1.05405e-05,4,0.0738813
0,0.05,1.06757e-05,1,0.100659
0,0.05,1.06757e-05,2,0.796251
0,0.05,1.06757e-05,3,0.0024208
0,0.05,1.06757e-05,4,0.100669
0,0.05,1.08108e-05,1,0.0794165
0,0.05,1.08108e-05,2,0.822188
0,0.05,1.08108e-05,3,0.0189694
0,0.05,1.08108e-05,4,0.0794257
0,0.05,1.09459e-05,1,0.0870946
0,0.05,1.09459e-05,2,0.804647
0,0.05,1.09459e-05,3,0.0211774
0,0.05,1.09459e-05,4,0.087081
0,0.05,1.10811e-05,1,0.117716
0,0.05,1.10811e-05,2,0.745517
0,0.05,1.10811e-05,3,0.0189709
0,0.05,1.10811e-05,4,0.117796
0,0.05,1.12162e-05,1,0.0852441
0,0.05,1.12162e-05,2,0.810417
0,0.05,1.12162e-05,3,0.0191408
0,0.05,1.12162e-05,4,0.0851976
0,0.05,1.13514e-05,1,0.0814388
0,0.05,1.13514e-05,2,0.821865
0,0.05,1.13514e-05,3,0.0153176
0,0.05,1.13514e-05,4,0.0813791
0,0.05,1.14865e-05,1,0.0935254
0,0.05,1.14865e-05,2,0.803216
0,0.05,1.14865e-05,3,0.0097014
0,0.05,1.14865e-05,4,0.0935568
0,0.05,1.16216e-05,1,0.102655
0,0.05,1.16216e-05,2,0.786953
0,0.05,1.16216e-05,3,0.0088294
0,0.05,1.16216e-05,4,0.101562
0,0.05,1.17568e-05,1,0.0612471
0,0.05,1.17568e-05,2,0.865842
0,0.05,1.17568e-05,3,0.011755
0,0.05,1.17568e-05,4,0.0611557
0,0.05,1.18919e-05,1,0.0608435
0,0.05,1.18919e-05,2,0.861245
0,0.05,1.18919e-05,3,0.0170022
0,0.05,1.18919e-05,4,0.0609095
0,0.05,1.2027e-05,1,0.112512
0,0.05,1.2027e-05,2,0.755241
0,0.05,1.2027e-05,3,0.0198141
0,0.05,1.2027e-05,4,0.112433
0,0.05,1.21622e-05,1,0.0813021
0,0.05,1.21622e-05,2,0.829181
0,0.05,1.21622e-05,3,0.0068157
0,0.05,1.21622e-05,4,0.0827014
0,0.05,1.22973e-05,1,0.0773533
0,0.05,1.22973e-05,2,0.831385
0,0.05,1.22973e-05,3,0.014022
0,0.05,1.22973e-05,4,0.0772395
0,0.05,1.24324e-05,1,0.105152
0,0.05,1.24324e-05,2,0.776792
0,0.05,1.24324e-05,3,0.0129803
0,0.05,1.24324e-05,4,0.105076
0,0.05,1.25676e-05,1,0.0971841
0,0.05,1.25676e-05,2,0.789291
0,0.05,1.25676e-05,3,0.0166388
0,0.05,1.25676e-05,4,0.0968866
0,0.05,1.27027e-05,1,0.0703293
0,0.05,1.27027e-05,2,0.840058
0,0.05,1.27027e-05,3,0.0191591
0,0.05,1.27027e-05,4,0.0704533
0,0.05,1.28378e-05,1,0.0854568
0,0.05,1.28378e-05,2,0.815986
0,0.05,1.28378e-05,3,0.013468
0,0.05,1.28378e-05,4,0.0850893
0,0.05,1.2973e-05,1,0.0529443
0,0.05,1.2973e-05,2,0.877793
0,0.05,1.2973e-05,3,0.0161929
0,0.05,1.2973e-05,4,0.05307
0,0.05,1.31081e-05,1,0.10845
0,0.05,1.31081e-05,2,0.763303
0,0.05,1.31081e-05,3,0.0197231
0,0.05,1.31081e-05,4,0.108524
0,0.05,1.32432e-05,1,0.0873742
0,0.05,1.32432e-05,2,0.7989
0,0.05,1.32432e-05,3,0.0262948
0,0.05,1.32432e-05,4,0.0874314
0,0.05,1.33784e-05,1,0.0698189
0,0.05,1.33784e-05,2,0.848187
0,0.05,1.33784e-05,3,0.0112264
0,0.05,1.33784e-05,4,0.0707676
0,0.05,1.35135e-05,1,0.106917
0,0.05,1.35135e-05,2,0.772798
0,0.05,1.35135e-05,3,0.0133119
0,0.05,1.35135e-05,4,0.106974
0,0.05,1.36486e-05,1,0.0672911
0,0.05,1.36486e-05,2,0.843822
0,0.05,1.36486e-05,3,0.0217136
0,0.05,1.36486e-05,4,0.0671728
0,0.05,1.37838e-05,1,0.0948969
0,0.05,1.37838e-05,2,0.796535
0,0.05,1.37838e-05,3,0.0135635
0,0.05,1.37838e-05,4,0.0950042
0,0.05,1.39189e-05,1,0.0914299
0,0.05,1.39189e-05,2,0.806767
0,0.05,1.39189e-05,3,0.0102481
0,0.05,1.39189e-05,4,0.0915554
0,0.05,1.40541e-05,1,0.0730353
0,0.05,1.40541e-05,2,0.825325
0,0.05,1.40541e-05,3,0.0265676
0,0.05,1.40541e-05,4,0.075072
0,0.05,1.41892e-05,1,0.0938516
0,0.05,1.41892e-05,2,0.790481
0,0.05,1.41892e-05,3,0.021688
0,0.05,1.41892e-05,4,0.093979
0,0.05,1.43243e-05,1,0.0646206
0,0.05,1.43243e-05,2,0.850713
0,0.05,1.43243e-05,3,0.0189637
0,0.05,1.43243e-05,4,0.0657026
0,0.05,1.44595e-05,1,0.082904
0,0.05,1.44595e-05,2,0.790975
0,0.05,1.44595e-05,3,0.0417465
0,0.05,1.44595e-05,4,0.0843744
0,0.05,1.45946e-05,1,0.0760657
0,0.05,1.45946e-05,2,0.831058
0,0.05,1.45946e-05,3,0.0171345
0,0.05,1.45946e-05,4,0.0757417
0,0.05,1.47297e-05,1,0.0747161
