omega,alpha,beta,t
0,0.05,5e-06,2.1469e+06
0,0.05,5.13514e-06,2.09819e+06
0,0.05,5.27027e-06,2.06578e+06
0,0.05,5.40541e-06,1.96987e+06
0,0.05,5.54054e-06,1.95326e+06
0,0.05,5.67568e-06,1.90013e+06
0,0.05,5.81081e-06,1.84823e+06
0,0.05,5.94595e-06,1.77352e+06
0,0.05,6.08108e-06,1.75764e+06
0,0.05,6.21622e-06,1.74091e+06
0,0.05,6.35135e-06,1.67776e+06
0,0.05,6.48649e-06,1.64661e+06
0,0.05,6.62162e-06,1.5935e+06
0,0.05,6.75676e-06,1.5731e+06
0,0.05,6.89189e-06,1.49874e+06
0,0.05,7.02703e-06,1.51472e+06
0,0.05,7.16216e-06,1.46844e+06
0,0.05,7.2973e-06,1.4684e+06
0,0.05,7.43243e-06,1.43407e+06
0,0.05,7.56757e-06,1.40521e+06
0,0.05,7.7027e-06,1.36739e+06
0,0.05,7.83784e-06,1.3266e+06
0,0.05,7.97297e-06,1.36698e+06
0,0.05,8.10811e-06,1.29653e+06
0,0.05,8.24324e-06,1.30303e+06
0,0.05,8.37838e-06,1.26321e+06
0,0.05,8.51351e-06,1.2484e+06
0,0.05,8.64865e-06,1.2354e+06
0,0.05,8.78378e-06,1.20052e+06
0,0.05,8.91892e-06,1.17413e+06
0,0.05,9.05405e-06,1.14965e+06
0,0.05,9.18919e-06,1.16939e+06
0,0.05,9.32432e-06,1.15767e+06
0,0.05,9.45946e-06,1.13881e+06
0,0.05,9.59459e-06,1.09594e+06
0,0.05,9.72973e-06,1.11042e+06
0,0.05,9.86486e-06,1.10298e+06
0,0.05,1e-05,1.07311e+06
0,0.05,1.01351e-05,1.02066e+06
0,0.05,1.02703e-05,1.064e+06
0,0.05,1.04054e-05,988991
0,0.05,1.05405e-05,1.01945e+06
0,0.05,1.06757e-05,998184
0,0.05,1.08108e-05,1.01307e+06
0,0.05,1.09459e-05,1.00697e+06
0,0.05,1.10811e-05,974226
0,0.05,1.12162e-05,983809
0,0.05,1.13514e-05,972064
0,0.05,1.14865e-05,953279
0,0.05,1.16216e-05,923870
0,0.05,1.17568e-05,902894
0,0.05,1.18919e-05,880483
0,0.05,1.2027e-05,923203
0,0.05,1.21622e-05,881934
0,0.05,1.22973e-05,876111
0,0.05,1.24324e-05,866459
0,0.05,1.25676e-05,880773
0,0.05,1.27027e-05,861485
0,0.05,1.28378e-05,869286
0,0.05,1.2973e-05,828485
0,0.05,1.31081e-05,844118
0,0.05,1.32432e-05,822339
0,0.05,1.33784e-05,827216
0,0.05,1.35135e-05,810852
0,0.05,1.36486e-05,797542
0,0.05,1.37838e-05,820322
0,0.05,1.39189e-05,798371
0,0.05,1.40541e-05,793797
0,0.05,1.41892e-05,785865
0,0.05,1.43243e-05,775785
0,0.05,1.44595e-05,822540
0,0.05,1.45946e-05,748238
0,0.05,1.47297e-05,752390
0,0.05,1.48649e-05,754936
0,0.05,1.5e-05,737965
0,0.0527027,5e-06,2.17818e+06
0,0.0527027,5.13514e-06,2.07516e+06
0,0.0527027,5.27027e-06,2.07194e+06
0,0.0527027,5.40541e-06,1.99123e+06
0,0.0527027,5.54054e-06,1.99339e+06
0,0.0527027,5.67568e-06,1.89518e+06
0,0.0527027,5.81081e-06,1.91119e+06
0,0.0527027,5.94595e-06,1.80999e+06
0,0.0527027,6.08108e-06,1.73216e+06
0,0.0527027,6.21622e-06,1.74372e+06
0,0.0527027,6.35135e-06,1.6807e+06
0,0.0527027,6.48649e-06,1.67224e+06
0,0.0527027,6.62162e-06,1.63277e+06
0,0.0527027,6.75676e-06,1.58883e+06
0,0.0527027,6.89189e-06,1.55063e+06
0,0.0527027,7.02703e-06,1.5287e+06
0,0.0527027,7.16216e-06,1.47305e+06
0,0.0527027,7.2973e-06,1.46173e+06
0,0.0527027,7.43243e-06,1.44308e+06
0,0.0527027,7.56757e-06,1.3883e+06
0,0.0527027,7.7027e-06,1.39886e+06
