omega,alpha,beta,firm,profit
0,0.05,5e-06,1,0.129435
0,0.05,5e-06,2,0.129872
0,0.05,5.13514e-06,1,0.129041
0,0.05,5.13514e-06,2,0.130618
0,0.05,5.27027e-06,1,0.130079
0,0.05,5.27027e-06,2,0.129186
0,0.05,5.40541e-06,1,0.131459
0,0.05,5.40541e-06,2,0.1294
0,0.05,5.54054e-06,1,0.130071
0,0.05,5.54054e-06,2,0.131081
0,0.05,5.67568e-06,1,0.12993
0,0.05,5.67568e-06,2,0.129348
0,0.05,5.81081e-06,1,0.130545
0,0.05,5.81081e-06,2,0.130148
0,0.05,5.94595e-06,1,0.13165
0,0.05,5.94595e-06,2,0.13074
0,0.05,6.08108e-06,1,0.131098
0,0.05,6.08108e-06,2,0.131004
0,0.05,6.21622e-06,1,0.130073
0,0.05,6.21622e-06,2,0.130617
0,0.05,6.35135e-06,1,0.131054
0,0.05,6.35135e-06,2,0.131209
0,0.05,6.48649e-06,1,0.130587
0,0.05,6.48649e-06,2,0.131057
0,0.05,6.62162e-06,1,0.131647
0,0.05,6.62162e-06,2,0.130549
0,0.05,6.75676e-06,1,0.131815
0,0.05,6.75676e-06,2,0.130062
0,0.05,6.89189e-06,1,0.132053
0,0.05,6.89189e-06,2,0.131633
0,0.05,7.02703e-06,1,0.130724
0,0.05,7.02703e-06,2,0.131371
0,0.05,7.16216e-06,1,0.131861
0,0.05,7.16216e-06,2,0.13122
0,0.05,7.2973e-06,1,0.130711
0,0.05,7.2973e-06,2,0.131195
0,0.05,7.43243e-06,1,0.130649
0,0.05,7.43243e-06,2,0.131165
0,0.05,7.56757e-06,1,0.131207
0,0.05,7.56757e-06,2,0.130662
0,0.05,7.7027e-06,1,0.131489
0,0.05,7.7027e-06,2,0.13152
0,0.05,7.83784e-06,1,0.13167
0,0.05,7.83784e-06,2,0.132671
0,0.05,7.97297e-06,1,0.131518
0,0.05,7.97297e-06,2,0.131292
0,0.05,8.10811e-06,1,0.131832
0,0.05,8.10811e-06,2,0.132346
0,0.05,8.24324e-06,1,0.131411
0,0.05,8.24324e-06,2,0.131654
0,0.05,8.37838e-06,1,0.131268
0,0.05,8.37838e-06,2,0.132352
0,0.05,8.51351e-06,1,0.131821
0,0.05,8.51351e-06,2,0.132386
0,0.05,8.64865e-06,1,0.131184
0,0.05,8.64865e-06,2,0.131043
0,0.05,8.78378e-06,1,0.131381
0,0.05,8.78378e-06,2,0.131442
0,0.05,8.91892e-06,1,0.132523
0,0.05,8.91892e-06,2,0.132521
0,0.05,9.05405e-06,1,0.132553
0,0.05,9.05405e-06,2,0.132826
0,0.05,9.18919e-06,1,0.132235
0,0.05,9.18919e-06,2,0.132488
0,0.05,9.32432e-06,1,0.131479
0,0.05,9.32432e-06,2,0.131954
0,0.05,9.45946e-06,1,0.132536
0,0.05,9.45946e-06,2,0.132484
0,0.05,9.59459e-06,1,0.132552
0,0.05,9.59459e-06,2,0.132659
0,0.05,9.72973e-06,1,0.132204
0,0.05,9.72973e-06,2,0.131481
0,0.05,9.86486e-06,1,0.133132
0,0.05,9.86486e-06,2,0.132505
0,0.05,1e-05,1,0.13294
0,0.05,1e-05,2,0.13291
0,0.05,1.01351e-05,1,0.133551
0,0.05,1.01351e-05,2,0.133182
0,0.05,1.02703e-05,1,0.132568
0,0.05,1.02703e-05,2,0.132602
0,0.05,1.04054e-05,1,0.132758
0,0.05,1.04054e-05,2,0.132436
0,0.05,1.05405e-05,1,0.133424
0,0.05,1.05405e-05,2,0.133505
0,0.05,1.06757e-05,1,0.133463
0,0.05,1.06757e-05,2,0.133085
0,0.05,1.08108e-05,1,0.132218
0,0.05,1.08108e-05,2,0.133072
0,0.05,1.09459e-05,1,0.132402
0,0.05,1.09459e-05,2,0.133126
0,0.05,1.10811e-05,1,0.131844
0,0.05,1.10811e-05,2,0.133369
0,0.05,1.12162e-05,1,0.132944
0,0.05,1.12162e-05,2,0.133022
0,0.05,1.13514e-05,1,0.132871
0,0.05,1.13514e-05,2,0.132942
0,0.05,1.14865e-05,1,0.133045
0,0.05,1.14865e-05,2,0.133214
0,0.05,1.16216e-05,1,0.133815
0,0.05,1.16216e-05,2,0.131731
0,0.05,1.17568e-05,1,0.133592
0,0.05,1.17568e-05,2,0.133749
0,0.05,1.18919e-05,1,0.133742
0,0.05,1.18919e-05,2,0.132638
0,0.05,1.2027e-05,1,0.13323
0,0.05,1.2027e-05,2,0.1331
0,0.05,1.21622e-05,1,0.13282
0,0.05,1.21622e-05,2,0.133323
0,0.05,1.22973e-05,1,0.133677
0,0.05,1.22973e-05,2,0.133691
0,0.05,1.24324e-05,1,0.133315
0,0.05,1.24324e-05,2,0.133661
0,0.05,1.25676e-05,1,0.133108
