omega,gamma,beta,action,Count
0.8,0.0832354,5.798e-06,1,0.0701575
0.8,0.0832354,5.798e-06,2,0.831211
0.8,0.0832354,5.798e-06,3,0.0268125
0.8,0.0832354,5.798e-06,4,0.071819
0.8,0.0832354,5.98992e-06,1,0.0885856
0.8,0.0832354,5.98992e-06,2,0.798027
0.8,0.0832354,5.98992e-06,3,0.0247948
0.8,0.0832354,5.98992e-06,4,0.088593
0.8,0.0832354,6.18184e-06,1,0.0751917
0.8,0.0832354,6.18184e-06,2,0.812981
0.8,0.0832354,6.18184e-06,3,0.0353791
0.8,0.0832354,6.18184e-06,4,0.0764481
0.8,0.0832354,6.37376e-06,1,0.0687898
0.8,0.0832354,6.37376e-06,2,0.836526
0.8,0.0832354,6.37376e-06,3,0.0264137
0.8,0.0832354,6.37376e-06,4,0.0682706
0.8,0.0832354,6.56567e-06,1,0.0786705
0.8,0.0832354,6.56567e-06,2,0.828339
0.8,0.0832354,6.56567e-06,3,0.0130698
0.8,0.0832354,6.56567e-06,4,0.0799204
0.8,0.0832354,6.75759e-06,1,0.0946819
0.8,0.0832354,6.75759e-06,2,0.803082
0.8,0.0832354,6.75759e-06,3,0.0075509
0.8,0.0832354,6.75759e-06,4,0.0946856
0.8,0.0832354,6.94951e-06,1,0.0952187
0.8,0.0832354,6.94951e-06,2,0.786443
0.8,0.0832354,6.94951e-06,3,0.0231304
0.8,0.0832354,6.94951e-06,4,0.0952078
0.8,0.0832354,7.14143e-06,1,0.106735
0.8,0.0832354,7.14143e-06,2,0.774395
0.8,0.0832354,7.14143e-06,3,0.0118682
0.8,0.0832354,7.14143e-06,4,0.107002
0.8,0.0832354,7.33335e-06,1,0.0527103
0.8,0.0832354,7.33335e-06,2,0.883051
0.8,0.0832354,7.33335e-06,3,0.0115451
0.8,0.0832354,7.33335e-06,4,0.0526938
0.8,0.0832354,7.52527e-06,1,0.0822498
0.8,0.0832354,7.52527e-06,2,0.818438
0.8,0.0832354,7.52527e-06,3,0.0170789
0.8,0.0832354,7.52527e-06,4,0.0822332
0.8,0.0832354,7.71718e-06,1,0.0837521
0.8,0.0832354,7.71718e-06,2,0.816391
0.8,0.0832354,7.71718e-06,3,0.0126659
0.8,0.0832354,7.71718e-06,4,0.0871906
0.8,0.0832354,7.9091e-06,1,0.092031
0.8,0.0832354,7.9091e-06,2,0.796915
0.8,0.0832354,7.9091e-06,3,0.0180823
0.8,0.0832354,7.9091e-06,4,0.0929716
0.8,0.0832354,8.10102e-06,1,0.0768645
0.8,0.0832354,8.10102e-06,2,0.834405
0.8,0.0832354,8.10102e-06,3,0.0158731
0.8,0.0832354,8.10102e-06,4,0.0728571
0.8,0.0832354,8.29294e-06,1,0.0970694
0.8,0.0832354,8.29294e-06,2,0.796347
0.8,0.0832354,8.29294e-06,3,0.0084964
0.8,0.0832354,8.29294e-06,4,0.0980869
0.8,0.0832354,8.48486e-06,1,0.0913726
0.8,0.0832354,8.48486e-06,2,0.815893
0.8,0.0832354,8.48486e-06,3,0.0013534
0.8,0.0832354,8.48486e-06,4,0.0913806
0.8,0.0832354,8.67678e-06,1,0.0572875
0.8,0.0832354,8.67678e-06,2,0.862885
0.8,0.0832354,8.67678e-06,3,0.0225293
0.8,0.0832354,8.67678e-06,4,0.0572987
0.8,0.0832354,8.86869e-06,1,0.0666395
0.8,0.0832354,8.86869e-06,2,0.847644
0.8,0.0832354,8.86869e-06,3,0.0190777
0.8,0.0832354,8.86869e-06,4,0.0666386
0.8,0.0832354,9.06061e-06,1,0.0882581
0.8,0.0832354,9.06061e-06,2,0.807154
0.8,0.0832354,9.06061e-06,3,0.0163414
0.8,0.0832354,9.06061e-06,4,0.0882466
0.8,0.0832354,9.25253e-06,1,0.0743828
0.8,0.0832354,9.25253e-06,2,0.841092
0.8,0.0832354,9.25253e-06,3,0.0101389
0.8,0.0832354,9.25253e-06,4,0.0743861
0.8,0.0832354,9.44445e-06,1,0.0899999
0.8,0.0832354,9.44445e-06,2,0.820084
0.8,0.0832354,9.44445e-06,3,0.0024128
0.8,0.0832354,9.44445e-06,4,0.0875034
0.8,0.0832354,9.63637e-06,1,0.0915521
0.8,0.0832354,9.63637e-06,2,0.796366
0.8,0.0832354,9.63637e-06,3,0.0205183
0.8,0.0832354,9.63637e-06,4,0.0915632
0.8,0.0832354,9.82829e-06,1,0.0753721
0.8,0.0832354,9.82829e-06,2,0.847212
0.8,0.0832354,9.82829e-06,3,0.0020522
0.8,0.0832354,9.82829e-06,4,0.0753633
0.8,0.0832354,1.00202e-05,1,0.0748748
0.8,0.0832354,1.00202e-05,2,0.82752
0.8,0.0832354,1.00202e-05,3,0.0222809
0.8,0.0832354,1.00202e-05,4,0.0753243
0.8,0.0832354,1.02121e-05,1,0.0725516
0.8,0.0832354,1.02121e-05,2,0.83592
0.8,0.0832354,1.02121e-05,3,0.015365
0.8,0.0832354,1.02121e-05,4,0.0761638
0.8,0.0832354,1.0404e-05,1,0.063417
0.8,0.0832354,1.0404e-05,2,0.860158
0.8,0.0832354,1.0404e-05,3,0.0112645
0.8,0.0832354,1.0404e-05,4,0.0651607
0.8,0.0832354,1.0596e-05,1,0.0651277
0.8,0.0832354,1.0596e-05,2,0.863123
0.8,0.0832354,1.0596e-05,3,0.0066334
0.8,0.0832354,1.0596e-05,4,0.0651161
0.8,0.0832354,1.07879e-05,1,0.0511621
0.8,0.0832354,1.07879e-05,2,0.895095
0.8,0.0832354,1.07879e-05,3,0.0025948
0.8,0.0832354,1.07879e-05,4,0.051148
0.8,0.0832354,1.09798e-05,1,0.0544956
0.8,0.0832354,1.09798e-05,2,0.875657
0.8,0.0832354,1.09798e-05,3,0.0154664
0.8,0.0832354,1.09798e-05,4,0.0543808
0.8,0.0832354,1.11717e-05,1,0.0724185
0.8,0.0832354,1.11717e-05,2,0.847653
0.8,0.0832354,1.11717e-05,3,0.0070064
0.8,0.0832354,1.11717e-05,4,0.0729223
0.8,0.0832354,1.13636e-05,1,0.0453932
0.8,0.0832354,1.13636e-05,2,0.89102
0.8,0.0832354,1.13636e-05,3,0.0182876
0.8,0.0832354,1.13636e-05,4,0.045299
0.8,0.0832354,1.15556e-05,1,0.0769262
0.8,0.0832354,1.15556e-05,2,0.829746
0.8,0.0832354,1.15556e-05,3,0.0177649
0.8,0.0832354,1.15556e-05,4,0.0755632
0.8,0.0832354,1.17475e-05,1,0.0588264
0.8,0.0832354,1.17475e-05,2,0.877651
0.8,0.0832354,1.17475e-05,3,0.005253
0.8,0.0832354,1.17475e-05,4,0.0582697
0.8,0.0832354,1.19394e-05,1,0.0600218
0.8,0.0832354,1.19394e-05,2,0.857314
0.8,0.0832354,1.19394e-05,3,0.0225687
0.8,0.0832354,1.19394e-05,4,0.0600951
0.8,0.0832354,1.21313e-05,1,0.0640743
0.8,0.0832354,1.21313e-05,2,0.844979
0.8,0.0832354,1.21313e-05,3,0.0268361
0.8,0.0832354,1.21313e-05,4,0.0641105
0.8,0.0832354,1.23232e-05,1,0.0460417
0.8,0.0832354,1.23232e-05,2,0.900202
0.8,0.0832354,1.23232e-05,3,0.0079514
0.8,0.0832354,1.23232e-05,4,0.0458048
0.8,0.0832354,1.25151e-05,1,0.0320169
0.8,0.0832354,1.25151e-05,2,0.927118
0.8,0.0832354,1.25151e-05,3,0.008845
0.8,0.0832354,1.25151e-05,4,0.0320203
0.8,0.0832354,1.27071e-05,1,0.0324611
0.8,0.0832354,1.27071e-05,2,0.912968
0.8,0.0832354,1.27071e-05,3,0.0197687
0.8,0.0832354,1.27071e-05,4,0.0348023
0.8,0.0832354,1.2899e-05,1,0.0442506
0.8,0.0832354,1.2899e-05,2,0.904709
0.8,0.0832354,1.2899e-05,3,0.0067906
0.8,0.0832354,1.2899e-05,4,0.0442495
0.8,0.0832354,1.30909e-05,1,0.0613094
0.8,0.0832354,1.30909e-05,2,0.870405
0.8,0.0832354,1.30909e-05,3,0.0069718
0.8,0.0832354,1.30909e-05,4,0.0613136
0.8,0.0832354,1.32828e-05,1,0.0653323
0.8,0.0832354,1.32828e-05,2,0.854743
0.8,0.0832354,1.32828e-05,3,0.0146841
0.8,0.0832354,1.32828e-05,4,0.0652405
0.8,0.0832354,1.34747e-05,1,0.056481
0.8,0.0832354,1.34747e-05,2,0.86511
0.8,0.0832354,1.34747e-05,3,0.0225375
0.8,0.0832354,1.34747e-05,4,0.0558717
0.8,0.0832354,1.36667e-05,1,0.0786618
0.8,0.0832354,1.36667e-05,2,0.828425
0.8,0.0832354,1.36667e-05,3,0.0143047
0.8,0.0832354,1.36667e-05,4,0.0786087
0.8,0.0832354,1.38586e-05,1,0.0584893
0.8,0.0832354,1.38586e-05,2,0.867313
0.8,0.0832354,1.38586e-05,3,0.0128935
0.8,0.0832354,1.38586e-05,4,0.0613041
0.8,0.0832354,1.40505e-05,1,0.0571971
0.8,0.0832354,1.40505e-05,2,0.873281
0.8,0.0832354,1.40505e-05,3,0.0123739
0.8,0.0832354,1.40505e-05,4,0.0571482
0.8,0.0832354,1.42424e-05,1,0.032646
0.8,0.0832354,1.42424e-05,2,0.9265
0.8,0.0832354,1.42424e-05,3,0.0081304
0.8,0.0832354,1.42424e-05,4,0.032724
0.8,0.0832354,1.44343e-05,1,0.0346122
0.8,0.0832354,1.44343e-05,2,0.916855
0.8,0.0832354,1.44343e-05,3,0.0137798
0.8,0.0832354,1.44343e-05,4,0.0347526
0.8,0.0832354,1.46262e-05,1,0.0761348
0.8,0.0832354,1.46262e-05,2,0.833148
0.8,0.0832354,1.46262e-05,3,0.014032
0.8,0.0832354,1.46262e-05,4,0.0766857
0.8,0.0832354,1.48182e-05,1,0.0584452
0.8,0.0832354,1.48182e-05,2,0.851008
0.8,0.0832354,1.48182e-05,3,0.0331357
0.8,0.0832354,1.48182e-05,4,0.0574112
0.8,0.0832354,1.50101e-05,1,0.0255019
0.8,0.0832354,1.50101e-05,2,0.92161
0.8,0.0832354,1.50101e-05,3,0.0270799
0.8,0.0832354,1.50101e-05,4,0.0258081
0.8,0.0832354,1.5202e-05,1,0.0269657
0.8,0.0832354,1.5202e-05,2,0.940833
0.8,0.0832354,1.5202e-05,3,0.0052372
0.8,0.0832354,1.5202e-05,4,0.0269638
0.8,0.0861646,5.798e-06,1,0.109494
0.8,0.0861646,5.798e-06,2,0.766398
0.8,0.0861646,5.798e-06,3,0.0160455
0.8,0.0861646,5.798e-06,4,0.108063
0.8,0.0861646,5.98992e-06,1,0.116867
0.8,0.0861646,5.98992e-06,2,0.758025
0.8,0.0861646,5.98992e-06,3,0.0064877
0.8,0.0861646,5.98992e-06,4,0.11862
0.8,0.0861646,6.18184e-06,1,0.0719263
0.8,0.0861646,6.18184e-06,2,0.817259
0.8,0.0861646,6.18184e-06,3,0.0372833
0.8,0.0861646,6.18184e-06,4,0.073531
0.8,0.0861646,6.37376e-06,1,0.0971766
0.8,0.0861646,6.37376e-06,2,0.787247
0.8,0.0861646,6.37376e-06,3,0.0192535
0.8,0.0861646,6.37376e-06,4,0.096323
0.8,0.0861646,6.56567e-06,1,0.082713
0.8,0.0861646,6.56567e-06,2,0.809235
0.8,0.0861646,6.56567e-06,3,0.0253446
0.8,0.0861646,6.56567e-06,4,0.0827074
0.8,0.0861646,6.75759e-06,1,0.108391
0.8,0.0861646,6.75759e-06,2,0.759494
0.8,0.0861646,6.75759e-06,3,0.0235663
0.8,0.0861646,6.75759e-06,4,0.108549
0.8,0.0861646,6.94951e-06,1,0.0965067
0.8,0.0861646,6.94951e-06,2,0.792152
0.8,0.0861646,6.94951e-06,3,0.0151783
0.8,0.0861646,6.94951e-06,4,0.0961625
0.8,0.0861646,7.14143e-06,1,0.0744235
0.8,0.0861646,7.14143e-06,2,0.828532
0.8,0.0861646,7.14143e-06,3,0.0225994
0.8,0.0861646,7.14143e-06,4,0.0744455
0.8,0.0861646,7.33335e-06,1,0.100948
0.8,0.0861646,7.33335e-06,2,0.78228
0.8,0.0861646,7.33335e-06,3,0.01666
0.8,0.0861646,7.33335e-06,4,0.100113
0.8,0.0861646,7.52527e-06,1,0.0976882
0.8,0.0861646,7.52527e-06,2,0.783628
0.8,0.0861646,7.52527e-06,3,0.0210047
0.8,0.0861646,7.52527e-06,4,0.097679
0.8,0.0861646,7.71718e-06,1,0.0883244
0.8,0.0861646,7.71718e-06,2,0.804985
0.8,0.0861646,7.71718e-06,3,0.0183638
0.8,0.0861646,7.71718e-06,4,0.088327
0.8,0.0861646,7.9091e-06,1,0.0817118
0.8,0.0861646,7.9091e-06,2,0.828874
0.8,0.0861646,7.9091e-06,3,0.0074898
0.8,0.0861646,7.9091e-06,4,0.0819241
0.8,0.0861646,8.10102e-06,1,0.0662177
0.8,0.0861646,8.10102e-06,2,0.859143
0.8,0.0861646,8.10102e-06,3,0.0084103
0.8,0.0861646,8.10102e-06,4,0.0662289
0.8,0.0861646,8.29294e-06,1,0.0987325
0.8,0.0861646,8.29294e-06,2,0.78845
0.8,0.0861646,8.29294e-06,3,0.0139581
0.8,0.0861646,8.29294e-06,4,0.0988598
0.8,0.0861646,8.48486e-06,1,0.0890112
0.8,0.0861646,8.48486e-06,2,0.813579
0.8,0.0861646,8.48486e-06,3,0.0085808
0.8,0.0861646,8.48486e-06,4,0.0888288
0.8,0.0861646,8.67678e-06,1,0.0864181
0.8,0.0861646,8.67678e-06,2,0.809906
0.8,0.0861646,8.67678e-06,3,0.0172638
0.8,0.0861646,8.67678e-06,4,0.0864121
0.8,0.0861646,8.86869e-06,1,0.0469258
0.8,0.0861646,8.86869e-06,2,0.891766
0.8,0.0861646,8.86869e-06,3,0.0110447
