omega,alpha,beta,cs
1,0.05,5e-06,0.312356
1,0.05,5.13514e-06,0.310586
1,0.05,5.27027e-06,0.305703
1,0.05,5.40541e-06,0.30732
1,0.05,5.54054e-06,0.316765
1,0.05,5.67568e-06,0.308921
1,0.05,5.81081e-06,0.315942
1,0.05,5.94595e-06,0.318299
1,0.05,6.08108e-06,0.312836
1,0.05,6.21622e-06,0.311031
1,0.05,6.35135e-06,0.314615
1,0.05,6.48649e-06,0.314275
1,0.05,6.62162e-06,0.312131
1,0.05,6.75676e-06,0.318212
1,0.05,6.89189e-06,0.311012
1,0.05,7.02703e-06,0.312709
1,0.05,7.16216e-06,0.315127
1,0.05,7.2973e-06,0.317868
1,0.05,7.43243e-06,0.317079
1,0.05,7.56757e-06,0.314251
1,0.05,7.7027e-06,0.313855
1,0.05,7.83784e-06,0.319865
1,0.05,7.97297e-06,0.313409
1,0.05,8.10811e-06,0.313808
1,0.05,8.24324e-06,0.314164
1,0.05,8.37838e-06,0.320743
1,0.05,8.51351e-06,0.317121
1,0.05,8.64865e-06,0.314846
1,0.05,8.78378e-06,0.319215
1,0.05,8.91892e-06,0.318087
1,0.05,9.05405e-06,0.316994
1,0.05,9.18919e-06,0.320611
1,0.05,9.32432e-06,0.322287
1,0.05,9.45946e-06,0.31698
1,0.05,9.59459e-06,0.321281
1,0.05,9.72973e-06,0.318919
1,0.05,9.86486e-06,0.318046
1,0.05,1e-05,0.315302
1,0.05,1.01351e-05,0.318512
1,0.05,1.02703e-05,0.317104
1,0.05,1.04054e-05,0.321545
1,0.05,1.05405e-05,0.319035
1,0.05,1.06757e-05,0.321537
1,0.05,1.08108e-05,0.318153
1,0.05,1.09459e-05,0.316082
1,0.05,1.10811e-05,0.315022
1,0.05,1.12162e-05,0.31638
1,0.05,1.13514e-05,0.316311
1,0.05,1.14865e-05,0.315226
1,0.05,1.16216e-05,0.318492
1,0.05,1.17568e-05,0.316071
1,0.05,1.18919e-05,0.318064
1,0.05,1.2027e-05,0.316194
1,0.05,1.21622e-05,0.321266
1,0.05,1.22973e-05,0.319809
1,0.05,1.24324e-05,0.31303
1,0.05,1.25676e-05,0.313022
1,0.05,1.27027e-05,0.319285
1,0.05,1.28378e-05,0.318232
1,0.05,1.2973e-05,0.316118
1,0.05,1.31081e-05,0.316513
1,0.05,1.32432e-05,0.316015
1,0.05,1.33784e-05,0.317203
1,0.05,1.35135e-05,0.316056
1,0.05,1.36486e-05,0.316587
1,0.05,1.37838e-05,0.318807
1,0.05,1.39189e-05,0.317498
1,0.05,1.40541e-05,0.313753
1,0.05,1.41892e-05,0.316221
1,0.05,1.43243e-05,0.314793
1,0.05,1.44595e-05,0.311549
1,0.05,1.45946e-05,0.312393
1,0.05,1.47297e-05,0.313129
1,0.05,1.48649e-05,0.315191
1,0.05,1.5e-05,0.314128
1,0.0527027,5e-06,0.308749
1,0.0527027,5.13514e-06,0.306304
1,0.0527027,5.27027e-06,0.312078
1,0.0527027,5.40541e-06,0.309174
1,0.0527027,5.54054e-06,0.315577
1,0.0527027,5.67568e-06,0.308925
1,0.0527027,5.81081e-06,0.310458
1,0.0527027,5.94595e-06,0.314544
1,0.0527027,6.08108e-06,0.311702
1,0.0527027,6.21622e-06,0.309854
1,0.0527027,6.35135e-06,0.316551
1,0.0527027,6.48649e-06,0.312089
1,0.0527027,6.62162e-06,0.313003
1,0.0527027,6.75676e-06,0.315574
1,0.0527027,6.89189e-06,0.315134
1,0.0527027,7.02703e-06,0.313298
1,0.0527027,7.16216e-06,0.314887
1,0.0527027,7.2973e-06,0.317724
1,0.0527027,7.43243e-06,0.314811
1,0.0527027,7.56757e-06,0.315316
1,0.0527027,7.7027e-06,0.317736
1,0.0527027,7.83784e-06,0.311646
1,0.0527027,7.97297e-06,0.318391
1,0.0527027,8.10811e-06,0.320421
1,0.0527027,8.24324e-06,0.314431
1,0.0527027,8.37838e-06,0.318954
1,0.0527027,8.51351e-06,0.316959
1,0.0527027,8.64865e-06,0.315451
1,0.0527027,8.78378e-06,0.3195
1,0.0527027,8.91892e-06,0.317012
1,0.0527027,9.05405e-06,0.320153
1,0.0527027,9.18919e-06,0.316611
1,0.0527027,9.32432e-06,0.313349
1,0.0527027,9.45946e-06,0.316198
1,0.0527027,9.59459e-06,0.319984
1,0.0527027,9.72973e-06,0.315281
1,0.0527027,9.86486e-06,0.31541
1,0.0527027,1e-05,0.316285
1,0.0527027,1.01351e-05,0.31944
1,0.0527027,1.02703e-05,0.316853
1,0.0527027,1.04054e-05,0.316957
1,0.0527027,1.05405e-05,0.319003
1,0.0527027,1.06757e-05,0.319647
1,0.0527027,1.08108e-05,0.317115
1,0.0527027,1.09459e-05,0.319814
1,0.0527027,1.10811e-05,0.315671
