omega,gamma,beta,firm,profit
1,0.0832354,5.798e-06,1,0.136885
1,0.0832354,5.798e-06,2,0.136422
1,0.0832354,5.98992e-06,1,0.137067
1,0.0832354,5.98992e-06,2,0.137295
1,0.0832354,6.18184e-06,1,0.135839
1,0.0832354,6.18184e-06,2,0.134506
1,0.0832354,6.37376e-06,1,0.134994
1,0.0832354,6.37376e-06,2,0.1347
1,0.0832354,6.56567e-06,1,0.134765
1,0.0832354,6.56567e-06,2,0.135764
1,0.0832354,6.75759e-06,1,0.136312
1,0.0832354,6.75759e-06,2,0.136528
1,0.0832354,6.94951e-06,1,0.136443
1,0.0832354,6.94951e-06,2,0.13624
1,0.0832354,7.14143e-06,1,0.134736
1,0.0832354,7.14143e-06,2,0.13528
1,0.0832354,7.33335e-06,1,0.134944
1,0.0832354,7.33335e-06,2,0.134781
1,0.0832354,7.52527e-06,1,0.135595
1,0.0832354,7.52527e-06,2,0.135687
1,0.0832354,7.71718e-06,1,0.136355
1,0.0832354,7.71718e-06,2,0.136015
1,0.0832354,7.9091e-06,1,0.135977
1,0.0832354,7.9091e-06,2,0.134975
1,0.0832354,8.10102e-06,1,0.135508
1,0.0832354,8.10102e-06,2,0.135059
1,0.0832354,8.29294e-06,1,0.136389
1,0.0832354,8.29294e-06,2,0.136759
1,0.0832354,8.48486e-06,1,0.135446
1,0.0832354,8.48486e-06,2,0.135445
1,0.0832354,8.67678e-06,1,0.136509
1,0.0832354,8.67678e-06,2,0.136596
1,0.0832354,8.86869e-06,1,0.135761
1,0.0832354,8.86869e-06,2,0.135494
1,0.0832354,9.06061e-06,1,0.134898
1,0.0832354,9.06061e-06,2,0.135104
1,0.0832354,9.25253e-06,1,0.135267
1,0.0832354,9.25253e-06,2,0.134404
1,0.0832354,9.44445e-06,1,0.1351
1,0.0832354,9.44445e-06,2,0.134935
1,0.0832354,9.63637e-06,1,0.135223
1,0.0832354,9.63637e-06,2,0.136058
1,0.0832354,9.82829e-06,1,0.135569
1,0.0832354,9.82829e-06,2,0.134139
1,0.0832354,1.00202e-05,1,0.134658
1,0.0832354,1.00202e-05,2,0.135238
1,0.0832354,1.02121e-05,1,0.13552
1,0.0832354,1.02121e-05,2,0.13636
1,0.0832354,1.0404e-05,1,0.136258
1,0.0832354,1.0404e-05,2,0.134918
1,0.0832354,1.0596e-05,1,0.135811
1,0.0832354,1.0596e-05,2,0.135269
1,0.0832354,1.07879e-05,1,0.135321
1,0.0832354,1.07879e-05,2,0.134203
1,0.0832354,1.09798e-05,1,0.135318
1,0.0832354,1.09798e-05,2,0.135547
1,0.0832354,1.11717e-05,1,0.134729
1,0.0832354,1.11717e-05,2,0.134413
1,0.0832354,1.13636e-05,1,0.134028
1,0.0832354,1.13636e-05,2,0.134872
1,0.0832354,1.15556e-05,1,0.134914
1,0.0832354,1.15556e-05,2,0.135453
1,0.0832354,1.17475e-05,1,0.134447
1,0.0832354,1.17475e-05,2,0.135297
1,0.0832354,1.19394e-05,1,0.134246
1,0.0832354,1.19394e-05,2,0.134859
1,0.0832354,1.21313e-05,1,0.136777
1,0.0832354,1.21313e-05,2,0.136497
1,0.0832354,1.23232e-05,1,0.13579
1,0.0832354,1.23232e-05,2,0.135021
1,0.0832354,1.25151e-05,1,0.134919
1,0.0832354,1.25151e-05,2,0.135694
1,0.0832354,1.27071e-05,1,0.135246
1,0.0832354,1.27071e-05,2,0.135063
1,0.0832354,1.2899e-05,1,0.136588
1,0.0832354,1.2899e-05,2,0.137001
1,0.0832354,1.30909e-05,1,0.135767
1,0.0832354,1.30909e-05,2,0.134975
1,0.0832354,1.32828e-05,1,0.136574
1,0.0832354,1.32828e-05,2,0.136491
1,0.0832354,1.34747e-05,1,0.134931
1,0.0832354,1.34747e-05,2,0.134705
1,0.0832354,1.36667e-05,1,0.135507
