omega,c,action,Count
0,0,1,0.0918215
0,0,2,0.802555
0,0,3,0.0126913
0,0,4,0.0929324
0,0.00505051,1,0.096804
0,0.00505051,2,0.793517
0,0.00505051,3,0.0112169
0,0.00505051,4,0.0984623
0,0.010101,1,0.0941273
0,0.010101,2,0.779184
0,0.010101,3,0.0300603
0,0.010101,4,0.0966281
0,0.0151515,1,0.101112
0,0.0151515,2,0.769386
0,0.0151515,3,0.0269603
0,0.0151515,4,0.102542
0,0.020202,1,0.114199
0,0.020202,2,0.764572
0,0.020202,3,0.0128707
0,0.020202,4,0.108358
0,0.0252525,1,0.111692
0,0.0252525,2,0.763268
0,0.0252525,3,0.0140245
0,0.0252525,4,0.111016
0,0.030303,1,0.118338
0,0.030303,2,0.733709
0,0.030303,3,0.02428
0,0.030303,4,0.123672
0,0.0353535,1,0.133443
0,0.0353535,2,0.701711
0,0.0353535,3,0.030571
0,0.0353535,4,0.134275
0,0.040404,1,0.110145
0,0.040404,2,0.766098
0,0.040404,3,0.0151564
0,0.040404,4,0.108601
0,0.0454545,1,0.112414
0,0.0454545,2,0.755686
0,0.0454545,3,0.0176285
0,0.0454545,4,0.114271
0,0.0505051,1,0.085685
0,0.0505051,2,0.804665
0,0.0505051,3,0.0227132
0,0.0505051,4,0.0869368
0,0.0555556,1,0.122999
0,0.0555556,2,0.740987
0,0.0555556,3,0.0187297
0,0.0555556,4,0.117285
0,0.0606061,1,0.113038
0,0.0606061,2,0.758906
0,0.0606061,3,0.0164474
0,0.0606061,4,0.111608
0,0.0656566,1,0.109391
0,0.0656566,2,0.771855
0,0.0656566,3,0.0064457
0,0.0656566,4,0.112309
0,0.0707071,1,0.121315
0,0.0707071,2,0.723035
0,0.0707071,3,0.030195
0,0.0707071,4,0.125455
0,0.0757576,1,0.0950965
0,0.0757576,2,0.795887
0,0.0757576,3,0.0139226
0,0.0757576,4,0.0950941
0,0.0808081,1,0.10523
0,0.0808081,2,0.762806
0,0.0808081,3,0.0304786
0,0.0808081,4,0.101485
0,0.0858586,1,0.132932
0,0.0858586,2,0.72147
0,0.0858586,3,0.0127649
0,0.0858586,4,0.132833
0,0.0909091,1,0.123571
0,0.0909091,2,0.741267
0,0.0909091,3,0.0123551
0,0.0909091,4,0.122807
0,0.0959596,1,0.130882
0,0.0959596,2,0.721344
0,0.0959596,3,0.0170308
0,0.0959596,4,0.130743
0,0.10101,1,0.11612
0,0.10101,2,0.742544
0,0.10101,3,0.0252253
0,0.10101,4,0.11611
0,0.106061,1,0.129563
0,0.106061,2,0.73448
0,0.106061,3,0.0075129
0,0.106061,4,0.128444
0,0.111111,1,0.141384
0,0.111111,2,0.711654
0,0.111111,3,0.0076638
0,0.111111,4,0.139298
0,0.116162,1,0.127048
0,0.116162,2,0.709101
0,0.116162,3,0.0352367
0,0.116162,4,0.128614
0,0.121212,1,0.127708
0,0.121212,2,0.725111
0,0.121212,3,0.0194696
0,0.121212,4,0.127712
0,0.126263,1,0.137631
0,0.126263,2,0.699937
0,0.126263,3,0.024794
0,0.126263,4,0.137638
0,0.131313,1,0.177728
0,0.131313,2,0.622225
0,0.131313,3,0.0219246
0,0.131313,4,0.178123
0,0.136364,1,0.111306
0,0.136364,2,0.764952
0,0.136364,3,0.010695
0,0.136364,4,0.113047
0,0.141414,1,0.131441
0,0.141414,2,0.717453
0,0.141414,3,0.0183308
0,0.141414,4,0.132775
0,0.146465,1,0.142792
0,0.146465,2,0.69113
0,0.146465,3,0.0269679
0,0.146465,4,0.139111
0,0.151515,1,0.150215
0,0.151515,2,0.686682
0,0.151515,3,0.0128891
0,0.151515,4,0.150214
0,0.156566,1,0.131368
0,0.156566,2,0.712984
0,0.156566,3,0.0277056
0,0.156566,4,0.127942
0,0.161616,1,0.128151
0,0.161616,2,0.718832
0,0.161616,3,0.0259377
0,0.161616,4,0.127079
0,0.166667,1,0.12888
0,0.166667,2,0.736135
0,0.166667,3,0.0103079
0,0.166667,4,0.124676
0,0.171717,1,0.137867
0,0.171717,2,0.713561
0,0.171717,3,0.0120242
0,0.171717,4,0.136548
0,0.176768,1,0.127316
0,0.176768,2,0.723992
0,0.176768,3,0.0199049
0,0.176768,4,0.128787
0,0.181818,1,0.13042
0,0.181818,2,0.718221
0,0.181818,3,0.0199346
0,0.181818,4,0.131424
0,0.186869,1,0.134467
0,0.186869,2,0.703992
0,0.186869,3,0.025032
0,0.186869,4,0.136508
0,0.191919,1,0.133803
0,0.191919,2,0.723628
0,0.191919,3,0.0137635
0,0.191919,4,0.128805
0,0.19697,1,0.089276
0,0.19697,2,0.802063
0,0.19697,3,0.0162894
0,0.19697,4,0.092372
0,0.20202,1,0.120095
0,0.20202,2,0.735415
0,0.20202,3,0.0243108
0,0.20202,4,0.120179
0,0.207071,1,0.132044
0,0.207071,2,0.725868
0,0.207071,3,0.0111625
0,0.207071,4,0.130925
0,0.212121,1,0.125407
0,0.212121,2,0.71728
0,0.212121,3,0.0319074
0,0.212121,4,0.125406
0,0.217172,1,0.144969
0,0.217172,2,0.690009
0,0.217172,3,0.0243742
0,0.217172,4,0.140647
0,0.222222,1,0.1296
0,0.222222,2,0.714493
0,0.222222,3,0.0308938
0,0.222222,4,0.125013
0,0.227273,1,0.125601
0,0.227273,2,0.716495
0,0.227273,3,0.0373152
0,0.227273,4,0.120588
0,0.232323,1,0.139639
0,0.232323,2,0.692106
0,0.232323,3,0.0253645
0,0.232323,4,0.14289
0,0.237374,1,0.136095
0,0.237374,2,0.707604
0,0.237374,3,0.0189623
0,0.237374,4,0.137338
0,0.242424,1,0.127226
0,0.242424,2,0.726809
0,0.242424,3,0.0188545
0,0.242424,4,0.127111
0,0.247475,1,0.148639
0,0.247475,2,0.688513
0,0.247475,3,0.0158766
0,0.247475,4,0.146972
0,0.252525,1,0.142171
