omega,c,t
0,0,1.21607e+06
0,0.00505051,1.24136e+06
0,0.010101,1.22601e+06
0,0.0151515,1.2402e+06
0,0.020202,1.24696e+06
0,0.0252525,1.23108e+06
0,0.030303,1.24917e+06
0,0.0353535,1.24342e+06
0,0.040404,1.25992e+06
0,0.0454545,1.23185e+06
0,0.0505051,1.24129e+06
0,0.0555556,1.23906e+06
0,0.0606061,1.2482e+06
0,0.0656566,1.2547e+06
0,0.0707071,1.25903e+06
0,0.0757576,1.23681e+06
0,0.0808081,1.24901e+06
0,0.0858586,1.23701e+06
0,0.0909091,1.2586e+06
0,0.0959596,1.25166e+06
0,0.10101,1.26082e+06
0,0.106061,1.25337e+06
0,0.111111,1.26502e+06
0,0.116162,1.27097e+06
0,0.121212,1.25188e+06
0,0.126263,1.2652e+06
0,0.131313,1.28234e+06
0,0.136364,1.26241e+06
0,0.141414,1.24569e+06
0,0.146465,1.28561e+06
0,0.151515,1.2509e+06
0,0.156566,1.26541e+06
0,0.161616,1.26722e+06
0,0.166667,1.24833e+06
0,0.171717,1.25065e+06
0,0.176768,1.26881e+06
0,0.181818,1.27323e+06
0,0.186869,1.25742e+06
0,0.191919,1.25624e+06
0,0.19697,1.26063e+06
0,0.20202,1.25233e+06
0,0.207071,1.26853e+06
0,0.212121,1.29124e+06
0,0.217172,1.26471e+06
0,0.222222,1.27344e+06
0,0.227273,1.26804e+06
0,0.232323,1.2752e+06
0,0.237374,1.27221e+06
0,0.242424,1.26492e+06
0,0.247475,1.27516e+06
0,0.252525,1.25716e+06
0,0.257576,1.27432e+06
0,0.262626,1.27821e+06
0,0.267677,1.26248e+06
0,0.272727,1.27936e+06
0,0.277778,1.26957e+06
0,0.282828,1.27691e+06
0,0.287879,1.26132e+06
0,0.292929,1.273e+06
0,0.29798,1.27547e+06
0,0.30303,1.2728e+06
0,0.308081,1.27465e+06
0,0.313131,1.26301e+06
0,0.318182,1.27717e+06
0,0.323232,1.2953e+06
0,0.328283,1.29717e+06
0,0.333333,1.26048e+06
