omega,c,firm,demand
0,0,1,0.393455
0,0,2,0.391461
0,0.00505051,1,0.395274
0,0.00505051,2,0.387338
0,0.010101,1,0.38604
0,0.010101,2,0.397081
0,0.0151515,1,0.387256
0,0.0151515,2,0.394755
0,0.020202,1,0.392381
0,0.020202,2,0.389281
0,0.0252525,1,0.387624
0,0.0252525,2,0.393821
0,0.030303,1,0.388573
0,0.030303,2,0.389305
0,0.0353535,1,0.386324
0,0.0353535,2,0.392477
0,0.040404,1,0.392771
0,0.040404,2,0.386015
0,0.0454545,1,0.385254
0,0.0454545,2,0.397305
0,0.0505051,1,0.385494
0,0.0505051,2,0.393891
0,0.0555556,1,0.391914
0,0.0555556,2,0.387747
0,0.0606061,1,0.392339
0,0.0606061,2,0.386296
0,0.0656566,1,0.392983
0,0.0656566,2,0.384224
0,0.0707071,1,0.387628
0,0.0707071,2,0.389473
0,0.0757576,1,0.387336
0,0.0757576,2,0.390621
0,0.0808081,1,0.384477
0,0.0808081,2,0.390983
0,0.0858586,1,0.385102
0,0.0858586,2,0.391742
0,0.0909091,1,0.384564
0,0.0909091,2,0.389989
0,0.0959596,1,0.389008
0,0.0959596,2,0.386575
0,0.10101,1,0.381562
0,0.10101,2,0.392596
0,0.106061,1,0.380108
0,0.106061,2,0.392897
0,0.111111,1,0.384318
0,0.111111,2,0.388291
0,0.116162,1,0.378654
0,0.116162,2,0.393019
0,0.121212,1,0.384435
0,0.121212,2,0.387167
0,0.126263,1,0.389265
0,0.126263,2,0.386098
0,0.131313,1,0.384186
0,0.131313,2,0.3889
0,0.136364,1,0.385385
0,0.136364,2,0.386757
0,0.141414,1,0.382299
0,0.141414,2,0.387994
0,0.146465,1,0.387317
0,0.146465,2,0.381641
0,0.151515,1,0.388359
0,0.151515,2,0.384744
0,0.156566,1,0.38535
0,0.156566,2,0.383547
0,0.161616,1,0.381475
0,0.161616,2,0.386257
0,0.166667,1,0.381789
0,0.166667,2,0.388383
0,0.171717,1,0.382086
0,0.171717,2,0.386951
0,0.176768,1,0.384319
0,0.176768,2,0.38229
0,0.181818,1,0.389016
0,0.181818,2,0.378239
0,0.186869,1,0.380989
0,0.186869,2,0.384404
0,0.191919,1,0.381441
