omega,c,firm,price
0,0,1,1.6981
0,0,2,1.70259
0,0.00505051,1,1.69245
0,0.00505051,2,1.7039
0,0.010101,1,1.70531
0,0.010101,2,1.6913
0,0.0151515,1,1.70351
0,0.0151515,2,1.69167
0,0.020202,1,1.70013
0,0.020202,2,1.69451
0,0.0252525,1,1.70373
0,0.0252525,2,1.69549
0,0.030303,1,1.70034
0,0.030303,2,1.70201
0,0.0353535,1,1.70893
0,0.0353535,2,1.69562
0,0.040404,1,1.69161
0,0.040404,2,1.70091
0,0.0454545,1,1.70557
0,0.0454545,2,1.68736
0,0.0505051,1,1.70249
0,0.0505051,2,1.68929
0,0.0555556,1,1.69392
0,0.0555556,2,1.69658
0,0.0606061,1,1.69085
0,0.0606061,2,1.69918
0,0.0656566,1,1.68795
0,0.0656566,2,1.7082
0,0.0707071,1,1.69341
0,0.0707071,2,1.69428
0,0.0757576,1,1.69728
0,0.0757576,2,1.68974
0,0.0808081,1,1.70796
0,0.0808081,2,1.69192
0,0.0858586,1,1.69675
0,0.0858586,2,1.68851
0,0.0909091,1,1.70066
0,0.0909091,2,1.69013
0,0.0959596,1,1.68812
0,0.0959596,2,1.6902
0,0.10101,1,1.69907
0,0.10101,2,1.68155
0,0.106061,1,1.70944
0,0.106061,2,1.68288
0,0.111111,1,1.69683
0,0.111111,2,1.68565
0,0.116162,1,1.70426
0,0.116162,2,1.67917
0,0.121212,1,1.69
0,0.121212,2,1.68629
0,0.126263,1,1.68152
0,0.126263,2,1.68478
0,0.131313,1,1.69091
0,0.131313,2,1.67958
0,0.136364,1,1.68833
0,0.136364,2,1.69026
0,0.141414,1,1.69052
0,0.141414,2,1.68553
0,0.146465,1,1.68654
0,0.146465,2,1.69024
0,0.151515,1,1.67746
0,0.151515,2,1.6849
0,0.156566,1,1.68936
0,0.156566,2,1.68657
0,0.161616,1,1.69209
0,0.161616,2,1.68941
0,0.166667,1,1.69542
0,0.166667,2,1.67786
0,0.171717,1,1.69134
0,0.171717,2,1.68223
0,0.176768,1,1.68008
0,0.176768,2,1.68548
0,0.181818,1,1.67634
0,0.181818,2,1.69722
0,0.186869,1,1.68476
0,0.186869,2,1.68754
0,0.191919,1,1.68622
0,0.191919,2,1.67597
0,0.19697,1,1.6795
0,0.19697,2,1.67812
0,0.20202,1,1.68197
0,0.20202,2,1.67442
0,0.207071,1,1.67408
0,0.207071,2,1.6786
0,0.212121,1,1.68385
0,0.212121,2,1.67782
0,0.217172,1,1.6763
0,0.217172,2,1.69217
0,0.222222,1,1.67898
0,0.222222,2,1.68048
0,0.227273,1,1.68249
0,0.227273,2,1.68491
0,0.232323,1,1.67245
0,0.232323,2,1.67926
0,0.237374,1,1.67123
0,0.237374,2,1.67331
0,0.242424,1,1.67127
0,0.242424,2,1.67695
0,0.247475,1,1.68212
0,0.247475,2,1.68622
0,0.252525,1,1.68873
0,0.252525,2,1.67914
0,0.257576,1,1.67423
0,0.257576,2,1.67794
0,0.262626,1,1.67076
0,0.262626,2,1.68419
0,0.267677,1,1.67946
0,0.267677,2,1.67382
0,0.272727,1,1.67599
0,0.272727,2,1.67562
0,0.277778,1,1.66903
0,0.277778,2,1.6752
0,0.282828,1,1.68071
0,0.282828,2,1.67269
0,0.287879,1,1.667
0,0.287879,2,1.67497
0,0.292929,1,1.6752
0,0.292929,2,1.66741
0,0.29798,1,1.66959
0,0.29798,2,1.68567
0,0.30303,1,1.67451
0,0.30303,2,1.68129
0,0.308081,1,1.67035
0,0.308081,2,1.68003
0,0.313131,1,1.68286
0,0.313131,2,1.6693
0,0.318182,1,1.67097
0,0.318182,2,1.67687
0,0.323232,1,1.67159
0,0.323232,2,1.67381
0,0.328283,1,1.66754
0,0.328283,2,1.67709
0,0.333333,1,1.66912
0,0.333333,2,1.67708
0,0.338384,1,1.67258
0,0.338384,2,1.67103
0,0.343434,1,1.6711
0,0.343434,2,1.67311
0,0.348485,1,1.67207
0,0.348485,2,1.66897
0,0.353535,1,1.6664
0,0.353535,2,1.68196
0,0.358586,1,1.67485
0,0.358586,2,1.66889
0,0.363636,1,1.6668
0,0.363636,2,1.66475
0,0.368687,1,1.66756
0,0.368687,2,1.66714
0,0.373737,1,1.67154
0,0.373737,2,1.6679
0,0.378788,1,1.67998
0,0.378788,2,1.66629
0,0.383838,1,1.66864
0,0.383838,2,1.67591
0,0.388889,1,1.67178
0,0.388889,2,1.66451
0,0.393939,1,1.66777
0,0.393939,2,1.66155
0,0.39899,1,1.67037
0,0.39899,2,1.66539
0,0.40404,1,1.66625
0,0.40404,2,1.66605
0,0.409091,1,1.66105
0,0.409091,2,1.66586
0,0.414141,1,1.66558
0,0.414141,2,1.66951
0,0.419192,1,1.6695
0,0.419192,2,1.65886
0,0.424242,1,1.6669
0,0.424242,2,1.66575
0,0.429293,1,1.66509
0,0.429293,2,1.67067
0,0.434343,1,1.66537
0,0.434343,2,1.66883
0,0.439394,1,1.67734
0,0.439394,2,1.65917
0,0.444444,1,1.6655
0,0.444444,2,1.66492
0,0.449495,1,1.6614
0,0.449495,2,1.66861
0,0.454545,1,1.66802
0,0.454545,2,1.66364
0,0.459596,1,1.65806
0,0.459596,2,1.66358
0,0.464646,1,1.66669
0,0.464646,2,1.66593
0,0.469697,1,1.664
0,0.469697,2,1.66529
0,0.474747,1,1.6658
0,0.474747,2,1.66548
0,0.479798,1,1.66679
0,0.479798,2,1.66774
0,0.484848,1,1.66177
0,0.484848,2,1.66178
0,0.489899,1,1.66304
0,0.489899,2,1.66332
0,0.494949,1,1.66287
0,0.494949,2,1.66006
0,0.5,1,1.66581
0,0.5,2,1.65696
0.8,0,1,1.70373
0.8,0,2,1.70346
0.8,0.00505051,1,1.70208
0.8,0.00505051,2,1.70262
0.8,0.010101,1,1.70497
0.8,0.010101,2,1.70264
0.8,0.0151515,1,1.6983
0.8,0.0151515,2,1.71211
0.8,0.020202,1,1.70539
0.8,0.020202,2,1.71149
0.8,0.0252525,1,1.70593
0.8,0.0252525,2,1.70707
