omega,tau,action,Count
0,0,1,0.248124
0,0,2,0.255282
0,0,3,0.240472
0,0,4,0.256122
0,0.010101,1,0.294006
0,0.010101,2,0.251466
0,0.010101,3,0.215454
0,0.010101,4,0.239074
0,0.020202,1,0.237245
0,0.020202,2,0.292329
0,0.020202,3,0.202711
0,0.020202,4,0.267715
0,0.030303,1,0.266118
0,0.030303,2,0.299081
0,0.030303,3,0.20972
0,0.030303,4,0.225081
0,0.040404,1,0.263737
0,0.040404,2,0.293697
0,0.040404,3,0.192051
0,0.040404,4,0.250515
0,0.0505051,1,0.252651
0,0.0505051,2,0.262626
0,0.0505051,3,0.200448
0,0.0505051,4,0.284275
0,0.0606061,1,0.224283
0,0.0606061,2,0.355005
0,0.0606061,3,0.1901
0,0.0606061,4,0.230611
0,0.0707071,1,0.225479
0,0.0707071,2,0.341765
0,0.0707071,3,0.164423
0,0.0707071,4,0.268332
0,0.0808081,1,0.228753
0,0.0808081,2,0.320644
0,0.0808081,3,0.217561
0,0.0808081,4,0.233043
0,0.0909091,1,0.219689
0,0.0909091,2,0.37895
0,0.0909091,3,0.177332
0,0.0909091,4,0.224029
0,0.10101,1,0.19458
0,0.10101,2,0.378781
0,0.10101,3,0.216658
0,0.10101,4,0.20998
0,0.111111,1,0.240664
0,0.111111,2,0.369488
0,0.111111,3,0.186359
0,0.111111,4,0.203489
0,0.121212,1,0.204322
0,0.121212,2,0.412613
0,0.121212,3,0.184623
0,0.121212,4,0.198442
0,0.131313,1,0.176441
0,0.131313,2,0.413898
0,0.131313,3,0.222076
0,0.131313,4,0.187585
0,0.141414,1,0.192113
0,0.141414,2,0.460299
0,0.141414,3,0.161612
0,0.141414,4,0.185976
0,0.151515,1,0.175605
0,0.151515,2,0.443149
0,0.151515,3,0.192096
0,0.151515,4,0.189149
0,0.161616,1,0.162608
0,0.161616,2,0.498044
0,0.161616,3,0.163883
0,0.161616,4,0.175465
0,0.171717,1,0.161102
0,0.171717,2,0.579233
0,0.171717,3,0.112861
0,0.171717,4,0.146804
0,0.181818,1,0.165353
0,0.181818,2,0.54087
0,0.181818,3,0.15483
0,0.181818,4,0.138947
0,0.191919,1,0.139258
0,0.191919,2,0.569224
0,0.191919,3,0.138461
0,0.191919,4,0.153057
0,0.20202,1,0.15135
0,0.20202,2,0.54162
0,0.20202,3,0.175697
0,0.20202,4,0.131334
0,0.212121,1,0.14419
0,0.212121,2,0.578669
0,0.212121,3,0.140346
0,0.212121,4,0.136796
0,0.222222,1,0.151499
0,0.222222,2,0.509968
0,0.222222,3,0.161196
0,0.222222,4,0.177337
0,0.232323,1,0.182616
0,0.232323,2,0.524578
0,0.232323,3,0.128928
0,0.232323,4,0.163878
0,0.242424,1,0.172686
0,0.242424,2,0.545122
0,0.242424,3,0.110691
0,0.242424,4,0.171501
0,0.252525,1,0.155787
0,0.252525,2,0.536282
0,0.252525,3,0.148578
0,0.252525,4,0.159354
0,0.262626,1,0.153839
0,0.262626,2,0.560285
0,0.262626,3,0.124672
0,0.262626,4,0.161204
0,0.272727,1,0.135765
0,0.272727,2,0.575905
0,0.272727,3,0.160248
0,0.272727,4,0.128081
0,0.282828,1,0.158725
0,0.282828,2,0.574083
0,0.282828,3,0.104098
0,0.282828,4,0.163095
0,0.292929,1,0.111867
0,0.292929,2,0.634654
0,0.292929,3,0.138643
0,0.292929,4,0.114836
0,0.30303,1,0.157765
0,0.30303,2,0.602561
0,0.30303,3,0.0878941
0,0.30303,4,0.151779
0,0.313131,1,0.141048
0,0.313131,2,0.640056
0,0.313131,3,0.0853604
0,0.313131,4,0.133535
0,0.323232,1,0.126508
0,0.323232,2,0.644607
0,0.323232,3,0.117195
0,0.323232,4,0.111689
0,0.333333,1,0.102303
0,0.333333,2,0.673062
0,0.333333,3,0.112614
0,0.333333,4,0.112021
0,0.343434,1,0.139718
0,0.343434,2,0.599274
0,0.343434,3,0.121687
0,0.343434,4,0.139321
0,0.353535,1,0.143004
0,0.353535,2,0.648555
0,0.353535,3,0.0736139
0,0.353535,4,0.134827
0,0.363636,1,0.14054
0,0.363636,2,0.616511
0,0.363636,3,0.105493
0,0.363636,4,0.137457
0,0.373737,1,0.140491
0,0.373737,2,0.636222
0,0.373737,3,0.0792326
0,0.373737,4,0.144055
0,0.383838,1,0.125893
0,0.383838,2,0.6853
0,0.383838,3,0.0619172
0,0.383838,4,0.126889
0,0.393939,1,0.13945
0,0.393939,2,0.632359
0,0.393939,3,0.0909237
0,0.393939,4,0.137267
0,0.40404,1,0.134711
0,0.40404,2,0.648093
0,0.40404,3,0.0907856
0,0.40404,4,0.12641
0,0.414141,1,0.133101
0,0.414141,2,0.663766
0,0.414141,3,0.0713224
0,0.414141,4,0.13181
0,0.424242,1,0.105027
0,0.424242,2,0.7242
0,0.424242,3,0.0668625
0,0.424242,4,0.103911
0,0.434343,1,0.112135
0,0.434343,2,0.720439
0,0.434343,3,0.0590267
0,0.434343,4,0.1084
0,0.444444,1,0.114427
0,0.444444,2,0.692605
0,0.444444,3,0.0695088
0,0.444444,4,0.12346
0,0.454545,1,0.126393
0,0.454545,2,0.666308
0,0.454545,3,0.0805706
0,0.454545,4,0.126728
0,0.464646,1,0.107276
0,0.464646,2,0.715985
0,0.464646,3,0.072017
0,0.464646,4,0.104722
0,0.474747,1,0.145613
0,0.474747,2,0.648433
0,0.474747,3,0.057661
0,0.474747,4,0.148293
0,0.484848,1,0.108475
0,0.484848,2,0.73839
0,0.484848,3,0.045262
0,0.484848,4,0.107873
0,0.494949,1,0.110087
0,0.494949,2,0.735922
0,0.494949,3,0.0464244
0,0.494949,4,0.107567
0,0.505051,1,0.115702
0,0.505051,2,0.718132
0,0.505051,3,0.0530972
0,0.505051,4,0.113069
0,0.515152,1,0.123689
0,0.515152,2,0.690033
0,0.515152,3,0.0672346
0,0.515152,4,0.119043
0,0.525253,1,0.0987869
0,0.525253,2,0.770136
0,0.525253,3,0.0306152
0,0.525253,4,0.100462
0,0.535354,1,0.109839
0,0.535354,2,0.731776
0,0.535354,3,0.0512416
0,0.535354,4,0.107143
0,0.545455,1,0.101911
0,0.545455,2,0.763729
0,0.545455,3,0.0351979
0,0.545455,4,0.0991625
0,0.555556,1,0.115838
0,0.555556,2,0.726948
0,0.555556,3,0.0435761
0,0.555556,4,0.113638
0,0.565657,1,0.112598
0,0.565657,2,0.744187
0,0.565657,3,0.02671
0,0.565657,4,0.116505
0,0.575758,1,0.10939
0,0.575758,2,0.725245
0,0.575758,3,0.0581074
0,0.575758,4,0.107258
0,0.585859,1,0.12012
0,0.585859,2,0.704473
0,0.585859,3,0.0551396
0,0.585859,4,0.120267
0,0.59596,1,0.0962076
0,0.59596,2,0.787522
0,0.59596,3,0.0321512
0,0.59596,4,0.0841189
0,0.606061,1,0.116718
0,0.606061,2,0.730183
0,0.606061,3,0.0376408
0,0.606061,4,0.115458
0,0.616162,1,0.130467
0,0.616162,2,0.709809
0,0.616162,3,0.0213695
0,0.616162,4,0.138355
0,0.626263,1,0.111397
0,0.626263,2,0.737855
0,0.626263,3,0.0353397
0,0.626263,4,0.115408
0,0.636364,1,0.120213
0,0.636364,2,0.727316
0,0.636364,3,0.0324766
0,0.636364,4,0.119994
0,0.646465,1,0.143076
