omega,tau,cs
0,0,0.304652
0,0.010101,0.301552
0,0.020202,0.300092
0,0.030303,0.299892
0,0.040404,0.302422
0,0.0505051,0.303471
0,0.0606061,0.309282
0,0.0707071,0.308767
0,0.0808081,0.308256
0,0.0909091,0.309444
0,0.10101,0.311214
0,0.111111,0.310628
0,0.121212,0.311653
0,0.131313,0.307389
0,0.141414,0.309438
0,0.151515,0.308059
0,0.161616,0.312481
0,0.171717,0.310276
0,0.181818,0.31043
0,0.191919,0.309407
0,0.20202,0.308713
0,0.212121,0.307521
0,0.222222,0.311535
0,0.232323,0.310957
0,0.242424,0.314082
0,0.252525,0.312232
0,0.262626,0.314038
0,0.272727,0.31265
0,0.282828,0.313911
0,0.292929,0.315063
0,0.30303,0.314863
0,0.313131,0.319819
0,0.323232,0.316922
0,0.333333,0.315415
0,0.343434,0.314058
0,0.353535,0.316545
0,0.363636,0.317505
0,0.373737,0.320589
0,0.383838,0.320268
0,0.393939,0.319467
0,0.40404,0.32204
0,0.414141,0.32129
0,0.424242,0.322753
0,0.434343,0.325549
0,0.444444,0.324445
0,0.454545,0.324643
0,0.464646,0.328106
0,0.474747,0.325098
0,0.484848,0.330955
0,0.494949,0.332694
0,0.505051,0.328482
0,0.515152,0.334071
0,0.525253,0.33636
0,0.535354,0.336934
0,0.545455,0.338706
0,0.555556,0.336398
0,0.565657,0.341395
0,0.575758,0.338575
0,0.585859,0.343028
0,0.59596,0.345143
0,0.606061,0.347133
0,0.616162,0.349813
0,0.626263,0.349352
0,0.636364,0.349667
0,0.646465,0.350967
0,0.656566,0.353623
0,0.666667,0.354267
0,0.676768,0.356661
0,0.686869,0.359503
0,0.69697,0.361132
0,0.707071,0.357574
0,0.717172,0.35912
0,0.727273,0.363497
0,0.737374,0.362465
0,0.747475,0.364364
0,0.757576,0.367363
0,0.767677,0.367446
0,0.777778,0.36774
0,0.787879,0.367521
0,0.79798,0.370691
0,0.808081,0.372566
0,0.818182,0.371172
0,0.828283,0.374094
0,0.838384,0.375057
0,0.848485,0.374898
0,0.858586,0.376852
0,0.868687,0.379038
0,0.878788,0.380607
0,0.888889,0.380744
0,0.89899,0.381022
0,0.909091,0.382845
0,0.919192,0.38368
0,0.929293,0.383756
0,0.939394,0.384748
0,0.949495,0.386596
0,0.959596,0.38552
0,0.969697,0.386242
0,0.979798,0.388614
0,0.989899,0.390246
0,1,0.38728
0.8,0,0.300706
0.8,0.010101,0.29722
0.8,0.020202,0.29541
0.8,0.030303,0.296202
0.8,0.040404,0.299606
0.8,0.0505051,0.298596
0.8,0.0606061,0.30262
0.8,0.0707071,0.304124
0.8,0.0808081,0.304281
0.8,0.0909091,0.304207
0.8,0.10101,0.304258
0.8,0.111111,0.300778
0.8,0.121212,0.299764
0.8,0.131313,0.301755
0.8,0.141414,0.304255
0.8,0.151515,0.30222
0.8,0.161616,0.301668
0.8,0.171717,0.300855
0.8,0.181818,0.300698
0.8,0.191919,0.302972
0.8,0.20202,0.30546
0.8,0.212121,0.303687
0.8,0.222222,0.30613
0.8,0.232323,0.303439
0.8,0.242424,0.305172
0.8,0.252525,0.306519
0.8,0.262626,0.306669
0.8,0.272727,0.305894
0.8,0.282828,0.309645
0.8,0.292929,0.31075
0.8,0.30303,0.312309
0.8,0.313131,0.307396
0.8,0.323232,0.313003
0.8,0.333333,0.309977
0.8,0.343434,0.309626
0.8,0.353535,0.308628
0.8,0.363636,0.313514
0.8,0.373737,0.318426
0.8,0.383838,0.316978
0.8,0.393939,0.318255
0.8,0.40404,0.314175
0.8,0.414141,0.317715
0.8,0.424242,0.318216
0.8,0.434343,0.321602
0.8,0.444444,0.320288
0.8,0.454545,0.323012
0.8,0.464646,0.32091
0.8,0.474747,0.325654
0.8,0.484848,0.326454
0.8,0.494949,0.329076
0.8,0.505051,0.327319
0.8,0.515152,0.331365
0.8,0.525253,0.328647
0.8,0.535354,0.334098
0.8,0.545455,0.332386
0.8,0.555556,0.332468
0.8,0.565657,0.332761
0.8,0.575758,0.336858
0.8,0.585859,0.335714
0.8,0.59596,0.338432
0.8,0.606061,0.339696
0.8,0.616162,0.340919
0.8,0.626263,0.34106
0.8,0.636364,0.340067
0.8,0.646465,0.343669
0.8,0.656566,0.344029
0.8,0.666667,0.345842
0.8,0.676768,0.347474
0.8,0.686869,0.34477
0.8,0.69697,0.348708
0.8,0.707071,0.34863
0.8,0.717172,0.350981
0.8,0.727273,0.351106
0.8,0.737374,0.351279
0.8,0.747475,0.35141
0.8,0.757576,0.352691
0.8,0.767677,0.356361
0.8,0.777778,0.355125
0.8,0.787879,0.354313
0.8,0.79798,0.357796
0.8,0.808081,0.355779
0.8,0.818182,0.35787
0.8,0.828283,0.357583
0.8,0.838384,0.359175
0.8,0.848485,0.357882
0.8,0.858586,0.361341
0.8,0.868687,0.36409
0.8,0.878788,0.360833
0.8,0.888889,0.36325
0.8,0.89899,0.363683
0.8,0.909091,0.367805
0.8,0.919192,0.365771
0.8,0.929293,0.364483
0.8,0.939394,0.365824
0.8,0.949495,0.366159
0.8,0.959596,0.365351
0.8,0.969697,0.36875
0.8,0.979798,0.371505
0.8,0.989899,0.369337
0.8,1,0.371773
1,0,0.305319
1,0.010101,0.30378
1,0.020202,0.302836
1,0.030303,0.301401
1,0.040404,0.298959
1,0.0505051,0.29806
1,0.0606061,0.295374
1,0.0707071,0.295102
1,0.0808081,0.293869
1,0.0909091,0.292823
1,0.10101,0.289239
1,0.111111,0.291821
1,0.121212,0.291296
1,0.131313,0.288525
1,0.141414,0.290927
1,0.151515,0.288345
1,0.161616,0.289244
1,0.171717,0.289553
1,0.181818,0.290985
1,0.191919,0.291938
1,0.20202,0.28809
1,0.212121,0.292154
1,0.222222,0.291297
1,0.232323,0.291323
1,0.242424,0.294336
1,0.252525,0.293757
1,0.262626,0.291099
1,0.272727,0.29106
1,0.282828,0.292805
1,0.292929,0.295781
1,0.30303,0.29277
1,0.313131,0.294971
1,0.323232,0.29026
1,0.333333,0.293266
1,0.343434,0.290727
1,0.353535,0.295195
1,0.363636,0.297229
1,0.373737,0.29683
1,0.383838,0.296306
1,0.393939,0.297575
1,0.40404,0.297469
1,0.414141,0.298744
1,0.424242,0.30012
1,0.434343,0.302729
1,0.444444,0.300442
1,0.454545,0.300158
1,0.464646,0.299691
1,0.474747,0.307264
1,0.484848,0.305004
1,0.494949,0.301134
1,0.505051,0.299759
1,0.515152,0.300009
1,0.525253,0.307721
1,0.535354,0.302657
1,0.545455,0.307354
1,0.555556,0.305962
1,0.565657,0.307963
1,0.575758,0.309236
1,0.585859,0.308657
1,0.59596,0.308304
1,0.606061,0.315154
1,0.616162,0.314347
1,0.626263,0.316452
1,0.636364,0.313043
1,0.646465,0.309777
1,0.656566,0.313864
1,0.666667,0.316668
1,0.676768,0.312096
1,0.686869,0.318866
1,0.69697,0.317282
1,0.707071,0.316755
1,0.717172,0.317384
1,0.727273,0.317646
1,0.737374,0.319898
1,0.747475,0.322769
1,0.757576,0.315436
1,0.767677,0.316754
1,0.777778,0.317451
1,0.787879,0.319625
1,0.79798,0.322525
1,0.808081,0.319393
1,0.818182,0.317757
1,0.828283,0.320823
1,0.838384,0.32038
1,0.848485,0.317703
1,0.858586,0.319551
1,0.868687,0.320196
1,0.878788,0.316584
1,0.888889,0.318842
1,0.89899,0.315531
1,0.909091,0.320143
1,0.919192,0.320201
1,0.929293,0.326539
1,0.939394,0.319334
1,0.949495,0.326047
1,0.959596,0.31409
1,0.969697,0.315386
1,0.979798,0.312647
1,0.989899,0.316175
1,1,0.313468
