omega,tau,t
0,0,902496
0,0.010101,931045
0,0.020202,918651
0,0.030303,947289
0,0.040404,957132
0,0.0505051,960262
0,0.0606061,977521
0,0.0707071,968126
0,0.0808081,991208
0,0.0909091,1.02169e+06
0,0.10101,983886
0,0.111111,1.01214e+06
0,0.121212,1.00742e+06
0,0.131313,1.01687e+06
0,0.141414,1.00017e+06
0,0.151515,1.03405e+06
0,0.161616,1.04503e+06
0,0.171717,1.02432e+06
0,0.181818,1.02319e+06
0,0.191919,1.02639e+06
0,0.20202,1.07118e+06
0,0.212121,1.04496e+06
0,0.222222,1.02377e+06
0,0.232323,1.07907e+06
0,0.242424,1.05526e+06
0,0.252525,1.04414e+06
0,0.262626,1.07083e+06
0,0.272727,1.04845e+06
0,0.282828,1.06393e+06
0,0.292929,1.05567e+06
0,0.30303,1.05577e+06
0,0.313131,1.09426e+06
0,0.323232,1.05276e+06
0,0.333333,1.05112e+06
0,0.343434,1.06228e+06
0,0.353535,1.08275e+06
0,0.363636,1.0661e+06
0,0.373737,1.0514e+06
0,0.383838,1.04943e+06
0,0.393939,1.05172e+06
0,0.40404,1.09932e+06
0,0.414141,1.06154e+06
0,0.424242,1.07435e+06
0,0.434343,1.0705e+06
0,0.444444,1.09619e+06
0,0.454545,1.09825e+06
0,0.464646,1.09188e+06
0,0.474747,1.10722e+06
0,0.484848,1.10404e+06
0,0.494949,1.13053e+06
0,0.505051,1.12403e+06
0,0.515152,1.12174e+06
0,0.525253,1.15808e+06
0,0.535354,1.16326e+06
0,0.545455,1.14474e+06
0,0.555556,1.14498e+06
0,0.565657,1.15258e+06
0,0.575758,1.1698e+06
0,0.585859,1.17355e+06
0,0.59596,1.20733e+06
0,0.606061,1.21267e+06
0,0.616162,1.21475e+06
0,0.626263,1.20101e+06
0,0.636364,1.22893e+06
0,0.646465,1.23513e+06
0,0.656566,1.22905e+06
0,0.666667,1.26071e+06
0,0.676768,1.25161e+06
0,0.686869,1.25104e+06
0,0.69697,1.242e+06
0,0.707071,1.25078e+06
0,0.717172,1.2601e+06
0,0.727273,1.26551e+06
0,0.737374,1.26735e+06
0,0.747475,1.26708e+06
0,0.757576,1.25001e+06
0,0.767677,1.26234e+06
0,0.777778,1.28105e+06
0,0.787879,1.28012e+06
0,0.79798,1.28408e+06
0,0.808081,1.29258e+06
0,0.818182,1.28432e+06
0,0.828283,1.28738e+06
0,0.838384,1.28999e+06
0,0.848485,1.29872e+06
0,0.858586,1.29769e+06
0,0.868687,1.29006e+06
0,0.878788,1.31438e+06
0,0.888889,1.29257e+06
0,0.89899,1.33071e+06
0,0.909091,1.31369e+06
0,0.919192,1.31529e+06
0,0.929293,1.32167e+06
0,0.939394,1.31242e+06
0,0.949495,1.34004e+06
0,0.959596,1.33026e+06
0,0.969697,1.34776e+06
0,0.979798,1.36654e+06
0,0.989899,1.33801e+06
0,1,1.35821e+06
0.8,0,999418
0.8,0.010101,924073
0.8,0.020202,955761
0.8,0.030303,978869
0.8,0.040404,1.02276e+06
0.8,0.0505051,1.0342e+06
0.8,0.0606061,1.04604e+06
0.8,0.0707071,1.04705e+06
0.8,0.0808081,1.11192e+06
0.8,0.0909091,1.09186e+06
0.8,0.10101,1.12496e+06
0.8,0.111111,1.13235e+06
0.8,0.121212,1.08718e+06
0.8,0.131313,1.13464e+06
0.8,0.141414,1.15742e+06
0.8,0.151515,1.16084e+06
0.8,0.161616,1.18286e+06
0.8,0.171717,1.16595e+06
0.8,0.181818,1.18721e+06
0.8,0.191919,1.2002e+06
0.8,0.20202,1.21308e+06
0.8,0.212121,1.23275e+06
0.8,0.222222,1.24631e+06
0.8,0.232323,1.20577e+06
0.8,0.242424,1.20358e+06
0.8,0.252525,1.17669e+06
0.8,0.262626,1.25025e+06
0.8,0.272727,1.19671e+06
0.8,0.282828,1.1551e+06
0.8,0.292929,1.20562e+06
0.8,0.30303,1.29356e+06
0.8,0.313131,1.17755e+06
0.8,0.323232,1.22401e+06
0.8,0.333333,1.13766e+06
0.8,0.343434,1.21777e+06
0.8,0.353535,1.20625e+06
0.8,0.363636,1.2091e+06
0.8,0.373737,1.17095e+06
0.8,0.383838,1.16756e+06
0.8,0.393939,1.18978e+06
0.8,0.40404,1.22884e+06
0.8,0.414141,1.18656e+06
0.8,0.424242,1.21147e+06
0.8,0.434343,1.1877e+06
0.8,0.444444,1.23078e+06
0.8,0.454545,1.2155e+06
0.8,0.464646,1.18672e+06
0.8,0.474747,1.2471e+06
0.8,0.484848,1.20932e+06
0.8,0.494949,1.18774e+06
0.8,0.505051,1.16409e+06
0.8,0.515152,1.23075e+06
0.8,0.525253,1.22646e+06
0.8,0.535354,1.23065e+06
0.8,0.545455,1.22254e+06
0.8,0.555556,1.22192e+06
0.8,0.565657,1.24809e+06
0.8,0.575758,1.2203e+06
0.8,0.585859,1.22299e+06
0.8,0.59596,1.23827e+06
0.8,0.606061,1.24342e+06
0.8,0.616162,1.22958e+06
0.8,0.626263,1.25617e+06
0.8,0.636364,1.26185e+06
0.8,0.646465,1.26771e+06
0.8,0.656566,1.26424e+06
0.8,0.666667,1.26074e+06
0.8,0.676768,1.27721e+06
0.8,0.686869,1.29473e+06
0.8,0.69697,1.28005e+06
0.8,0.707071,1.27664e+06
0.8,0.717172,1.31905e+06
0.8,0.727273,1.30796e+06
0.8,0.737374,1.28394e+06
0.8,0.747475,1.2841e+06
0.8,0.757576,1.29554e+06
0.8,0.767677,1.32381e+06
0.8,0.777778,1.34297e+06
0.8,0.787879,1.30198e+06
0.8,0.79798,1.30274e+06
0.8,0.808081,1.3288e+06
0.8,0.818182,1.32058e+06
0.8,0.828283,1.31378e+06
0.8,0.838384,1.28972e+06
0.8,0.848485,1.31106e+06
0.8,0.858586,1.29331e+06
0.8,0.868687,1.31144e+06
0.8,0.878788,1.31221e+06
0.8,0.888889,1.30876e+06
0.8,0.89899,1.37732e+06
0.8,0.909091,1.33456e+06
0.8,0.919192,1.33059e+06
0.8,0.929293,1.32545e+06
0.8,0.939394,1.35065e+06
0.8,0.949495,1.35615e+06
0.8,0.959596,1.33007e+06
0.8,0.969697,1.34305e+06
0.8,0.979798,1.35894e+06
0.8,0.989899,1.37571e+06
0.8,1,1.31633e+06
1,0,837250
1,0.010101,851224
