omega,tau,firm,demand
0,0,1,0.351462
0,0,2,0.351573
0,0.010101,1,0.34879
0,0.010101,2,0.350511
0,0.020202,1,0.347746
0,0.020202,2,0.349633
0,0.030303,1,0.347549
0,0.030303,2,0.349395
0,0.040404,1,0.348762
0,0.040404,2,0.351115
0,0.0505051,1,0.349896
0,0.0505051,2,0.351162
0,0.0606061,1,0.352673
0,0.0606061,2,0.355008
0,0.0707071,1,0.352916
0,0.0707071,2,0.354071
0,0.0808081,1,0.351934
0,0.0808081,2,0.354062
0,0.0909091,1,0.355617
0,0.0909091,2,0.351507
0,0.10101,1,0.351758
0,0.10101,2,0.357209
0,0.111111,1,0.354539
0,0.111111,2,0.353769
0,0.121212,1,0.352183
0,0.121212,2,0.356992
0,0.131313,1,0.351966
0,0.131313,2,0.352152
0,0.141414,1,0.350876
0,0.141414,2,0.355183
0,0.151515,1,0.353873
0,0.151515,2,0.350564
0,0.161616,1,0.351362
0,0.161616,2,0.357863
0,0.171717,1,0.351164
0,0.171717,2,0.355437
0,0.181818,1,0.355735
0,0.181818,2,0.350724
0,0.191919,1,0.352247
0,0.191919,2,0.352714
0,0.20202,1,0.357097
0,0.20202,2,0.347167
0,0.212121,1,0.352539
0,0.212121,2,0.350354
0,0.222222,1,0.357663
0,0.222222,2,0.349428
0,0.232323,1,0.354665
0,0.232323,2,0.351616
0,0.242424,1,0.354789
0,0.242424,2,0.354375
0,0.252525,1,0.355947
0,0.252525,2,0.351245
0,0.262626,1,0.352979
0,0.262626,2,0.356288
0,0.272727,1,0.355987
0,0.272727,2,0.351472
0,0.282828,1,0.355489
0,0.282828,2,0.353197
0,0.292929,1,0.354075
0,0.292929,2,0.356101
0,0.30303,1,0.353832
0,0.30303,2,0.35534
0,0.313131,1,0.358488
0,0.313131,2,0.356834
0,0.323232,1,0.348678
0,0.323232,2,0.362915
0,0.333333,1,0.352387
0,0.333333,2,0.357366
0,0.343434,1,0.350075
0,0.343434,2,0.3584
0,0.353535,1,0.352914
0,0.353535,2,0.357926
0,0.363636,1,0.360908
0,0.363636,2,0.35048
0,0.373737,1,0.357185
0,0.373737,2,0.35821
0,0.383838,1,0.359453
0,0.383838,2,0.355225
0,0.393939,1,0.35987
0,0.393939,2,0.353459
0,0.40404,1,0.35845
0,0.40404,2,0.35788
0,0.414141,1,0.362569
0,0.414141,2,0.352843
0,0.424242,1,0.357031
0,0.424242,2,0.359672
0,0.434343,1,0.36294
0,0.434343,2,0.356792
0,0.444444,1,0.36357
0,0.444444,2,0.354962
0,0.454545,1,0.354977
0,0.454545,2,0.362683
0,0.464646,1,0.356217
0,0.464646,2,0.365427
0,0.474747,1,0.358746
0,0.474747,2,0.359113
0,0.484848,1,0.361612
0,0.484848,2,0.363056
0,0.494949,1,0.365167
0,0.494949,2,0.361717
0,0.505051,1,0.364862
0,0.505051,2,0.357113
0,0.515152,1,0.368063
0,0.515152,2,0.359745
0,0.525253,1,0.363287
0,0.525253,2,0.366729
0,0.535354,1,0.363716
0,0.535354,2,0.365318
0,0.545455,1,0.366587
0,0.545455,2,0.366479
0,0.555556,1,0.363833
0,0.555556,2,0.36566
0,0.565657,1,0.364335
0,0.565657,2,0.370486
0,0.575758,1,0.360754
0,0.575758,2,0.371675
0,0.585859,1,0.366001
0,0.585859,2,0.371261
0,0.59596,1,0.37157
0,0.59596,2,0.367066
0,0.606061,1,0.368687
0,0.606061,2,0.371767
0,0.616162,1,0.371008
0,0.616162,2,0.37256
0,0.626263,1,0.370864
0,0.626263,2,0.372976
0,0.636364,1,0.369768
0,0.636364,2,0.373002
0,0.646465,1,0.374887
0,0.646465,2,0.369823
0,0.656566,1,0.376455
0,0.656566,2,0.369956
0,0.666667,1,0.368631
0,0.666667,2,0.379251
0,0.676768,1,0.373939
0,0.676768,2,0.375438
0,0.686869,1,0.373796
0,0.686869,2,0.378984
0,0.69697,1,0.382007
0,0.69697,2,0.372933
0,0.707071,1,0.378509
0,0.707071,2,0.371884
0,0.717172,1,0.37847
0,0.717172,2,0.37416
0,0.727273,1,0.376144
0,0.727273,2,0.379051
0,0.737374,1,0.379168
0,0.737374,2,0.375322
0,0.747475,1,0.380177
0,0.747475,2,0.37758
0,0.757576,1,0.385876
0,0.757576,2,0.374219
0,0.767677,1,0.383383
0,0.767677,2,0.376436
0,0.777778,1,0.380148
0,0.777778,2,0.379918
0,0.787879,1,0.382687
0,0.787879,2,0.377074
0,0.79798,1,0.380937
0,0.79798,2,0.383779
0,0.808081,1,0.385583
0,0.808081,2,0.380726
0,0.818182,1,0.379571
0,0.818182,2,0.383597
0,0.828283,1,0.386276
0,0.828283,2,0.380022
0,0.838384,1,0.386054
0,0.838384,2,0.380916
0,0.848485,1,0.383231
0,0.848485,2,0.384761
0,0.858586,1,0.384343
0,0.858586,2,0.384786
0,0.868687,1,0.386342
0,0.868687,2,0.385223
0,0.878788,1,0.386258
0,0.878788,2,0.385655
0,0.888889,1,0.389208
0,0.888889,2,0.383872
0,0.89899,1,0.386896
0,0.89899,2,0.386817
0,0.909091,1,0.388654
0,0.909091,2,0.386565
0,0.919192,1,0.38613
0,0.919192,2,0.388625
0,0.929293,1,0.387918
0,0.929293,2,0.387165
0,0.939394,1,0.390278
0,0.939394,2,0.387412
0,0.949495,1,0.389813
0,0.949495,2,0.389153
0,0.959596,1,0.383577
0,0.959596,2,0.393963
0,0.969697,1,0.392589
0,0.969697,2,0.385444
0,0.979798,1,0.386772
0,0.979798,2,0.39244
0,0.989899,1,0.388679
0,0.989899,2,0.394141
0,1,1,0.390017
0,1,2,0.389399
0.8,0,1,0.348823
0.8,0,2,0.349438
0.8,0.010101,1,0.345604
0.8,0.010101,2,0.348395
0.8,0.020202,1,0.346365
0.8,0.020202,2,0.345225
0.8,0.030303,1,0.346445
0.8,0.030303,2,0.346073
0.8,0.040404,1,0.348727
0.8,0.040404,2,0.347746
0.8,0.0505051,1,0.347013
0.8,0.0505051,2,0.348161
0.8,0.0606061,1,0.349801
0.8,0.0606061,2,0.350083
0.8,0.0707071,1,0.350256
0.8,0.0707071,2,0.350939
0.8,0.0808081,1,0.352198
0.8,0.0808081,2,0.349078
0.8,0.0909091,1,0.35053
0.8,0.0909091,2,0.35032
0.8,0.10101,1,0.350518
0.8,0.10101,2,0.350389
0.8,0.111111,1,0.349027
0.8,0.111111,2,0.347164
0.8,0.121212,1,0.348789
0.8,0.121212,2,0.345949
0.8,0.131313,1,0.342985
0.8,0.131313,2,0.354307
0.8,0.141414,1,0.346478
0.8,0.141414,2,0.353438
