omega,tau,firm,price
0,0,1,1.6632
0,0,2,1.66312
0,0.010101,1,1.6691
0,0.010101,2,1.66752
0,0.020202,1,1.67184
0,0.020202,2,1.67075
0,0.030303,1,1.67323
0,0.030303,2,1.67113
0,0.040404,1,1.6707
0,0.040404,2,1.66852
0,0.0505051,1,1.66914
0,0.0505051,2,1.66893
0,0.0606061,1,1.66267
0,0.0606061,2,1.66119
0,0.0707071,1,1.66357
0,0.0707071,2,1.66432
0,0.0808081,1,1.66642
0,0.0808081,2,1.6653
0,0.0909091,1,1.66356
0,0.0909091,2,1.66733
0,0.10101,1,1.66516
0,0.10101,2,1.66197
0,0.111111,1,1.66618
0,0.111111,2,1.66467
0,0.121212,1,1.66767
0,0.121212,2,1.6631
0,0.131313,1,1.67187
0,0.131313,2,1.67258
0,0.141414,1,1.67338
0,0.141414,2,1.66886
0,0.151515,1,1.67148
0,0.151515,2,1.67534
0,0.161616,1,1.67158
0,0.161616,2,1.66816
0,0.171717,1,1.67685
0,0.171717,2,1.67137
0,0.181818,1,1.67381
0,0.181818,2,1.67533
0,0.191919,1,1.67643
0,0.191919,2,1.67823
0,0.20202,1,1.67559
0,0.20202,2,1.68137
0,0.212121,1,1.682
0,0.212121,2,1.68319
0,0.222222,1,1.67171
0,0.222222,2,1.68262
0,0.232323,1,1.67949
0,0.232323,2,1.67924
0,0.242424,1,1.67757
0,0.242424,2,1.67676
0,0.252525,1,1.67714
0,0.252525,2,1.68255
0,0.262626,1,1.6801
0,0.262626,2,1.67823
0,0.272727,1,1.68024
0,0.272727,2,1.68233
0,0.282828,1,1.68017
0,0.282828,2,1.68292
0,0.292929,1,1.68188
0,0.292929,2,1.68114
0,0.30303,1,1.68544
0,0.30303,2,1.68188
0,0.313131,1,1.6779
0,0.313131,2,1.67771
0,0.323232,1,1.6931
0,0.323232,2,1.67439
0,0.333333,1,1.68779
0,0.333333,2,1.68515
0,0.343434,1,1.69224
0,0.343434,2,1.68323
0,0.353535,1,1.69208
0,0.353535,2,1.68384
0,0.363636,1,1.68392
0,0.363636,2,1.69338
0,0.373737,1,1.68321
0,0.373737,2,1.68319
0,0.383838,1,1.68366
0,0.383838,2,1.68962
0,0.393939,1,1.68525
0,0.393939,2,1.69131
0,0.40404,1,1.6864
0,0.40404,2,1.68431
0,0.414141,1,1.68251
0,0.414141,2,1.69437
0,0.424242,1,1.69002
0,0.424242,2,1.68771
0,0.434343,1,1.6843
0,0.434343,2,1.68892
0,0.444444,1,1.6814
0,0.444444,2,1.69384
0,0.454545,1,1.69363
0,0.454545,2,1.68526
0,0.464646,1,1.69221
0,0.464646,2,1.68096
