omega,tau,firm,profit
0,0,1,0.115089
0,0,2,0.115111
0,0.010101,1,0.115895
0,0.010101,2,0.116014
0,0.020202,1,0.11626
0,0.020202,2,0.116598
0,0.030303,1,0.11671
0,0.030303,2,0.116728
0,0.040404,1,0.116213
0,0.040404,2,0.11649
0,0.0505051,1,0.115942
0,0.0505051,2,0.116537
0,0.0606061,1,0.115209
0,0.0606061,2,0.115479
0,0.0707071,1,0.115199
0,0.0707071,2,0.115877
0,0.0808081,1,0.115496
0,0.0808081,2,0.115546
0,0.0909091,1,0.115847
0,0.0909091,2,0.115302
0,0.10101,1,0.115094
0,0.10101,2,0.115687
0,0.111111,1,0.116303
0,0.111111,2,0.115203
0,0.121212,1,0.115527
0,0.121212,2,0.116027
0,0.131313,1,0.116643
0,0.131313,2,0.116866
0,0.141414,1,0.116363
0,0.141414,2,0.11693
0,0.151515,1,0.116985
0,0.151515,2,0.117268
0,0.161616,1,0.116285
0,0.161616,2,0.116722
0,0.171717,1,0.117689
0,0.171717,2,0.117659
0,0.181818,1,0.118285
0,0.181818,2,0.116879
0,0.191919,1,0.118085
0,0.191919,2,0.118317
0,0.20202,1,0.119063
0,0.20202,2,0.117663
0,0.212121,1,0.119492
0,0.212121,2,0.118699
0,0.222222,1,0.117714
0,0.222222,2,0.118408
0,0.232323,1,0.1192
0,0.232323,2,0.118016
0,0.242424,1,0.117895
0,0.242424,2,0.11843
0,0.252525,1,0.118674
0,0.252525,2,0.118433
0,0.262626,1,0.118525
0,0.262626,2,0.119154
0,0.272727,1,0.119354
0,0.272727,2,0.119094
0,0.282828,1,0.119205
0,0.282828,2,0.119433
0,0.292929,1,0.119779
0,0.292929,2,0.11947
0,0.30303,1,0.119646
0,0.30303,2,0.119886
0,0.313131,1,0.119667
0,0.313131,2,0.119098
0,0.323232,1,0.119809
0,0.323232,2,0.120099
0,0.333333,1,0.120452
0,0.333333,2,0.121358
0,0.343434,1,0.120691
0,0.343434,2,0.121496
0,0.353535,1,0.121132
0,0.353535,2,0.121149
0,0.363636,1,0.120846
0,0.363636,2,0.120303
0,0.373737,1,0.120539
0,0.373737,2,0.120962
0,0.383838,1,0.122041
0,0.383838,2,0.120977
0,0.393939,1,0.121547
0,0.393939,2,0.120902
0,0.40404,1,0.12149
0,0.40404,2,0.12092
0,0.414141,1,0.122394
0,0.414141,2,0.121089
0,0.424242,1,0.122342
0,0.424242,2,0.122134
0,0.434343,1,0.122014
0,0.434343,2,0.121718
0,0.444444,1,0.121497
0,0.444444,2,0.12264
0,0.454545,1,0.121948
0,0.454545,2,0.121573
0,0.464646,1,0.121934
0,0.464646,2,0.121727
0,0.474747,1,0.122606
0,0.474747,2,0.12152
0,0.484848,1,0.122567
0,0.484848,2,0.121689
0,0.494949,1,0.122378
0,0.494949,2,0.122252
0,0.505051,1,0.123052
0,0.505051,2,0.123068
0,0.515152,1,0.122148
0,0.515152,2,0.121551
0,0.525253,1,0.122017
0,0.525253,2,0.122893
0,0.535354,1,0.121718
0,0.535354,2,0.121385
0,0.545455,1,0.123024
0,0.545455,2,0.122613
0,0.555556,1,0.122765
0,0.555556,2,0.122882
0,0.565657,1,0.122068
0,0.565657,2,0.122734
0,0.575758,1,0.123605
0,0.575758,2,0.122803
0,0.585859,1,0.12244
0,0.585859,2,0.122558
0,0.59596,1,0.123461
0,0.59596,2,0.122223
0,0.606061,1,0.121853
0,0.606061,2,0.122663
0,0.616162,1,0.121015
0,0.616162,2,0.123066
0,0.626263,1,0.122116
0,0.626263,2,0.123414
0,0.636364,1,0.12279
0,0.636364,2,0.122419
0,0.646465,1,0.123084
0,0.646465,2,0.121355
0,0.656566,1,0.122453
0,0.656566,2,0.122378
0,0.666667,1,0.122366
0,0.666667,2,0.122113
0,0.676768,1,0.122623
0,0.676768,2,0.121888
0,0.686869,1,0.121577
0,0.686869,2,0.121939
0,0.69697,1,0.121802
0,0.69697,2,0.122979
0,0.707071,1,0.122513
0,0.707071,2,0.122327
0,0.717172,1,0.122316
0,0.717172,2,0.123353
0,0.727273,1,0.120522
0,0.727273,2,0.12292
0,0.737374,1,0.123022
0,0.737374,2,0.121435
0,0.747475,1,0.122663
0,0.747475,2,0.122754
0,0.757576,1,0.122035
0,0.757576,2,0.123588
0,0.767677,1,0.122323
0,0.767677,2,0.124037
0,0.777778,1,0.122879
0,0.777778,2,0.123437
0,0.787879,1,0.123151
0,0.787879,2,0.122875
0,0.79798,1,0.123667
0,0.79798,2,0.123544
0,0.808081,1,0.123128
0,0.808081,2,0.122626
0,0.818182,1,0.123341
0,0.818182,2,0.122265
0,0.828283,1,0.123065
0,0.828283,2,0.123975
0,0.838384,1,0.123406
0,0.838384,2,0.123997
0,0.848485,1,0.124251
0,0.848485,2,0.12489
0,0.858586,1,0.123971
0,0.858586,2,0.123974
0,0.868687,1,0.124457
0,0.868687,2,0.12428
0,0.878788,1,0.123161
0,0.878788,2,0.123403
0,0.888889,1,0.124487
0,0.888889,2,0.123923
0,0.89899,1,0.124075
0,0.89899,2,0.123433
0,0.909091,1,0.124236
0,0.909091,2,0.124823
0,0.919192,1,0.124297
0,0.919192,2,0.124755
0,0.929293,1,0.123542
0,0.929293,2,0.124523
0,0.939394,1,0.124448
0,0.939394,2,0.124958
0,0.949495,1,0.124564
0,0.949495,2,0.125665
0,0.959596,1,0.125954
0,0.959596,2,0.124402
0,0.969697,1,0.124891
0,0.969697,2,0.124404
0,0.979798,1,0.124989
0,0.979798,2,0.123198
0,0.989899,1,0.124515
0,0.989899,2,0.125927
0,1,1,0.125189
0,1,2,0.124606
0.8,0,1,0.115905
0.8,0,2,0.115825
0.8,0.010101,1,0.116656
0.8,0.010101,2,0.116956
0.8,0.020202,1,0.117434
0.8,0.020202,2,0.117189
0.8,0.030303,1,0.11735
0.8,0.030303,2,0.117406
