omega,gamma,theta_1,action,Count
0,0,0.9,1,0.217867
0,0,0.9,2,0.236019
0,0,0.9,3,0.234877
0,0,0.9,4,0.311237
0,0,1,1,0.280358
0,0,1,2,0.302405
0,0,1,3,0.183928
0,0,1,4,0.233309
0,0,1.1,1,0.232454
0,0,1.1,2,0.26586
0,0,1.1,3,0.232094
0,0,1.1,4,0.269591
0,0.010101,0.9,1,0.258091
0,0.010101,0.9,2,0.275927
0,0.010101,0.9,3,0.197138
0,0.010101,0.9,4,0.268843
0,0.010101,1,1,0.229561
0,0.010101,1,2,0.259809
0,0.010101,1,3,0.23903
0,0.010101,1,4,0.2716
0,0.010101,1.1,1,0.231986
0,0.010101,1.1,2,0.262782
0,0.010101,1.1,3,0.217827
0,0.010101,1.1,4,0.287405
0,0.020202,0.9,1,0.239623
0,0.020202,0.9,2,0.267002
0,0.020202,0.9,3,0.227031
0,0.020202,0.9,4,0.266344
0,0.020202,1,1,0.230622
0,0.020202,1,2,0.264134
0,0.020202,1,3,0.221894
0,0.020202,1,4,0.283349
0,0.020202,1.1,1,0.224814
0,0.020202,1.1,2,0.268925
0,0.020202,1.1,3,0.228556
0,0.020202,1.1,4,0.277705
0,0.030303,0.9,1,0.280647
0,0.030303,0.9,2,0.29501
0,0.030303,0.9,3,0.182076
0,0.030303,0.9,4,0.242267
0,0.030303,1,1,0.266834
0,0.030303,1,2,0.305602
0,0.030303,1,3,0.192908
0,0.030303,1,4,0.234657
0,0.030303,1.1,1,0.259462
0,0.030303,1.1,2,0.316591
0,0.030303,1.1,3,0.19526
0,0.030303,1.1,4,0.228687
0,0.040404,0.9,1,0.258015
0,0.040404,0.9,2,0.263714
0,0.040404,0.9,3,0.196191
0,0.040404,0.9,4,0.28208
0,0.040404,1,1,0.257016
0,0.040404,1,2,0.313691
0,0.040404,1,3,0.196736
0,0.040404,1,4,0.232556
0,0.040404,1.1,1,0.257204
0,0.040404,1.1,2,0.269735
0,0.040404,1.1,3,0.195143
0,0.040404,1.1,4,0.277918
0,0.0505051,0.9,1,0.255679
0,0.0505051,0.9,2,0.260796
0,0.0505051,0.9,3,0.205806
0,0.0505051,0.9,4,0.277719
0,0.0505051,1,1,0.260464
0,0.0505051,1,2,0.283033
0,0.0505051,1,3,0.2038
0,0.0505051,1,4,0.252703
0,0.0505051,1.1,1,0.234452
0,0.0505051,1.1,2,0.309347
0,0.0505051,1.1,3,0.210541
0,0.0505051,1.1,4,0.24566
0,0.0606061,0.9,1,0.271146
0,0.0606061,0.9,2,0.314569
0,0.0606061,0.9,3,0.169404
0,0.0606061,0.9,4,0.244881
0,0.0606061,1,1,0.270291
0,0.0606061,1,2,0.287166
