omega,gamma,theta_1,cs
0,0,0.9,0.397434
0,0,1,0.396863
0,0,1.1,0.396967
0,0.010101,0.9,0.396258
0,0.010101,1,0.397114
0,0.010101,1.1,0.397062
0,0.020202,0.9,0.39385
0,0.020202,1,0.394982
0,0.020202,1.1,0.393082
0,0.030303,0.9,0.397096
0,0.030303,1,0.392102
0,0.030303,1.1,0.391764
0,0.040404,0.9,0.393045
0,0.040404,1,0.392296
0,0.040404,1.1,0.393387
0,0.0505051,0.9,0.392653
0,0.0505051,1,0.390409
0,0.0505051,1.1,0.387886
0,0.0606061,0.9,0.39049
0,0.0606061,1,0.389912
0,0.0606061,1.1,0.38632
0,0.0707071,0.9,0.390165
0,0.0707071,1,0.389781
0,0.0707071,1.1,0.384238
0,0.0808081,0.9,0.387705
0,0.0808081,1,0.387459
0,0.0808081,1.1,0.385124
0,0.0909091,0.9,0.390882
0,0.0909091,1,0.386129
0,0.0909091,1.1,0.382356
0,0.10101,0.9,0.389871
0,0.10101,1,0.384494
0,0.10101,1.1,0.379498
0,0.111111,0.9,0.388686
0,0.111111,1,0.382546
0,0.111111,1.1,0.380509
0,0.121212,0.9,0.389612
0,0.121212,1,0.383748
0,0.121212,1.1,0.375526
0,0.131313,0.9,0.385471
0,0.131313,1,0.379353
0,0.131313,1.1,0.375972
0,0.141414,0.9,0.38677
0,0.141414,1,0.379507
0,0.141414,1.1,0.373513
0,0.151515,0.9,0.385379
0,0.151515,1,0.376602
0,0.151515,1.1,0.373996
0,0.161616,0.9,0.385975
0,0.161616,1,0.37772
0,0.161616,1.1,0.372366
0,0.171717,0.9,0.385544
0,0.171717,1,0.374743
0,0.171717,1.1,0.367685
0,0.181818,0.9,0.3883
0,0.181818,1,0.373466
0,0.181818,1.1,0.366057
0,0.191919,0.9,0.386024
0,0.191919,1,0.373563
0,0.191919,1.1,0.364759
0,0.20202,0.9,0.385795
0,0.20202,1,0.375277
0,0.20202,1.1,0.364457
0,0.212121,0.9,0.384883
0,0.212121,1,0.370632
0,0.212121,1.1,0.362014
0,0.222222,0.9,0.385958
0,0.222222,1,0.370419
0,0.222222,1.1,0.36092
0,0.232323,0.9,0.384966
0,0.232323,1,0.370192
0,0.232323,1.1,0.35915
0,0.242424,0.9,0.385588
0,0.242424,1,0.368721
0,0.242424,1.1,0.357502
0,0.252525,0.9,0.385905
0,0.252525,1,0.36706
0,0.252525,1.1,0.355016
0,0.262626,0.9,0.385362
0,0.262626,1,0.367625
0,0.262626,1.1,0.356162
0,0.272727,0.9,0.387046
0,0.272727,1,0.36242
0,0.272727,1.1,0.355202
0,0.282828,0.9,0.386995
0,0.282828,1,0.364976
0,0.282828,1.1,0.353148
0,0.292929,0.9,0.387409
0,0.292929,1,0.36379
0,0.292929,1.1,0.350409
0,0.30303,0.9,0.386871
0,0.30303,1,0.364372
0,0.30303,1.1,0.347327
0,0.313131,0.9,0.388625
0,0.313131,1,0.363667
0,0.313131,1.1,0.347836
0,0.323232,0.9,0.388702
0,0.323232,1,0.362462
0,0.323232,1.1,0.347531
0,0.333333,0.9,0.391051
0,0.333333,1,0.363496
0,0.333333,1.1,0.343856
0,0.343434,0.9,0.391057
0,0.343434,1,0.362348
0,0.343434,1.1,0.344576
0,0.353535,0.9,0.392187
0,0.353535,1,0.361122
0,0.353535,1.1,0.342111
0,0.363636,0.9,0.395886
0,0.363636,1,0.360116
0,0.363636,1.1,0.340137
0,0.373737,0.9,0.395548
0,0.373737,1,0.361077
0,0.373737,1.1,0.33884
0,0.383838,0.9,0.396128
0,0.383838,1,0.359485
0,0.383838,1.1,0.340175
0,0.393939,0.9,0.397273
0,0.393939,1,0.360996
0,0.393939,1.1,0.338566
0,0.40404,0.9,0.398392
0,0.40404,1,0.361604
0,0.40404,1.1,0.336188
0,0.414141,0.9,0.400185
0,0.414141,1,0.362938
0,0.414141,1.1,0.335834
0,0.424242,0.9,0.401362
0,0.424242,1,0.365073
0,0.424242,1.1,0.333095
0,0.434343,0.9,0.402427
0,0.434343,1,0.36199
0,0.434343,1.1,0.331771
0,0.444444,0.9,0.404865
0,0.444444,1,0.363834
0,0.444444,1.1,0.332301
0,0.454545,0.9,0.403671
0,0.454545,1,0.3623
0,0.454545,1.1,0.329664
0,0.464646,0.9,0.406887
0,0.464646,1,0.366164
0,0.464646,1.1,0.330177
0,0.474747,0.9,0.40633
0,0.474747,1,0.365937
0,0.474747,1.1,0.330825
0,0.484848,0.9,0.407464
0,0.484848,1,0.36528
0,0.484848,1.1,0.332499
0,0.494949,0.9,0.41109
0,0.494949,1,0.365012
0,0.494949,1.1,0.327472
0,0.505051,0.9,0.413259
0,0.505051,1,0.36599
0,0.505051,1.1,0.330423
0,0.515152,0.9,0.408451
0,0.515152,1,0.3632
0,0.515152,1.1,0.327449
0,0.525253,0.9,0.410101
0,0.525253,1,0.365671
0,0.525253,1.1,0.326928
0,0.535354,0.9,0.41363
0,0.535354,1,0.364069
0,0.535354,1.1,0.327413
0,0.545455,0.9,0.412318
0,0.545455,1,0.362089
0,0.545455,1.1,0.324732
0,0.555556,0.9,0.413549
0,0.555556,1,0.363352
0,0.555556,1.1,0.326098
0,0.565657,0.9,0.414411
0,0.565657,1,0.363626
0,0.565657,1.1,0.324807
0,0.575758,0.9,0.413548
0,0.575758,1,0.363419
0,0.575758,1.1,0.326092
0,0.585859,0.9,0.418859
0,0.585859,1,0.362637
0,0.585859,1.1,0.324328
0,0.59596,0.9,0.419471
0,0.59596,1,0.360737
0,0.59596,1.1,0.324307
0,0.606061,0.9,0.419333
0,0.606061,1,0.361333
0,0.606061,1.1,0.322978
0,0.616162,0.9,0.42051
0,0.616162,1,0.360489
0,0.616162,1.1,0.319483
0,0.626263,0.9,0.42444
0,0.626263,1,0.360687
0,0.626263,1.1,0.320049
0,0.636364,0.9,0.422699
0,0.636364,1,0.360877
0,0.636364,1.1,0.319788
0,0.646465,0.9,0.427388
0,0.646465,1,0.36164
0,0.646465,1.1,0.317331
0,0.656566,0.9,0.428524
0,0.656566,1,0.361267
0,0.656566,1.1,0.316922
0,0.666667,0.9,0.431346
0,0.666667,1,0.362875
0,0.666667,1.1,0.313569
0,0.676768,0.9,0.432258
0,0.676768,1,0.362171
0,0.676768,1.1,0.312704
0,0.686869,0.9,0.434722
0,0.686869,1,0.36419
0,0.686869,1.1,0.313124
0,0.69697,0.9,0.435214
0,0.69697,1,0.364201
0,0.69697,1.1,0.314149
0,0.707071,0.9,0.43787
0,0.707071,1,0.364437
0,0.707071,1.1,0.310794
0,0.717172,0.9,0.441749
0,0.717172,1,0.365883
0,0.717172,1.1,0.310876
0,0.727273,0.9,0.442749
0,0.727273,1,0.367004
0,0.727273,1.1,0.310573
0,0.737374,0.9,0.444502
0,0.737374,1,0.367478
0,0.737374,1.1,0.309901
0,0.747475,0.9,0.447663
0,0.747475,1,0.369429
0,0.747475,1.1,0.311548
0,0.757576,0.9,0.44986
0,0.757576,1,0.368513
0,0.757576,1.1,0.309258
0,0.767677,0.9,0.450109
0,0.767677,1,0.369221
0,0.767677,1.1,0.310687
0,0.777778,0.9,0.453033
0,0.777778,1,0.371332
0,0.777778,1.1,0.31056
0,0.787879,0.9,0.455007
0,0.787879,1,0.371954
0,0.787879,1.1,0.308927
0,0.79798,0.9,0.458574
0,0.79798,1,0.372073
0,0.79798,1.1,0.310009
0,0.808081,0.9,0.459278
0,0.808081,1,0.373692
0,0.808081,1.1,0.309973
0,0.818182,0.9,0.461905
0,0.818182,1,0.37317
0,0.818182,1.1,0.309681
0,0.828283,0.9,0.465971
0,0.828283,1,0.374125
0,0.828283,1.1,0.312808
0,0.838384,0.9,0.465925
0,0.838384,1,0.377037
0,0.838384,1.1,0.310703
0,0.848485,0.9,0.468003
0,0.848485,1,0.378466
0,0.848485,1.1,0.310337
0,0.858586,0.9,0.470081
0,0.858586,1,0.377831
0,0.858586,1.1,0.31151
0,0.868687,0.9,0.473053
0,0.868687,1,0.379838
0,0.868687,1.1,0.312703
0,0.878788,0.9,0.477398
0,0.878788,1,0.3829
0,0.878788,1.1,0.31366
0,0.888889,0.9,0.478217
0,0.888889,1,0.383356
0,0.888889,1.1,0.312192
0,0.89899,0.9,0.479456
0,0.89899,1,0.382512
0,0.89899,1.1,0.313342
0,0.909091,0.9,0.482116
0,0.909091,1,0.386209
0,0.909091,1.1,0.313255
0,0.919192,0.9,0.483784
0,0.919192,1,0.387132
0,0.919192,1.1,0.313338
0,0.929293,0.9,0.488894
0,0.929293,1,0.387874
0,0.929293,1.1,0.31661
0,0.939394,0.9,0.488048
0,0.939394,1,0.388845
0,0.939394,1.1,0.314643
0,0.949495,0.9,0.491745
0,0.949495,1,0.390289
0,0.949495,1.1,0.315815
0,0.959596,0.9,0.497295
0,0.959596,1,0.394561
0,0.959596,1.1,0.316653
0,0.969697,0.9,0.499739
0,0.969697,1,0.392166
0,0.969697,1.1,0.317128
0,0.979798,0.9,0.500778
0,0.979798,1,0.394783
0,0.979798,1.1,0.316514
0,0.989899,0.9,0.500196
0,0.989899,1,0.397824
0,0.989899,1.1,0.319953
0,1,0.9,0.505744
0,1,1,0.398358
0,1,1.1,0.320009
0.8,0,0.9,0.391349
0.8,0,1,0.391654
0.8,0,1.1,0.391287
0.8,0.010101,0.9,0.391368
0.8,0.010101,1,0.388169
0.8,0.010101,1.1,0.388943
0.8,0.020202,0.9,0.388936
0.8,0.020202,1,0.385967
0.8,0.020202,1.1,0.386876
0.8,0.030303,0.9,0.389057
0.8,0.030303,1,0.384116
0.8,0.030303,1.1,0.384226
0.8,0.040404,0.9,0.386558
0.8,0.040404,1,0.384425
0.8,0.040404,1.1,0.382919
0.8,0.0505051,0.9,0.388243
0.8,0.0505051,1,0.384719
0.8,0.0505051,1.1,0.380854
0.8,0.0606061,0.9,0.387732
0.8,0.0606061,1,0.382942
0.8,0.0606061,1.1,0.378943
0.8,0.0707071,0.9,0.387123
0.8,0.0707071,1,0.380409
0.8,0.0707071,1.1,0.376526
0.8,0.0808081,0.9,0.386706
0.8,0.0808081,1,0.379662
0.8,0.0808081,1.1,0.377194
0.8,0.0909091,0.9,0.383027
0.8,0.0909091,1,0.378328
0.8,0.0909091,1.1,0.373898
0.8,0.10101,0.9,0.386124
0.8,0.10101,1,0.378824
0.8,0.10101,1.1,0.370981
0.8,0.111111,0.9,0.384883
0.8,0.111111,1,0.376161
0.8,0.111111,1.1,0.369859
0.8,0.121212,0.9,0.384697
0.8,0.121212,1,0.374787
0.8,0.121212,1.1,0.366706
0.8,0.131313,0.9,0.385268
0.8,0.131313,1,0.373613
0.8,0.131313,1.1,0.364033
0.8,0.141414,0.9,0.383349
0.8,0.141414,1,0.372449
0.8,0.141414,1.1,0.36536
0.8,0.151515,0.9,0.383662
0.8,0.151515,1,0.370398
0.8,0.151515,1.1,0.361268
0.8,0.161616,0.9,0.384262
0.8,0.161616,1,0.370901
0.8,0.161616,1.1,0.36095
0.8,0.171717,0.9,0.384371
0.8,0.171717,1,0.368515
0.8,0.171717,1.1,0.355199
0.8,0.181818,0.9,0.384165
0.8,0.181818,1,0.367575
0.8,0.181818,1.1,0.357115
0.8,0.191919,0.9,0.38434
0.8,0.191919,1,0.367371
0.8,0.191919,1.1,0.355966
0.8,0.20202,0.9,0.381163
0.8,0.20202,1,0.365157
0.8,0.20202,1.1,0.354121
0.8,0.212121,0.9,0.381341
0.8,0.212121,1,0.364509
0.8,0.212121,1.1,0.350362
0.8,0.222222,0.9,0.381559
0.8,0.222222,1,0.365042
0.8,0.222222,1.1,0.349482
0.8,0.232323,0.9,0.38057
0.8,0.232323,1,0.362993
0.8,0.232323,1.1,0.349332
0.8,0.242424,0.9,0.382866
0.8,0.242424,1,0.360505
0.8,0.242424,1.1,0.346102
0.8,0.252525,0.9,0.382349
0.8,0.252525,1,0.359207
0.8,0.252525,1.1,0.347643
0.8,0.262626,0.9,0.380883
0.8,0.262626,1,0.359237
0.8,0.262626,1.1,0.342969
0.8,0.272727,0.9,0.381463
0.8,0.272727,1,0.358805
0.8,0.272727,1.1,0.341095
0.8,0.282828,0.9,0.382411
0.8,0.282828,1,0.358312
0.8,0.282828,1.1,0.339946
0.8,0.292929,0.9,0.380301
0.8,0.292929,1,0.357104
0.8,0.292929,1.1,0.338177
0.8,0.30303,0.9,0.378906
0.8,0.30303,1,0.358454
0.8,0.30303,1.1,0.338058
0.8,0.313131,0.9,0.380168
0.8,0.313131,1,0.355342
0.8,0.313131,1.1,0.336968
0.8,0.323232,0.9,0.379595
0.8,0.323232,1,0.353151
0.8,0.323232,1.1,0.335911
0.8,0.333333,0.9,0.380842
0.8,0.333333,1,0.355917
0.8,0.333333,1.1,0.334508
0.8,0.343434,0.9,0.382379
0.8,0.343434,1,0.354348
0.8,0.343434,1.1,0.331896
0.8,0.353535,0.9,0.382919
0.8,0.353535,1,0.352581
0.8,0.353535,1.1,0.331242
0.8,0.363636,0.9,0.385529
0.8,0.363636,1,0.350654
0.8,0.363636,1.1,0.330657
0.8,0.373737,0.9,0.386338
0.8,0.373737,1,0.350363
0.8,0.373737,1.1,0.327753
0.8,0.383838,0.9,0.383082
0.8,0.383838,1,0.350219
0.8,0.383838,1.1,0.328349
0.8,0.393939,0.9,0.385466
0.8,0.393939,1,0.34896
0.8,0.393939,1.1,0.325193
0.8,0.40404,0.9,0.387225
0.8,0.40404,1,0.353013
0.8,0.40404,1.1,0.328323
0.8,0.414141,0.9,0.391428
0.8,0.414141,1,0.35441
0.8,0.414141,1.1,0.321598
0.8,0.424242,0.9,0.392605
0.8,0.424242,1,0.351127
0.8,0.424242,1.1,0.323109
0.8,0.434343,0.9,0.388072
0.8,0.434343,1,0.353215
0.8,0.434343,1.1,0.318806
0.8,0.444444,0.9,0.389506
0.8,0.444444,1,0.34994
0.8,0.444444,1.1,0.319997
0.8,0.454545,0.9,0.392108
0.8,0.454545,1,0.354822
0.8,0.454545,1.1,0.315208
0.8,0.464646,0.9,0.393669
0.8,0.464646,1,0.350053
0.8,0.464646,1.1,0.316379
0.8,0.474747,0.9,0.395883
0.8,0.474747,1,0.347842
0.8,0.474747,1.1,0.319287
0.8,0.484848,0.9,0.389587
0.8,0.484848,1,0.352255
0.8,0.484848,1.1,0.316346
0.8,0.494949,0.9,0.395417
0.8,0.494949,1,0.354727
0.8,0.494949,1.1,0.314631
0.8,0.505051,0.9,0.394572
0.8,0.505051,1,0.349811
0.8,0.505051,1.1,0.313484
0.8,0.515152,0.9,0.397787
0.8,0.515152,1,0.352576
0.8,0.515152,1.1,0.309812
0.8,0.525253,0.9,0.397694
0.8,0.525253,1,0.352342
0.8,0.525253,1.1,0.313522
0.8,0.535354,0.9,0.398141
0.8,0.535354,1,0.351122
0.8,0.535354,1.1,0.316009
0.8,0.545455,0.9,0.395601
0.8,0.545455,1,0.352732
0.8,0.545455,1.1,0.315683
0.8,0.555556,0.9,0.399841
0.8,0.555556,1,0.349452
0.8,0.555556,1.1,0.31446
0.8,0.565657,0.9,0.400795
0.8,0.565657,1,0.351532
0.8,0.565657,1.1,0.3099
0.8,0.575758,0.9,0.401751
0.8,0.575758,1,0.35178
0.8,0.575758,1.1,0.314904
0.8,0.585859,0.9,0.403493
0.8,0.585859,1,0.353171
0.8,0.585859,1.1,0.315388
0.8,0.59596,0.9,0.408054
0.8,0.59596,1,0.35308
0.8,0.59596,1.1,0.310237
0.8,0.606061,0.9,0.40985
0.8,0.606061,1,0.349017
0.8,0.606061,1.1,0.312491
0.8,0.616162,0.9,0.411168
0.8,0.616162,1,0.351292
0.8,0.616162,1.1,0.31016
0.8,0.626263,0.9,0.414472
0.8,0.626263,1,0.350325
0.8,0.626263,1.1,0.30978
0.8,0.636364,0.9,0.409952
0.8,0.636364,1,0.351105
0.8,0.636364,1.1,0.30929
0.8,0.646465,0.9,0.417169
0.8,0.646465,1,0.351194
0.8,0.646465,1.1,0.304516
0.8,0.656566,0.9,0.418416
0.8,0.656566,1,0.351535
0.8,0.656566,1.1,0.304878
0.8,0.666667,0.9,0.419369
0.8,0.666667,1,0.35581
0.8,0.666667,1.1,0.30536
0.8,0.676768,0.9,0.420084
0.8,0.676768,1,0.356665
0.8,0.676768,1.1,0.303458
0.8,0.686869,0.9,0.419691
0.8,0.686869,1,0.354038
0.8,0.686869,1.1,0.303911
0.8,0.69697,0.9,0.42306
0.8,0.69697,1,0.356982
0.8,0.69697,1.1,0.302718
0.8,0.707071,0.9,0.427999
0.8,0.707071,1,0.356083
0.8,0.707071,1.1,0.305382
0.8,0.717172,0.9,0.427424
