omega,gamma,theta_1,t
0,0,0.9,1.57948e+06
0,0,1,1.54316e+06
0,0,1.1,1.54484e+06
0,0.010101,0.9,1.53675e+06
0,0.010101,1,1.55948e+06
0,0.010101,1.1,1.58705e+06
0,0.020202,0.9,1.52208e+06
0,0.020202,1,1.55254e+06
0,0.020202,1.1,1.56153e+06
0,0.030303,0.9,1.55733e+06
0,0.030303,1,1.47676e+06
0,0.030303,1.1,1.53319e+06
0,0.040404,0.9,1.52533e+06
0,0.040404,1,1.50503e+06
0,0.040404,1.1,1.53461e+06
0,0.0505051,0.9,1.49858e+06
0,0.0505051,1,1.51201e+06
0,0.0505051,1.1,1.47491e+06
0,0.0606061,0.9,1.50181e+06
0,0.0606061,1,1.54464e+06
0,0.0606061,1.1,1.54594e+06
0,0.0707071,0.9,1.49806e+06
0,0.0707071,1,1.5612e+06
0,0.0707071,1.1,1.52055e+06
0,0.0808081,0.9,1.4762e+06
0,0.0808081,1,1.53543e+06
0,0.0808081,1.1,1.50357e+06
0,0.0909091,0.9,1.51814e+06
0,0.0909091,1,1.49399e+06
0,0.0909091,1.1,1.49267e+06
0,0.10101,0.9,1.44937e+06
0,0.10101,1,1.48042e+06
0,0.10101,1.1,1.50828e+06
0,0.111111,0.9,1.5082e+06
0,0.111111,1,1.49465e+06
0,0.111111,1.1,1.49872e+06
0,0.121212,0.9,1.49908e+06
0,0.121212,1,1.48118e+06
0,0.121212,1.1,1.46069e+06
0,0.131313,0.9,1.44722e+06
0,0.131313,1,1.45605e+06
0,0.131313,1.1,1.47323e+06
0,0.141414,0.9,1.42884e+06
0,0.141414,1,1.47209e+06
0,0.141414,1.1,1.46308e+06
0,0.151515,0.9,1.43624e+06
0,0.151515,1,1.42991e+06
0,0.151515,1.1,1.45097e+06
0,0.161616,0.9,1.39553e+06
0,0.161616,1,1.45341e+06
0,0.161616,1.1,1.45393e+06
0,0.171717,0.9,1.39902e+06
0,0.171717,1,1.43432e+06
0,0.171717,1.1,1.43477e+06
0,0.181818,0.9,1.41897e+06
0,0.181818,1,1.41804e+06
0,0.181818,1.1,1.41549e+06
0,0.191919,0.9,1.40188e+06
0,0.191919,1,1.42707e+06
0,0.191919,1.1,1.4144e+06
