omega,gamma,theta_1,firm,price
0,0,0.9,1,1.64069
0,0,0.9,2,1.64349
0,0,1,1,1.62114
0,0,1,2,1.66655
0,0,1.1,1,1.64184
0,0,1.1,2,1.64733
0,0.010101,0.9,1,1.61559
0,0.010101,0.9,2,1.66614
0,0.010101,1,1,1.63463
0,0.010101,1,2,1.65263
0,0.010101,1.1,1,1.62894
0,0.010101,1.1,2,1.66208
0,0.020202,0.9,1,1.64129
0,0.020202,0.9,2,1.6673
0,0.020202,1,1,1.62548
0,0.020202,1,2,1.65843
0,0.020202,1.1,1,1.62852
0,0.020202,1.1,2,1.63812
0,0.030303,0.9,1,1.65422
0,0.030303,0.9,2,1.6718
0,0.030303,1,1,1.63281
0,0.030303,1,2,1.64754
0,0.030303,1.1,1,1.62062
0,0.030303,1.1,2,1.64921
0,0.040404,0.9,1,1.64805
0,0.040404,0.9,2,1.66642
0,0.040404,1,1,1.64374
0,0.040404,1,2,1.66663
0,0.040404,1.1,1,1.62804
0,0.040404,1.1,2,1.64929
0,0.0505051,0.9,1,1.65847
0,0.0505051,0.9,2,1.6658
0,0.0505051,1,1,1.63457
0,0.0505051,1,2,1.65983
0,0.0505051,1.1,1,1.62405
0,0.0505051,1.1,2,1.6453
0,0.0606061,0.9,1,1.64906
0,0.0606061,0.9,2,1.67152
0,0.0606061,1,1,1.64652
0,0.0606061,1,2,1.65958
0,0.0606061,1.1,1,1.63616
0,0.0606061,1.1,2,1.64134
0,0.0707071,0.9,1,1.65427
0,0.0707071,0.9,2,1.68514
0,0.0707071,1,1,1.63473
0,0.0707071,1,2,1.66316
0,0.0707071,1.1,1,1.64379
0,0.0707071,1.1,2,1.64869
0,0.0808081,0.9,1,1.64538
0,0.0808081,0.9,2,1.66659
0,0.0808081,1,1,1.64777
0,0.0808081,1,2,1.66872
0,0.0808081,1.1,1,1.62643
0,0.0808081,1.1,2,1.6627
0,0.0909091,0.9,1,1.6551
0,0.0909091,0.9,2,1.67975
0,0.0909091,1,1,1.65576
0,0.0909091,1,2,1.65831
0,0.0909091,1.1,1,1.64305
0,0.0909091,1.1,2,1.64277
0,0.10101,0.9,1,1.65692
0,0.10101,0.9,2,1.67451
0,0.10101,1,1,1.6644
0,0.10101,1,2,1.6686
0,0.10101,1.1,1,1.63819
0,0.10101,1.1,2,1.66032
0,0.111111,0.9,1,1.66009
0,0.111111,0.9,2,1.68193
0,0.111111,1,1,1.65019
0,0.111111,1,2,1.66536
0,0.111111,1.1,1,1.62118
0,0.111111,1.1,2,1.66081
0,0.121212,0.9,1,1.68932
0,0.121212,0.9,2,1.66857
0,0.121212,1,1,1.6553
0,0.121212,1,2,1.66276
0,0.121212,1.1,1,1.61873
0,0.121212,1.1,2,1.65129
0,0.131313,0.9,1,1.68121
0,0.131313,0.9,2,1.67566
0,0.131313,1,1,1.6579
0,0.131313,1,2,1.66181
0,0.131313,1.1,1,1.63916
0,0.131313,1.1,2,1.65202
0,0.141414,0.9,1,1.67613
0,0.141414,0.9,2,1.69528
0,0.141414,1,1,1.65509
0,0.141414,1,2,1.67199
0,0.141414,1.1,1,1.63367
0,0.141414,1.1,2,1.6454
0,0.151515,0.9,1,1.69282
0,0.151515,0.9,2,1.68154
0,0.151515,1,1,1.65806
0,0.151515,1,2,1.6726
0,0.151515,1.1,1,1.6367
0,0.151515,1.1,2,1.66465
0,0.161616,0.9,1,1.69678
0,0.161616,0.9,2,1.68462
0,0.161616,1,1,1.65356
0,0.161616,1,2,1.67706
0,0.161616,1.1,1,1.64268
0,0.161616,1.1,2,1.6714
0,0.171717,0.9,1,1.7021
0,0.171717,0.9,2,1.68198
0,0.171717,1,1,1.66532
0,0.171717,1,2,1.66105
0,0.171717,1.1,1,1.64347
0,0.171717,1.1,2,1.67908
0,0.181818,0.9,1,1.70568
0,0.181818,0.9,2,1.70043
0,0.181818,1,1,1.67724
0,0.181818,1,2,1.67093
0,0.181818,1.1,1,1.633
0,0.181818,1.1,2,1.66215
0,0.191919,0.9,1,1.70178
0,0.191919,0.9,2,1.68778
0,0.191919,1,1,1.66817
0,0.191919,1,2,1.67408
0,0.191919,1.1,1,1.63892
0,0.191919,1.1,2,1.66385
0,0.20202,0.9,1,1.70288
0,0.20202,0.9,2,1.69699
0,0.20202,1,1,1.67149
0,0.20202,1,2,1.67789
0,0.20202,1.1,1,1.65275
0,0.20202,1.1,2,1.6502
0,0.212121,0.9,1,1.70651
0,0.212121,0.9,2,1.69214
0,0.212121,1,1,1.67393
0,0.212121,1,2,1.68443
0,0.212121,1.1,1,1.63564
0,0.212121,1.1,2,1.66026
0,0.222222,0.9,1,1.71675
0,0.222222,0.9,2,1.69599
0,0.222222,1,1,1.67082
0,0.222222,1,2,1.67964
0,0.222222,1.1,1,1.64927
0,0.222222,1.1,2,1.66808
0,0.232323,0.9,1,1.69939
0,0.232323,0.9,2,1.68318
0,0.232323,1,1,1.68119
0,0.232323,1,2,1.68056
0,0.232323,1.1,1,1.64137
0,0.232323,1.1,2,1.66206
0,0.242424,0.9,1,1.71456
0,0.242424,0.9,2,1.69966
0,0.242424,1,1,1.669
0,0.242424,1,2,1.68116
0,0.242424,1.1,1,1.64623
0,0.242424,1.1,2,1.66694
0,0.252525,0.9,1,1.71842
0,0.252525,0.9,2,1.68905
0,0.252525,1,1,1.66655
0,0.252525,1,2,1.68452
0,0.252525,1.1,1,1.63276
0,0.252525,1.1,2,1.66103
0,0.262626,0.9,1,1.70675
0,0.262626,0.9,2,1.69621
0,0.262626,1,1,1.67765
0,0.262626,1,2,1.66981
0,0.262626,1.1,1,1.64403
0,0.262626,1.1,2,1.65946
0,0.272727,0.9,1,1.72169
0,0.272727,0.9,2,1.70561
0,0.272727,1,1,1.67532
0,0.272727,1,2,1.69059
0,0.272727,1.1,1,1.64512
0,0.272727,1.1,2,1.66825
0,0.282828,0.9,1,1.73946
0,0.282828,0.9,2,1.69671
0,0.282828,1,1,1.66995
0,0.282828,1,2,1.68225
0,0.282828,1.1,1,1.64504
0,0.282828,1.1,2,1.65846
0,0.292929,0.9,1,1.72253
0,0.292929,0.9,2,1.69092
0,0.292929,1,1,1.67228
0,0.292929,1,2,1.68742
0,0.292929,1.1,1,1.64253
0,0.292929,1.1,2,1.67165
0,0.30303,0.9,1,1.72416
0,0.30303,0.9,2,1.69394
0,0.30303,1,1,1.68129
0,0.30303,1,2,1.68162
0,0.30303,1.1,1,1.6402
0,0.30303,1.1,2,1.66265
0,0.313131,0.9,1,1.72043
0,0.313131,0.9,2,1.70846
0,0.313131,1,1,1.68956
0,0.313131,1,2,1.69238
0,0.313131,1.1,1,1.6408
0,0.313131,1.1,2,1.66981
0,0.323232,0.9,1,1.72959
0,0.323232,0.9,2,1.69925
0,0.323232,1,1,1.67681
0,0.323232,1,2,1.67417
0,0.323232,1.1,1,1.64117
0,0.323232,1.1,2,1.66932
0,0.333333,0.9,1,1.73329
0,0.333333,0.9,2,1.69934
0,0.333333,1,1,1.69477
0,0.333333,1,2,1.67246
0,0.333333,1.1,1,1.64321
0,0.333333,1.1,2,1.67355
0,0.343434,0.9,1,1.75624
0,0.343434,0.9,2,1.68303
0,0.343434,1,1,1.67554
0,0.343434,1,2,1.68438
0,0.343434,1.1,1,1.63494
0,0.343434,1.1,2,1.67611
0,0.353535,0.9,1,1.76554
0,0.353535,0.9,2,1.66486
0,0.353535,1,1,1.68985
0,0.353535,1,2,1.6875
0,0.353535,1.1,1,1.63601
0,0.353535,1.1,2,1.66655
0,0.363636,0.9,1,1.75704
0,0.363636,0.9,2,1.669
0,0.363636,1,1,1.69488
0,0.363636,1,2,1.68513
0,0.363636,1.1,1,1.63804
0,0.363636,1.1,2,1.65921
0,0.373737,0.9,1,1.76989
0,0.373737,0.9,2,1.67666
0,0.373737,1,1,1.70823
0,0.373737,1,2,1.68144
0,0.373737,1.1,1,1.63978
0,0.373737,1.1,2,1.66622
0,0.383838,0.9,1,1.74185
0,0.383838,0.9,2,1.67968
0,0.383838,1,1,1.699
0,0.383838,1,2,1.6811
0,0.383838,1.1,1,1.63515
0,0.383838,1.1,2,1.66121
0,0.393939,0.9,1,1.75043
0,0.393939,0.9,2,1.66695
0,0.393939,1,1,1.70349
0,0.393939,1,2,1.67751
0,0.393939,1.1,1,1.64434
0,0.393939,1.1,2,1.67174
0,0.40404,0.9,1,1.74193
0,0.40404,0.9,2,1.67981
0,0.40404,1,1,1.71641
0,0.40404,1,2,1.65469
0,0.40404,1.1,1,1.63591
0,0.40404,1.1,2,1.68173
0,0.414141,0.9,1,1.74273
0,0.414141,0.9,2,1.6766
0,0.414141,1,1,1.70962
0,0.414141,1,2,1.6627
0,0.414141,1.1,1,1.6369
0,0.414141,1.1,2,1.66847
0,0.424242,0.9,1,1.74301
0,0.424242,0.9,2,1.67767
0,0.424242,1,1,1.72088
0,0.424242,1,2,1.64544
0,0.424242,1.1,1,1.6419
0,0.424242,1.1,2,1.6689
0,0.434343,0.9,1,1.74783
0,0.434343,0.9,2,1.67391
0,0.434343,1,1,1.70401
0,0.434343,1,2,1.66551
0,0.434343,1.1,1,1.63417
0,0.434343,1.1,2,1.6699
0,0.444444,0.9,1,1.72386
0,0.444444,0.9,2,1.68819
0,0.444444,1,1,1.71494
0,0.444444,1,2,1.65636
0,0.444444,1.1,1,1.6401
0,0.444444,1.1,2,1.66542
0,0.454545,0.9,1,1.72091
0,0.454545,0.9,2,1.69212
0,0.454545,1,1,1.70195
0,0.454545,1,2,1.66606
0,0.454545,1.1,1,1.66431
0,0.454545,1.1,2,1.64556
0,0.464646,0.9,1,1.71731
0,0.464646,0.9,2,1.70091
0,0.464646,1,1,1.6994
0,0.464646,1,2,1.65745
0,0.464646,1.1,1,1.65753
0,0.464646,1.1,2,1.65034
0,0.474747,0.9,1,1.71966
0,0.474747,0.9,2,1.69618
0,0.474747,1,1,1.69709
0,0.474747,1,2,1.66625
0,0.474747,1.1,1,1.65628
0,0.474747,1.1,2,1.63685
0,0.484848,0.9,1,1.70197
0,0.484848,0.9,2,1.70681
0,0.484848,1,1,1.68818
0,0.484848,1,2,1.67101
0,0.484848,1.1,1,1.65589
0,0.484848,1.1,2,1.63637
0,0.494949,0.9,1,1.69643
0,0.494949,0.9,2,1.71808
0,0.494949,1,1,1.68914
0,0.494949,1,2,1.67546
0,0.494949,1.1,1,1.6601
0,0.494949,1.1,2,1.64987
0,0.505051,0.9,1,1.69793
0,0.505051,0.9,2,1.72303
0,0.505051,1,1,1.68016
0,0.505051,1,2,1.6687
0,0.505051,1.1,1,1.64733
0,0.505051,1.1,2,1.64106
0,0.515152,0.9,1,1.7099
0,0.515152,0.9,2,1.71618
0,0.515152,1,1,1.66927
0,0.515152,1,2,1.69169
0,0.515152,1.1,1,1.64704
