omega,gamma,theta_1,firm,profit
0,0,0.9,1,0.0873745
0,0,0.9,2,0.125807
0,0,1,1,0.0881829
0,0,1,2,0.124888
0,0,1.1,1,0.0886486
0,0,1.1,2,0.124386
0,0.010101,0.9,1,0.0883897
0,0.010101,0.9,2,0.125653
0,0.010101,1,1,0.0863132
0,0.010101,1,2,0.12709
0,0.010101,1.1,1,0.0856767
0,0.010101,1.1,2,0.126421
0,0.020202,0.9,1,0.0918436
0,0.020202,0.9,2,0.12448
0,0.020202,1,1,0.0879911
0,0.020202,1,2,0.126044
0,0.020202,1.1,1,0.0879889
0,0.020202,1.1,2,0.125481
0,0.030303,0.9,1,0.0886457
0,0.030303,0.9,2,0.127115
0,0.030303,1,1,0.0906986
0,0.030303,1,2,0.125104
0,0.030303,1.1,1,0.0887791
0,0.030303,1.1,2,0.124541
0,0.040404,0.9,1,0.0921429
0,0.040404,0.9,2,0.127158
0,0.040404,1,1,0.0910036
0,0.040404,1,2,0.125288
0,0.040404,1.1,1,0.0851287
0,0.040404,1.1,2,0.125606
0,0.0505051,0.9,1,0.0909649
0,0.0505051,0.9,2,0.130067
0,0.0505051,1,1,0.0892495
0,0.0505051,1,2,0.128203
0,0.0505051,1.1,1,0.0894147
0,0.0505051,1.1,2,0.123438
0,0.0606061,0.9,1,0.0948836
0,0.0606061,0.9,2,0.127426
0,0.0606061,1,1,0.0907637
0,0.0606061,1,2,0.12564
0,0.0606061,1.1,1,0.089512
0,0.0606061,1.1,2,0.123508
0,0.0707071,0.9,1,0.0948989
0,0.0707071,0.9,2,0.12946
0,0.0707071,1,1,0.0897696
0,0.0707071,1,2,0.127336
0,0.0707071,1.1,1,0.0889253
0,0.0707071,1.1,2,0.124098
0,0.0808081,0.9,1,0.0978662
0,0.0808081,0.9,2,0.129006
0,0.0808081,1,1,0.0898078
0,0.0808081,1,2,0.128141
0,0.0808081,1.1,1,0.088822
0,0.0808081,1.1,2,0.122898
0,0.0909091,0.9,1,0.0948058
0,0.0909091,0.9,2,0.131099
0,0.0909091,1,1,0.0921369
0,0.0909091,1,2,0.127133
0,0.0909091,1.1,1,0.0888539
0,0.0909091,1.1,2,0.123468
0,0.10101,0.9,1,0.096394
0,0.10101,0.9,2,0.131597
0,0.10101,1,1,0.09474
0,0.10101,1,2,0.12465
0,0.10101,1.1,1,0.087843
0,0.10101,1.1,2,0.123752
0,0.111111,0.9,1,0.0987151
